,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,839","00:00:08,883",[indistinct chatter],1,1.4400000000000013,"#2, ","14.11, ","15.55, ",6.84,8.88
1,"00:00:14,847","00:00:17,225",[western music playing],5,25.790000000000003,"#3, #4, #5, #6, #7, ","16.79, 18.14, 23.77, 33.81, 36.47, ","17.5, 21.89, 31.29, 35.64, 48.45, ",14.85,17.23
2,"00:00:45,587","00:00:46,963",[inaudible],1,41.85000000000001,"#8, ","50.05, ","91.9, ",45.59,46.96
3,"00:01:03,771","00:01:06,524",{\an8}[audience cheering and whistling],0,0.0,,,,63.77,66.52
4,"00:01:16,534","00:01:18,620",[cheering continues],0,0.0,,,,76.53,78.62
5,"00:01:32,175","00:01:34,636",Thank you so much.,1,10.350000000000009,"#9, ","93.35, ","103.7, ",92.17,94.64
6,"00:01:36,263","00:01:39,141","Thank you very much, New York. Holy shit.",0,0.0,,,,96.26,99.14
7,"00:01:39,224","00:01:42,144","This is Madison Square Garden. Oh, my God.",1,29.190000000000012,"#10, ","104.46, ","133.65, ",99.22,102.14
8,"00:01:46,606","00:01:48,400",Bring the house lights up for a second.,0,0.0,,,,106.61,108.4
9,"00:01:48,483","00:01:51,278",Let's just see everybody here a second. Bring the house lights up.,0,0.0,,,,108.48,111.28
10,"00:01:51,361","00:01:53,363",[applause],0,0.0,,,,111.36,113.36
11,"00:01:56,616","00:02:00,412","Thank you. Thank you so much to all 12,000 of you",0,0.0,,,,116.62,120.41
12,"00:02:00,495","00:02:03,665",predominantly white people that showed up tonight. I really--,0,0.0,,,,120.5,123.67
13,"00:02:03,748","00:02:07,919","No, there's minorities in the mix. I'm just kidding. Yeah.",0,0.0,,,,123.75,127.92
14,"00:02:08,002","00:02:09,337",[cheering],0,0.0,,,,128.0,129.34
15,"00:02:11,423","00:02:12,924","Uh, I'm a...",0,0.0,,,,131.42,132.92
16,"00:02:13,007","00:02:17,220","I'm a minority, and I am...",2,5.989999999999981,"#11, #12, ","134.69, 137.05, ","136.41, 141.32, ",133.01,137.22
17,"00:02:17,304","00:02:21,057","Yeah, I am the first generation in my family that was born in America.",0,0.0,,,,137.3,141.06
18,"00:02:21,141","00:02:24,394","Anybody else first-generation people? Yeah? Clap, yeah?",1,1.5600000000000023,"#13, ","143.15, ","144.71, ",141.14,144.39
19,"00:02:24,477","00:02:25,812",- [scattered clapping] - Yeah!,1,0.7900000000000205,"#14, ","145.39, ","146.18, ",144.48,145.81
20,"00:02:25,895","00:02:29,149","Pretty amazing thing our parents did, right?",0,0.0,,,,145.9,149.15
21,"00:02:29,232","00:02:31,025",They came to this country.,1,4.439999999999998,"#15, ","150.59, ","155.03, ",149.23,151.03
22,"00:02:31,108","00:02:32,152","They maybe didn't know anyone,",0,0.0,,,,151.11,152.15
23,"00:02:32,235","00:02:34,362","maybe didn't even speak the language, and they figured it out.",0,0.0,,,,152.24,154.36
24,"00:02:34,446","00:02:35,822","Very brave, courageous thing.",0,0.0,,,,154.45,155.82
25,"00:02:35,905","00:02:38,074",And I feel like we never sit down and thank them for it.,0,0.0,,,,155.91,158.07
26,"00:02:38,158","00:02:41,536","And we should, 'cause that's such an amazing thing, you know,",1,0.549999999999983,"#16, ","159.36, ","159.91, ",158.16,161.54
