,filename,laughs,start,end,threshold,duration
0,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_0.wav,6.98,8.42,0.5,0.5
1,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_1.wav,10.31,23.36,0.5,0.5
2,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_2.wav,27.6,33.42,0.5,0.5
3,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_3.wav,34.55,52.87,0.5,0.5
4,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_4.wav,53.4,55.61,0.5,0.5
5,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_5.wav,57.73,58.59,0.5,0.5
6,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_6.wav,62.18,63.39,0.5,0.5
7,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_7.wav,67.41,68.39,0.5,0.5
8,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_8.wav,76.02,76.79,0.5,0.5
9,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_9.wav,78.87,82.55,0.5,0.5
10,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_10.wav,87.86,90.28,0.5,0.5
11,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_11.wav,91.72,93.77,0.5,0.5
12,Bert.Kreischer.Secret.Time.2018.1080p.WEB.x264.OMiCRON-music.wav,/laughs/laugh_12.wav,115.81,122.01,0.5,0.5
