,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:14,431","00:00:16,891",[cheers and applause],0,0.0,,,,14.43,16.89
1,"00:00:19,519","00:00:22,188","{\an8}All right, thank you!",0,0.0,,,,19.52,22.19
2,"00:00:22,272","00:00:24,107",{\an8}Thank you very much!,0,0.0,,,,22.27,24.11
3,"00:00:24,190","00:00:27,610",Thank you. Thank you. Thank you. How are you?,0,0.0,,,,24.19,27.61
4,"00:00:27,694","00:00:29,946",What's going on?,0,0.0,,,,27.69,29.95
5,"00:00:30,030","00:00:31,364",Thank you.,0,0.0,,,,30.03,31.36
6,"00:00:31,448","00:00:35,118",It's a pleasure to be here,0,0.0,,,,31.45,35.12
7,"00:00:35,201","00:00:40,498","in the greater Atlanta, Georgia, area, this oasis.",1,6.049999999999997,"#1, ","40.25, ","46.3, ",35.2,40.5
8,"00:00:42,542","00:00:45,128",It's nice to be here. I don't know why I came here in June.,0,0.0,,,,42.54,45.13
9,"00:00:45,211","00:00:48,590",It's nice to be here. Wasn't thinking.,1,3.1700000000000017,"#2, ","47.57, ","50.74, ",45.21,48.59
10,"00:00:50,550","00:00:54,637","Fucking ridiculously hot out there. Just miserable, horrible.",1,3.0,"#3, ","52.57, ","55.57, ",50.55,54.64
11,"00:00:54,721","00:00:58,016","That kind of heat, you understand the racism down here, ya know?",0,0.0,,,,54.72,58.02
12,"00:00:58,099","00:01:01,311",I get it. How would you get along with anybody?,1,4.909999999999997,"#4, ","58.45, ","63.36, ",58.1,61.31
13,"00:01:01,394","00:01:05,648","""Look at 'em just over there, drinkin' a cold drink!",1,8.329999999999998,"#5, ","64.18, ","72.51, ",61.39,65.65
14,"00:01:08,109","00:01:10,236","Lemonade was made for the white man!""",0,0.0,,,,68.11,70.24
15,"00:01:13,573","00:01:14,741",So...,1,1.3499999999999943,"#6, ","74.34, ","75.69, ",73.57,74.74
16,"00:01:16,367","00:01:19,996","What the hell have I been doing with my life? Trying to get in shape, man.",1,1.529999999999987,"#7, ","76.93, ","78.46, ",76.37,80.0
17,"00:01:20,080","00:01:23,500","But I hate going to the gym, so I decided I'd go veggie twice a week.",1,1.1799999999999926,"#8, ","82.64, ","83.82, ",80.08,83.5
18,"00:01:23,583","00:01:24,918",It's brutal.,0,0.0,,,,83.58,84.92
19,"00:01:25,001","00:01:28,171",I can only make it till about 5:00.,1,4.590000000000003,"#9, ","87.02, ","91.61, ",85.0,88.17
20,"00:01:28,254","00:01:31,508","Five o'clock, that's what I realized about myself, you know that?",0,0.0,,,,88.25,91.51
21,"00:01:31,591","00:01:37,388",Something has to die every day in order for me to live.,1,2.0700000000000074,"#10, ","92.35, ","94.42, ",91.59,97.39
22,"00:01:38,515","00:01:41,309","Something's got to get its beak chopped off,",1,1.480000000000004,"#11, ","100.41, ","101.89, ",98.52,101.31
23,"00:01:41,392","00:01:43,186","its feathers yanked,",0,0.0,,,,101.39,103.19
24,"00:01:43,269","00:01:47,482","uppercut to its jaw, just in order for me to survive.",2,4.150000000000006,"#12, #13, ","103.41, 105.94, ","104.9, 108.6, ",103.27,107.48
25,"00:01:47,565","00:01:51,277",I'm trying! Couscous and all that shit.,2,3.180000000000007,"#14, #15, ","109.58, 115.22, ","112.12, 115.86, ",107.56,111.28
26,"00:01:56,199","00:01:58,034",It's awful.,0,0.0,,,,116.2,118.03
27,"00:01:58,118","00:02:02,122","I saw this thing, though. They said if everybody went vegan,",1,0.960000000000008,"#16, ","122.05, ","123.01, ",118.12,122.12
28,"00:02:02,205","00:02:05,375","if everybody went vegan or vegetarian, whatever the hell they said.",0,0.0,,,,122.2,125.38
29,"00:02:05,458","00:02:07,544","One of those ""V"" ones, right?",0,0.0,,,,125.46,127.54
30,"00:02:07,627","00:02:10,505","They said it'll be great for the environment, you know.",2,2.6299999999999955,"#17, #18, ","127.81, 130.25, ","128.82, 131.87, ",127.63,130.5
31,"00:02:10,588","00:02:14,217","I guess there's all this cattle standing around, and when they fart,",1,3.759999999999991,"#19, ","132.13, ","135.89, ",130.59,134.22
32,"00:02:14,300","00:02:17,512",the gas goes up in the atmosphere and causes something.,0,0.0,,,,134.3,137.51
33,"00:02:17,595","00:02:19,305",Right?,0,0.0,,,,137.59,139.31
34,"00:02:20,431","00:02:22,642",They're always doing that shit.,0,0.0,,,,140.43,142.64
35,"00:02:22,725","00:02:26,479","You know, ""If everybody went vegan, the air would be--",2,2.4000000000000057,"#20, #21, ","144.13, 146.48, ","144.84, 148.17, ",142.72,146.48
36,"00:02:26,563","00:02:28,439","If everybody drove an electric car,",0,0.0,,,,146.56,148.44
37,"00:02:28,523","00:02:32,402","if everybody just had some snowshoes on.""",1,0.7800000000000011,"#22, ","152.46, ","153.24, ",148.52,152.4
38,"00:02:32,485","00:02:35,363",Right? They just won't come out and say it.,1,8.530000000000001,"#23, ","155.17, ","163.7, ",152.49,155.36
39,"00:02:35,446","00:02:40,827","Nobody has the balls to come out and just say, ""Look, 85% of you have to go.""",0,0.0,,,,155.45,160.83
40,"00:02:42,412","00:02:46,291",- That's it! That is it. - [cheering and applause],1,7.189999999999998,"#24, ","165.4, ","172.59, ",162.41,166.29
41,"00:02:46,374","00:02:49,544",I have been bitching about the population problem,0,0.0,,,,166.37,169.54
42,"00:02:49,627","00:02:51,838",for three specials in a row.,0,0.0,,,,169.63,171.84
