,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,048","00:00:09,050",[cheering and applause],0,0.0,,,,7.05,9.05
1,"00:00:18,518","00:00:23,148","[female announcer] Ladies and gentlemen, please welcome Bill Burr!",0,0.0,,,,18.52,23.15
2,"00:00:30,447","00:00:33,283","All right, thank you. Thank you very much.",0,0.0,,,,30.45,33.28
3,"00:00:33,366","00:00:34,409",Thank you.,0,0.0,,,,33.37,34.41
4,"00:00:36,202","00:00:38,580",Thank you. Thank you. Thank you. How are you?,0,0.0,,,,36.2,38.58
5,"00:00:39,914","00:00:42,167",Excellent. Thank you for coming out.,0,0.0,,,,39.91,42.17
6,"00:00:43,376","00:00:44,753",Very prestigious...,1,0.5799999999999983,"#1, ","44.57, ","45.15, ",43.38,44.75
7,"00:00:45,336","00:00:49,257",arena to listen to my dick and shit jokes over the next...,1,3.469999999999999,"#2, ","47.88, ","51.35, ",45.34,49.26
8,"00:00:50,300","00:00:52,052",[chuckles] ...90 minutes.,0,0.0,,,,50.3,52.05
9,"00:00:52,677","00:00:54,846","No, I'm excited to be here. I am.",0,0.0,,,,52.68,54.85
10,"00:00:54,929","00:00:56,056","It's very, uh...",0,0.0,,,,54.93,56.06
11,"00:00:56,139","00:00:57,015",[audience whooping],0,0.0,,,,56.14,57.02
12,"00:00:57,098","00:01:00,769",...exciting to be doing stand-up outside of my own country.,1,1.0200000000000031,"#3, ","61.08, ","62.1, ",57.1,60.77
13,"00:01:02,103","00:01:04,064","Yeah. No, not 'cause of you!",1,1.8100000000000023,"#4, ","64.14, ","65.95, ",62.1,64.06
14,"00:01:04,147","00:01:06,149",[laughter],0,0.0,,,,64.15,66.15
15,"00:01:06,691","00:01:10,028","It's how it's become. Fucking US, everything's so goddamn...",0,0.0,,,,66.69,70.03
16,"00:01:10,111","00:01:13,406","Every fucking joke you tell, ""Well, what did you mean about that?",0,0.0,,,,70.11,73.41
17,"00:01:14,282","00:01:18,328",I didn't go to the gym today. Are you calling me fat?,1,0.8399999999999892,"#5, ","77.54, ","78.38, ",74.28,78.33
18,"00:01:18,411","00:01:20,497","I feel fucking triggered.""",1,1.5799999999999983,"#6, ","80.62, ","82.2, ",78.41,80.5
