,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:16,683","00:00:18,018",[cheering and applause],0,0.0,,,,16.68,18.02
1,"00:00:24,691","00:00:26,443","All right, thank you.",0,0.0,,,,24.69,26.44
2,"00:00:27,236","00:00:29,071",Thank you very much. How are you?,0,0.0,,,,27.24,29.07
3,"00:00:30,072","00:00:31,281",How's it going?,0,0.0,,,,30.07,31.28
4,"00:00:33,659","00:00:35,369","Thank you, thank you, thank you.",0,0.0,,,,33.66,35.37
5,"00:00:36,453","00:00:37,871",Nice to be here.,0,0.0,,,,36.45,37.87
6,"00:00:38,580","00:00:40,541",Nice to be here. Thank you.,0,0.0,,,,38.58,40.54
7,"00:00:40,624","00:00:43,168",I appreciate it. Let's see if I'm funny first.,0,0.0,,,,40.62,43.17
8,"00:00:43,919","00:00:45,295",Let's see if I'm funny.,0,0.0,,,,43.92,45.3
9,"00:00:45,379","00:00:47,673",Nice to be here in Nashville.,1,2.0,"#2, ","46.05, ","48.05, ",45.38,47.67
10,"00:00:47,756","00:00:50,801",Look at me. I went out and got myself a cowboy shirt.,1,2.4200000000000017,"#3, ","50.44, ","52.86, ",47.76,50.8
11,"00:00:50,884","00:00:52,010",-Right? -[cheering],0,0.0,,,,50.88,52.01
12,"00:00:52,511","00:00:53,887",To fit in with all you guys,0,0.0,,,,52.51,53.89
13,"00:00:53,971","00:00:55,764",coming in from your ranches.,1,1.7800000000000011,"#4, ","56.11, ","57.89, ",53.97,55.76
14,"00:00:55,847","00:00:57,349",-Huh? -[laughter],0,0.0,,,,55.85,57.35
15,"00:00:57,432","00:00:58,892",Living out there in the barns.,0,0.0,,,,57.43,58.89
16,"00:00:58,976","00:01:00,227",Is this what you're doing?,1,2.799999999999997,"#5, ","59.78, ","62.58, ",58.98,60.23
17,"00:01:02,145","00:01:04,523","You're like, ""I'm working on an app, okay?""",1,2.5800000000000054,"#6, ","63.4, ","65.98, ",62.15,64.52
18,"00:01:05,649","00:01:07,150","""To launch this website.""",0,0.0,,,,65.65,67.15
19,"00:01:07,234","00:01:08,694",[gabbles],1,0.8400000000000034,"#7, ","68.46, ","69.3, ",67.23,68.69
20,"00:01:08,777","00:01:09,778",Um...,1,1.2800000000000011,"#8, ","70.3, ","71.58, ",68.78,69.78
21,"00:01:10,737","00:01:12,698","Oh, shit. What a fucked-up time this is, huh?",1,0.5300000000000011,"#9, ","72.42, ","72.95, ",70.74,72.7
22,"00:01:13,198","00:01:16,159","It's so weird to tape a special right before a presidential election,",1,1.1700000000000017,"#10, ","75.17, ","76.34, ",73.2,76.16
23,"00:01:16,243","00:01:17,744",especially one like this.,1,1.1400000000000006,"#11, ","77.59, ","78.73, ",76.24,77.74
24,"00:01:17,828","00:01:20,539","Like, this is literally, like,  ""What is going to happen?""",1,1.5999999999999943,"#12, ","80.45, ","82.05, ",77.83,80.54
25,"00:01:21,832","00:01:25,669",You know? How the fuck did we end up with these two? Jesus Christ.,1,2.3400000000000034,"#13, ","84.11, ","86.45, ",81.83,85.67
26,"00:01:25,752","00:01:28,046",This is like the first week of <i>American Idol</i>.,1,4.409999999999997,"#14, ","88.18, ","92.59, ",85.75,88.05
27,"00:01:28,547","00:01:31,758","You know? It's like, ""Really? This is what I got?""",0,0.0,,,,88.55,91.76
28,"00:01:32,968","00:01:35,053","[as Donald Trump] ""Take his coat! Take his coat!""",1,3.2299999999999898,"#15, ","94.34, ","97.57, ",92.97,95.05
29,"00:01:37,055","00:01:39,141",Whatever the hell she's doing. You know?,1,3.010000000000005,"#16, ","98.24, ","101.25, ",97.06,99.14
30,"00:01:40,726","00:01:44,813","It's unbelievable. You've either got a racist dope or, like, the devil.",1,15.77000000000001,"#17, ","105.13, ","120.9, ",100.73,104.81
31,"00:01:45,397","00:01:47,024","Like, that's the choices.",0,0.0,,,,105.4,107.02
32,"00:01:49,234","00:01:51,945","[as Donald Trump] ""I just walk up and grab it! I just grab it!""",0,0.0,,,,109.23,111.94
33,"00:01:52,571","00:01:53,572",[laughter],0,0.0,,,,112.57,113.57
34,"00:01:54,364","00:01:55,365",All right.,0,0.0,,,,114.36,115.36
35,"00:01:56,617","00:01:57,743",Is that what you do?,0,0.0,,,,116.62,117.74
36,"00:01:59,369","00:02:01,455","Fucking lunatic. ""I'm gonna build a wall.",0,0.0,,,,119.37,121.45
37,"00:02:01,538","00:02:02,748","I'm gonna build a wall.""",1,1.5799999999999983,"#18, ","121.95, ","123.53, ",121.54,122.75
38,"00:02:03,790","00:02:07,294",I love people thinking he's actually gonna do that. Really? Are you gonna do that?,1,0.960000000000008,"#19, ","126.41, ","127.37, ",123.79,127.29
39,"00:02:07,377","00:02:10,172",You're gonna build a wall from fucking California to Texas?,0,0.0,,,,127.38,130.17
40,"00:02:10,255","00:02:11,340",You're gonna do this?,1,5.599999999999994,"#20, ","130.47, ","136.07, ",130.25,131.34
41,"00:02:12,174","00:02:13,634",Have you ever done that drive?,0,0.0,,,,132.17,133.63
42,"00:02:14,551","00:02:16,011",Because I've done that drive.,0,0.0,,,,134.55,136.01
43,"00:02:16,595","00:02:19,097",Took the 10 East out of Los Angeles.,1,1.579999999999984,"#21, ","138.62, ","140.2, ",136.59,139.1
44,"00:02:19,181","00:02:22,225","That is a two-day drive, 80 miles an hour.",0,0.0,,,,139.18,142.22
45,"00:02:22,309","00:02:25,520",[yells],1,5.009999999999991,"#22, ","143.0, ","148.01, ",142.31,145.52
46,"00:02:26,063","00:02:27,481","Just wall, wall, wall.",0,0.0,,,,146.06,147.48
47,"00:02:27,564","00:02:29,650",You're in there like John Goodman,1,1.7699999999999818,"#23, ","148.36, ","150.13, ",147.56,149.65
48,"00:02:29,733","00:02:30,817",in <i>Raising Arizona</i>...,0,0.0,,,,149.73,150.82
49,"00:02:30,901","00:02:31,735",[yells],1,4.100000000000023,"#24, ","151.17, ","155.27, ",150.9,151.74
50,"00:02:31,818","00:02:32,818",just driving.,0,0.0,,,,151.82,152.82
51,"00:02:33,528","00:02:35,072","Like, how many times",0,0.0,,,,153.53,155.07
52,"00:02:35,155","00:02:37,407",are you gonna go to Home Depot,1,6.159999999999997,"#25, ","157.35, ","163.51, ",155.16,157.41
53,"00:02:37,491","00:02:38,617",to build this thing?,0,0.0,,,,157.49,158.62
54,"00:02:39,117","00:02:42,079",You actually think you're gonna get this done?,0,0.0,,,,159.12,162.08
55,"00:02:42,704","00:02:43,789",Look at the Freedom Tower.,0,0.0,,,,162.7,163.79
56,"00:02:43,872","00:02:45,707",We actually wanted that shit,0,0.0,,,,163.87,165.71
57,"00:02:45,791","00:02:48,168",and it took almost 15 years to get it done.,1,3.960000000000008,"#26, ","165.82, ","169.78, ",165.79,168.17
58,"00:02:48,835","00:02:51,463",Half the people don't even want this fucking thing.,1,1.1399999999999864,"#27, ","170.74, ","171.88, ",168.84,171.46
59,"00:02:52,130","00:02:54,257","I'm telling you, by the time they've finished it,",1,1.6800000000000068,"#28, ","172.72, ","174.4, ",172.13,174.26
60,"00:02:54,341","00:02:57,803","this country will be so fucked up, we're gonna be the ones going over it.",1,10.159999999999997,"#29, ","177.79, ","187.95, ",174.34,177.8
61,"00:02:57,886","00:02:59,429",[laughter and applause],0,0.0,,,,177.89,179.43
62,"00:02:59,513","00:03:01,932","""Dude, they got... they got real sugar!""",0,0.0,,,,179.51,181.93
63,"00:03:02,015","00:03:03,350",[cheering],0,0.0,,,,182.01,183.35
64,"00:03:04,267","00:03:05,977","""They got real sugar in their Coke!""",0,0.0,,,,184.27,185.98
65,"00:03:06,686","00:03:07,854","""I heard, on the other side,",0,0.0,,,,186.69,187.85
66,"00:03:07,938","00:03:11,066","the Orange Crush tastes like it did in 1978.""",1,3.469999999999999,"#30, ","189.95, ","193.42, ",187.94,191.07
67,"00:03:11,149","00:03:12,359",[laughter],0,0.0,,,,191.15,192.36
68,"00:03:12,859","00:03:16,029",Remember that two-year period when it was actually delicious?,1,2.420000000000016,"#31, ","195.14, ","197.56, ",192.86,196.03
69,"00:03:16,113","00:03:18,698",Yeah. So you've got him and then you've got Hillary.,0,0.0,,,,196.11,198.7
70,"00:03:18,782","00:03:20,951",Hillary's just like a made guy.,1,0.6699999999999875,"#32, ","200.49, ","201.16, ",198.78,200.95
71,"00:03:21,034","00:03:22,411",Just a made-fucking-guy.,0,0.0,,,,201.03,202.41
72,"00:03:22,494","00:03:26,540","Everybody thinks, like, you know, she dresses like a real-estate agent.",1,0.8599999999999852,"#33, ","206.18, ","207.04, ",202.49,206.54
73,"00:03:26,623","00:03:28,500",You know? Nothing to worry about.,0,0.0,,,,206.62,208.5
