,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:09,301","00:00:11,345",[motorcycle engine revs],0,0.0,,,,9.3,11.35
1,"00:00:13,973","00:00:16,475",{\an8}[instrumental rock music plays],1,5.550000000000001,"#1, ","17.05, ","22.6, ",13.97,16.48
2,"00:00:22,731","00:00:27,361",[Chelsea] <i>So many trials and tribulations</i> <i>brought me to this point.</i>,1,13.010000000000002,"#2, ","24.01, ","37.02, ",22.73,27.36
3,"00:00:28,362","00:00:31,072",<i>All the crazy years of my life</i>,0,0.0,,,,28.36,31.07
4,"00:00:31,156","00:00:36,077",<i>stacked on top of one another</i> <i>in a pile of mistaken identities.</i>,0,0.0,,,,31.16,36.08
5,"00:00:37,078","00:00:41,792","<i>I did countless hour specials</i> <i>where I looked like a damn fool,</i>",1,13.480000000000004,"#3, ","38.62, ","52.1, ",37.08,41.79
6,"00:00:41,876","00:00:44,127",<i>trying to be something I wasn't.</i>,0,0.0,,,,41.88,44.13
7,"00:00:44,211","00:00:48,674","{\an8}Ladies, who's a whore? We all are. We just need to own it.",0,0.0,,,,44.21,48.67
8,"00:00:48,757","00:00:51,969",{\an8}We're whores. I'm ugly but I'm a whore.,0,0.0,,,,48.76,51.97
9,"00:00:52,051","00:00:54,638",{\an8}[giggles] I'm a ugly whore. I don't care.,2,16.909999999999997,"#4, #5, ","52.91, 54.77, ","54.12, 70.47, ",52.05,54.64
10,"00:00:56,765","00:01:01,979",{\an8}Sometimes I feel like everybody tripping but me.,0,0.0,,,,56.77,61.98
11,"00:01:07,818","00:01:11,363",{\an8}It's go time!,1,1.269999999999996,"#6, ","72.37, ","73.64, ",67.82,71.36
12,"00:01:11,446","00:01:13,323",{\an8}[cheers and applause],0,0.0,,,,71.45,73.32
13,"00:01:13,407","00:01:14,742",Go time!,1,2.319999999999993,"#7, ","74.04, ","76.36, ",73.41,74.74
14,"00:01:16,827","00:01:21,999","{\an8}I'm still tired, and I got 12 hours' sleep last night.",2,5.529999999999987,"#8, #9, ","77.42, 81.62, ","80.77, 83.8, ",76.83,82.0
15,"00:01:22,082","00:01:23,584",{\an8}I'm still tired.,0,0.0,,,,82.08,83.58
16,"00:01:23,667","00:01:25,126",Who's tired?,0,0.0,,,,83.67,85.13
17,"00:01:25,210","00:01:28,839",Who's tired? Who's sleepy? I am. I know I am.,1,2.1700000000000017,"#10, ","87.88, ","90.05, ",85.21,88.84
18,"00:01:28,923","00:01:30,215",[chuckles],0,0.0,,,,88.92,90.22
19,"00:01:30,298","00:01:33,928","{\an8}In all seriousness though, who cares about anything?",1,6.72999999999999,"#11, ","91.84, ","98.57, ",90.3,93.93
20,"00:01:36,095","00:01:39,140",{\an8}[sighs] We'll all be dead soon.,1,3.0600000000000023,"#12, ","99.25, ","102.31, ",96.09,99.14
21,"00:01:40,601","00:01:44,855",<i>But it was time to put everything else</i> <i>behind me and start fresh.</i>,1,0.9399999999999977,"#13, ","103.45, ","104.39, ",100.6,104.86
22,"00:01:44,939","00:01:48,650",<i>I trained with the best</i> <i>impression coach in the world.</i>,1,1.5999999999999943,"#14, ","106.15, ","107.75, ",104.94,108.65
23,"00:01:48,734","00:01:50,235",{\an8}De Niro.,1,6.3500000000000085,"#15, ","109.52, ","115.87, ",108.73,110.23
24,"00:01:51,278","00:01:53,196",{\an8}Did you fuck my wife?,0,0.0,,,,111.28,113.2
25,"00:01:53,280","00:01:57,117","<i>Killed it, but I still had to go</i> <i>down Lombard Street.</i>",1,2.9799999999999898,"#16, ","116.68, ","119.66, ",113.28,117.12
26,"00:01:58,243","00:02:01,455","<i>At last, I made it to the venue--</i>",1,5.530000000000001,"#17, ","121.15, ","126.68, ",118.24,121.45
27,"00:02:03,164","00:02:04,708",<i>San Francisco--</i>,0,0.0,,,,123.16,124.71
28,"00:02:06,126","00:02:11,381","<i>my hometown Bay Area,</i> <i>the iconic Palace of Fine Arts.</i>",1,6.469999999999999,"#18, ","127.13, ","133.6, ",126.13,131.38
29,"00:02:11,465","00:02:15,052","<i>An icon within an already-iconic city,</i>",1,3.530000000000001,"#19, ","133.98, ","137.51, ",131.47,135.05
30,"00:02:15,135","00:02:18,097",<i>so it's like a double whammy</i> <i>of iconography.</i>,0,0.0,,,,135.13,138.1
31,"00:02:19,098","00:02:22,476",<i>I was still so far from showtime.</i>,1,4.490000000000009,"#20, ","139.87, ","144.36, ",139.1,142.48
32,"00:02:23,560","00:02:26,563","<i>First, I had to go through</i> <i>a rigorous calibration</i>",0,0.0,,,,143.56,146.56
33,"00:02:26,647","00:02:29,232",{\an8}<i>of the lighting environment on stage.</i>,1,2.530000000000001,"#21, ","147.01, ","149.54, ",146.65,149.23
34,"00:02:29,316","00:02:31,902",{\an8}This is interesting. This is interesting.,1,4.200000000000017,"#22, ","151.42, ","155.62, ",149.32,151.9
35,"00:02:31,986","00:02:35,489",{\an8}I don't know the terminology you guys use. It's a little harsh.,0,0.0,,,,151.99,155.49
36,"00:02:35,572","00:02:37,908","{\an8}It's hitting my eye a little--like, ow.",1,2.719999999999999,"#23, ","156.85, ","159.57, ",155.57,157.91
37,"00:02:37,992","00:02:40,577",<i>Pure fire.</i>,0,0.0,,,,157.99,160.58
38,"00:02:40,661","00:02:42,037",<i>But that wasn't all.</i>,0,0.0,,,,160.66,162.04
39,"00:02:42,121","00:02:46,249",<i>I also had to do a sound check.</i>,1,1.3200000000000216,"#24, ","165.79, ","167.11, ",162.12,166.25
40,"00:02:46,333","00:02:47,918",{\an8}Ladies!,0,0.0,,,,166.33,167.92
41,"00:02:48,002","00:02:50,921","{\an8}I mean, it's pretty good. I just want to make sure",0,0.0,,,,168.0,170.92
42,"00:02:51,005","00:02:54,133","{\an8}it can take the volume that I get to--like, what!",0,0.0,,,,171.0,174.13
43,"00:02:54,215","00:02:56,343",[heartbeat],0,0.0,,,,174.22,176.34
44,"00:02:57,719","00:02:59,054",♪♪,2,1.8100000000000023,"#25, #26, ","178.93, 180.97, ","180.12, 181.59, ",177.72,179.05
45,"00:03:01,682","00:03:06,436",<i>All that was left was for me</i> <i>to hit my knees and pray to God</i>,2,6.509999999999991,"#27, #28, ","183.06, 185.85, ","184.29, 191.13, ",181.68,186.44
46,"00:03:06,520","00:03:11,316",<i>to thank Him for all the humility</i> <i>He bestowed upon me...</i>,1,1.920000000000016,"#29, ","192.54, ","194.46, ",186.52,191.32
47,"00:03:12,567","00:03:16,279",<i>and the supreme gift</i> <i>He blessed me with.</i>,0,0.0,,,,192.57,196.28
48,"00:03:17,364","00:03:20,659",<i>I guess you could say</i> <i>I'm a direct vessel of God.</i>,2,30.31000000000003,"#30, #31, ","197.95, 206.66, ","205.06, 229.86, ",197.36,200.66
49,"00:03:32,253","00:03:34,798",<i>It was time to hit the slats</i>,0,0.0,,,,212.25,214.8
50,"00:03:34,882","00:03:37,926",<i>with nothing but the clothes on my back.</i>,0,0.0,,,,214.88,217.93
51,"00:03:38,927","00:03:43,974","<i>I'm like a loaded weapon,</i> <i>and my brain is the bullet.</i>",0,0.0,,,,218.93,223.97
52,"00:03:44,058","00:03:48,062",-[audience clapping rhythmically] <i>-They were already clapping for me.</i>,0,0.0,,,,224.06,228.06
53,"00:03:48,187","00:03:51,023",<i>[chuckles] Me! Imagine that.</i>,1,1.0699999999999932,"#32, ","232.02, ","233.09, ",228.19,231.02
54,"00:03:53,400","00:03:55,318","Okay, we're at places!",0,0.0,,,,233.4,235.32
55,"00:03:55,402","00:03:57,237","Stand by, lighting cue.",1,1.0500000000000114,"#33, ","235.72, ","236.77, ",235.4,237.24
56,"00:03:57,320","00:04:01,742","Spot 2, adjust your beams. You're just off soft.",1,28.109999999999985,"#34, ","239.53, ","267.64, ",237.32,241.74
57,"00:04:01,825","00:04:04,327","Spot 1, match spot 2.",0,0.0,,,,241.82,244.33
58,"00:04:04,411","00:04:07,622",We want more of a soft glow around the talent!,0,0.0,,,,244.41,247.62
59,"00:04:09,541","00:04:12,627","Spot 1 and 2, follow me out to my car.",0,0.0,,,,249.54,252.63
60,"00:04:12,711","00:04:15,172","[male announcer] <i>Ladies and gentlemen,</i> <i>the show's about to begin.</i>",0,0.0,,,,252.71,255.17
61,"00:04:15,255","00:04:17,424",<i>Please silence your cell phones.</i>,0,0.0,,,,255.25,257.42
62,"00:04:17,507","00:04:21,011","<i>No photos, no videos,</i> <i>and do not approach the stage with gifts.</i>",0,0.0,,,,257.51,261.01
63,"00:04:21,095","00:04:22,096",[gasps],0,0.0,,,,261.1,262.1
64,"00:04:24,139","00:04:25,348",[security guard] Let's go.,0,0.0,,,,264.14,265.35
65,"00:04:27,642","00:04:30,938","[announcer] <i>And now, Chelsea Peretti!</i>",1,31.299999999999955,"#35, ","268.47, ","299.77, ",267.64,270.94
66,"00:04:31,021","00:04:33,481",[audience cheers and applauds],0,0.0,,,,271.02,273.48
67,"00:04:33,565","00:04:35,067",♪♪,2,10.660000000000025,"#36, #37, ","300.21, 310.58, ","308.46, 312.99, ",273.56,275.07
68,"00:05:13,105","00:05:14,856",Thank you so much for coming out.,1,3.009999999999991,"#38, ","314.16, ","317.17, ",313.11,314.86
69,"00:05:14,940","00:05:19,236","I'm just like you guys. I'm also a huge fan of my work, and...",1,17.25,"#39, ","317.99, ","335.24, ",314.94,319.24
70,"00:05:19,319","00:05:22,572",just really excited to see what I'm gonna do up here...,0,0.0,,,,319.32,322.57
71,"00:05:22,656","00:05:25,742","uh, tonight. I am one of the greats.",0,0.0,,,,322.66,325.74
72,"00:05:25,826","00:05:26,827",[audience laughs],0,0.0,,,,325.83,326.83
