,filename,laughs,start,end,threshold,duration
0,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_0.wav,17.22,18.35,0.5,0.5
1,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_1.wav,26.66,27.41,0.5,0.5
2,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_2.wav,36.64,37.77,0.5,0.5
3,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_3.wav,40.6,41.99,0.5,0.5
4,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_4.wav,45.01,46.5,0.5,0.5
5,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_5.wav,48.65,49.2,0.5,0.5
6,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_6.wav,54.26,55.66,0.5,0.5
7,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_7.wav,63.98,64.49,0.5,0.5
8,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_8.wav,67.97,69.34,0.5,0.5
9,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_9.wav,73.13,74.03,0.5,0.5
10,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_10.wav,75.73,76.27,0.5,0.5
11,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_11.wav,77.88,78.39,0.5,0.5
12,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_12.wav,85.05,86.23,0.5,0.5
13,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_13.wav,86.89,87.92,0.5,0.5
14,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_14.wav,89.85,98.1,0.5,0.5
15,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_15.wav,99.81,160.49,0.5,0.5
16,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_16.wav,162.96,163.64,0.5,0.5
17,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_17.wav,172.61,181.87,0.5,0.5
18,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_18.wav,182.33,183.62,0.5,0.5
19,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_19.wav,185.33,186.0,0.5,0.5
20,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_20.wav,187.59,189.2,0.5,0.5
21,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_21.wav,191.67,192.71,0.5,0.5
22,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_22.wav,196.68,198.19,0.5,0.5
23,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_23.wav,199.73,211.14,0.5,0.5
24,Chris.Tucker...LIVE...2015...WEBRiP.x264.QCF-music.wav,/laughs/laugh_24.wav,215.28,217.18,0.5,0.5
