,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,172","00:00:08,508",[indistinct overlapping chatter],4,39.51000000000001,"#1, #2, #3, #4, ","13.74, 24.57, 35.83, 47.91, ","14.58, 25.27, 36.67, 85.04, ",6.17,8.51
1,"00:00:48,214","00:00:51,843","[woman]  Ladies and gentlemen, Chris Rock.",0,0.0,,,,48.21,51.84
2,"00:00:51,926","00:00:54,387",[audience cheers and applauds],0,0.0,,,,51.93,54.39
3,"00:01:12,822","00:01:13,740",Yeah.,0,0.0,,,,72.82,73.74
4,"00:01:16,034","00:01:17,452",Please.,0,0.0,,,,76.03,77.45
5,"00:01:17,535","00:01:19,120","Oh, sit down.",0,0.0,,,,77.53,79.12
6,"00:01:20,413","00:01:23,666",Sit yo asses down.,0,0.0,,,,80.41,83.67
7,"00:01:24,751","00:01:27,378",Please let me get on with the show.,0,0.0,,,,84.75,87.38
8,"00:01:27,837","00:01:29,756",It's nice to be here.,1,8.39,"#5, ","89.19, ","97.58, ",87.84,89.76
9,"00:01:30,298","00:01:31,257",Brooklyn.,0,0.0,,,,90.3,91.26
10,"00:01:33,802","00:01:35,053",Here's my question.,0,0.0,,,,93.8,95.05
11,"00:01:35,428","00:01:36,638",You would think...,0,0.0,,,,95.43,96.64
12,"00:01:37,097","00:01:38,264",You would think...,0,0.0,,,,97.1,98.26
13,"00:01:38,348","00:01:42,310",You would think the cops would occasionally shoot a white kid...,2,1.8399999999999892,"#6, #7, ","98.79, 102.65, ","99.76, 103.52, ",98.35,102.31
14,"00:01:42,811","00:01:44,813",just to make it look good.,1,3.0700000000000074,"#8, ","104.82, ","107.89, ",102.81,104.81
15,"00:01:46,106","00:01:48,608",You would think that every couple of months,0,0.0,,,,106.11,108.61
16,"00:01:48,691","00:01:51,736",they'd look at their dead nigga calender and go...,1,1.9399999999999977,"#9, ","110.98, ","112.92, ",108.69,111.74
17,"00:01:53,071","00:01:55,281","""Oh, my God, we're up to 16.",0,0.0,,,,113.07,115.28
18,"00:01:55,907","00:01:57,909","We gotta shoot a white kid quick.""",0,0.0,,,,115.91,117.91
19,"00:01:58,743","00:02:02,580","""Uh, which one?"" ""The first one you see singing Cardi B.""",1,5.689999999999998,"#10, ","122.84, ","128.53, ",118.74,122.58
20,"00:02:06,709","00:02:10,380","That's right. I mean, honestly, I wanna live in a world...",0,0.0,,,,126.71,130.38
21,"00:02:10,964","00:02:12,632",with real equality.,0,0.0,,,,130.96,132.63
22,"00:02:13,007","00:02:14,717",I wanna live in a world...,0,0.0,,,,133.01,134.72
23,"00:02:15,009","00:02:18,763",where an equal amount of white kids are shot every month.,1,1.7699999999999818,"#11, ","139.05, ","140.82, ",135.01,138.76
24,"00:02:20,390","00:02:21,808",An equal world.,0,0.0,,,,140.39,141.81
25,"00:02:21,975","00:02:26,479",I wanna see white mothers on TV crying.,2,2.5100000000000193,"#12, #13, ","146.1, 147.98, ","147.1, 149.49, ",141.97,146.48
26,"00:02:28,064","00:02:30,608",Standing next to Al Sharpton.,1,3.490000000000009,"#14, ","150.25, ","153.74, ",148.06,150.61
27,"00:02:33,153","00:02:35,947","Talking about, ""We need justice for Chad.",1,5.590000000000003,"#15, ","154.59, ","160.18, ",153.15,155.95
28,"00:02:37,532","00:02:40,034",We need justice for Chad.,0,0.0,,,,157.53,160.03
29,"00:02:40,535","00:02:44,122","He was just coming home from racquetball practice.""",2,3.0400000000000205,"#16, #17, ","161.09, 164.42, ","161.83, 166.72, ",160.53,164.12
30,"00:02:47,250","00:02:49,377","I know some people like, ""Come on, Chris, man.",0,0.0,,,,167.25,169.38
31,"00:02:49,460","00:02:51,462","You go too hard on the cops, man.",0,0.0,,,,169.46,171.46
32,"00:02:51,546","00:02:52,672",You're a celebrity.,0,0.0,,,,171.55,172.67
33,"00:02:53,006","00:02:56,342","I'm sure they let you go. I'm sure they're nice to you, man. You a celebrity.""",1,1.1299999999999955,"#18, ","173.66, ","174.79, ",173.01,176.34
34,"00:02:56,843","00:02:58,928","Yeah, I'm famous, you know.",0,0.0,,,,176.84,178.93
35,"00:02:59,304","00:03:01,764","But I'm not, like, Michael Jackson, famous.",0,0.0,,,,179.3,181.76
36,"00:03:02,056","00:03:04,517",I'm not famous from miles away.,1,5.409999999999997,"#19, ","184.88, ","190.29, ",182.06,184.52
37,"00:03:09,439","00:03:12,150","Like, my fame kicks in right about here.",1,3.700000000000017,"#20, ","192.13, ","195.83, ",189.44,192.15
38,"00:03:14,319","00:03:17,197","You know? When the cops see me walking down the street,",0,0.0,,,,194.32,197.2
39,"00:03:17,280","00:03:19,782","they're like, ""Nigga, nigga, nigga, nigga, nigga...",1,5.6299999999999955,"#21, ","199.56, ","205.19, ",197.28,199.78
40,"00:03:20,200","00:03:22,202","Hey, that's Chris Rock!",0,0.0,,,,200.2,202.2
41,"00:03:24,621","00:03:28,041","Man, you are funny, man. I love  Pootie Tang,  man.""",2,3.700000000000017,"#22, #23, ","208.12, 212.39, ","210.11, 214.1, ",204.62,208.04
42,"00:03:32,795","00:03:34,797","It's weird, man. It's weird.",0,0.0,,,,212.79,214.8
43,"00:03:34,881","00:03:37,342","You know, this whole thing with the cops, man, 'cause...",0,0.0,,,,214.88,217.34
44,"00:03:37,467","00:03:41,137","You know, as a black man, especially a grown black man,",0,0.0,,,,217.47,221.14
45,"00:03:41,554","00:03:44,515","I have a weird relationship with the cops, man.",0,0.0,,,,221.55,224.51
46,"00:03:44,599","00:03:48,770","Like, on one hand I'm a black man so I'm like, ""Fuck the police.""",0,0.0,,,,224.6,228.77
47,"00:03:49,812","00:03:53,316","And on the other hand, I own property.",1,4.089999999999975,"#24, ","233.55, ","237.64, ",229.81,233.32
48,"00:03:57,612","00:04:01,616","You know, if somebody comes and breaks in my house, I'm not calling the crips.",1,3.1299999999999955,"#25, ","241.74, ","244.87, ",237.61,241.62
49,"00:04:04,786","00:04:06,120","Uh, yo, crips...",1,0.7400000000000091,"#26, ","246.5, ","247.24, ",244.79,246.12
50,"00:04:07,038","00:04:08,790",can you send Lil' JJ down?,1,1.3400000000000034,"#27, ","248.96, ","250.3, ",247.04,248.79
51,"00:04:09,749","00:04:11,042","Oh, he's here already.",2,4.340000000000032,"#28, #29, ","251.2, 252.89, ","252.36, 256.07, ",249.75,251.04
52,"00:04:15,672","00:04:19,092","My bad. My bad."" I mean, here's the thing with the cops, though,",1,1.0299999999999727,"#30, ","257.43, ","258.46, ",255.67,259.09
53,"00:04:19,259","00:04:23,972","I mean, being a cop is a hard job, man. It's a hard fucking job, man.",0,0.0,,,,259.26,263.97
54,"00:04:24,180","00:04:26,933","I mean, honestly, I don't think they pay cops enough.",0,0.0,,,,264.18,266.93
55,"00:04:27,934","00:04:32,355",-I don't think they pay police enough. -[scattered clapping],1,3.109999999999957,"#31, ","270.79, ","273.9, ",267.93,272.36
56,"00:04:33,648","00:04:35,650",And you get what you pay for.,2,4.7900000000000205,"#32, #33, ","275.57, 280.62, ","278.86, 282.12, ",273.65,275.65
57,"00:04:40,738","00:04:46,035","Here's the thing, man. Whenever the cops gun down an innocent black man...",0,0.0,,,,280.74,286.04
