,filename,laughs,start,end,threshold,duration
1,Chris.Rock...Tamborine-music.wav,/laughs/laugh_1.wav,13.74,14.58,0.5,0.5
2,Chris.Rock...Tamborine-music.wav,/laughs/laugh_2.wav,24.57,25.27,0.5,0.5
3,Chris.Rock...Tamborine-music.wav,/laughs/laugh_3.wav,35.83,36.67,0.5,0.5
4,Chris.Rock...Tamborine-music.wav,/laughs/laugh_4.wav,47.91,85.04,0.5,0.5
5,Chris.Rock...Tamborine-music.wav,/laughs/laugh_5.wav,89.19,97.58,0.5,0.5
6,Chris.Rock...Tamborine-music.wav,/laughs/laugh_6.wav,98.79,99.76,0.5,0.5
7,Chris.Rock...Tamborine-music.wav,/laughs/laugh_7.wav,102.65,103.52,0.5,0.5
8,Chris.Rock...Tamborine-music.wav,/laughs/laugh_8.wav,104.82,107.89,0.5,0.5
9,Chris.Rock...Tamborine-music.wav,/laughs/laugh_9.wav,110.98,112.92,0.5,0.5
10,Chris.Rock...Tamborine-music.wav,/laughs/laugh_10.wav,122.84,128.53,0.5,0.5
11,Chris.Rock...Tamborine-music.wav,/laughs/laugh_11.wav,139.05,140.82,0.5,0.5
12,Chris.Rock...Tamborine-music.wav,/laughs/laugh_12.wav,146.1,147.1,0.5,0.5
13,Chris.Rock...Tamborine-music.wav,/laughs/laugh_13.wav,147.98,149.49,0.5,0.5
14,Chris.Rock...Tamborine-music.wav,/laughs/laugh_14.wav,150.25,153.74,0.5,0.5
15,Chris.Rock...Tamborine-music.wav,/laughs/laugh_15.wav,154.59,160.18,0.5,0.5
16,Chris.Rock...Tamborine-music.wav,/laughs/laugh_16.wav,161.09,161.83,0.5,0.5
17,Chris.Rock...Tamborine-music.wav,/laughs/laugh_17.wav,164.42,166.72,0.5,0.5
18,Chris.Rock...Tamborine-music.wav,/laughs/laugh_18.wav,173.66,174.79,0.5,0.5
19,Chris.Rock...Tamborine-music.wav,/laughs/laugh_19.wav,184.88,190.29,0.5,0.5
20,Chris.Rock...Tamborine-music.wav,/laughs/laugh_20.wav,192.13,195.83,0.5,0.5
21,Chris.Rock...Tamborine-music.wav,/laughs/laugh_21.wav,199.56,205.19,0.5,0.5
22,Chris.Rock...Tamborine-music.wav,/laughs/laugh_22.wav,208.12,210.11,0.5,0.5
23,Chris.Rock...Tamborine-music.wav,/laughs/laugh_23.wav,212.39,214.1,0.5,0.5
24,Chris.Rock...Tamborine-music.wav,/laughs/laugh_24.wav,233.55,237.64,0.5,0.5
25,Chris.Rock...Tamborine-music.wav,/laughs/laugh_25.wav,241.74,244.87,0.5,0.5
26,Chris.Rock...Tamborine-music.wav,/laughs/laugh_26.wav,246.5,247.24,0.5,0.5
27,Chris.Rock...Tamborine-music.wav,/laughs/laugh_27.wav,248.96,250.3,0.5,0.5
28,Chris.Rock...Tamborine-music.wav,/laughs/laugh_28.wav,251.2,252.36,0.5,0.5
