,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,006","00:00:08,176",[disco music playing],0,0.0,,,,6.01,8.18
1,"00:00:08,267","00:00:10,267",[horn blows],1,78.28,"#1, ","9.25, ","87.53, ",8.27,10.27
2,"00:00:15,749","00:00:18,489",♪ <i>Young and pretty New York City girl</i> ♪,0,0.0,,,,15.75,18.49
3,"00:00:19,052","00:00:23,222","♪ <i>Twenty-five, 35,</i> <i>hello, baby, New York City girl</i> ♪",0,0.0,,,,19.05,23.22
4,"00:00:24,391","00:00:29,831","♪ <i>You grew up ridin’ the subways,</i> <i>running with people</i> ♪",0,0.0,,,,24.39,29.83
5,"00:00:31,098","00:00:33,098","♪ <i>Up in Harlem, down on Broadway</i> ♪",0,0.0,,,,31.1,33.1
6,"00:00:33,166","00:00:36,396","♪ <i>You’re no tramp, but you’re no lady</i> ♪",0,0.0,,,,33.17,36.4
7,"00:00:36,837","00:00:39,407",♪ <i>Talkin’ that street talk</i> ♪,0,0.0,,,,36.84,39.41
8,"00:00:39,506","00:00:41,976",♪ <i>You’re the heart and soul</i> <i>of New York City</i> ♪,0,0.0,,,,39.51,41.98
9,"00:00:42,075","00:00:44,205",♪ <i>And love</i> ♪,0,0.0,,,,42.08,44.2
10,"00:00:45,601","00:00:49,431",♪ <i>Love is just a passing word</i> ♪,0,0.0,,,,45.6,49.43
11,"00:00:50,067","00:00:52,397",♪ <i>It’s the thought you had</i> ♪,0,0.0,,,,50.07,52.4
12,"00:00:52,452","00:00:56,992",♪ <i>In a taxi cab that got left</i> <i>on the curb</i> ♪,0,0.0,,,,52.45,56.99
13,"00:00:58,534","00:01:00,274",[music continues],0,0.0,,,,58.53,60.27
14,"00:01:00,334","00:01:02,204",-[cheering] -Thank you.,0,0.0,,,,60.33,62.2
15,"00:01:02,262","00:01:05,272","Thank you. Thank you, folks.",0,0.0,,,,62.26,65.27
16,"00:01:06,167","00:01:08,797","Folks, thank you. Thank you.",0,0.0,,,,66.17,68.8
17,"00:01:09,336","00:01:12,506","-[music, applause continue] -All right. Stop, folks. Stop!",0,0.0,,,,69.34,72.51
18,"00:01:13,307","00:01:16,377","Stop it, folks. Folks.",0,0.0,,,,73.31,76.38
19,"00:01:16,467","00:01:18,427",-[cheering continues] -Enough.,0,0.0,,,,76.47,78.43
20,"00:01:18,512","00:01:22,082",I’m not kidding. I’ll stop the show.,0,0.0,,,,78.51,82.08
21,"00:01:22,149","00:01:26,149",-I’ll stop the show. -[cheering continues],0,0.0,,,,82.15,86.15
22,"00:01:26,219","00:01:30,959","Folks, I’m not playing games. I’ll stop the show. Enough applause.",1,0.6099999999999994,"#2, ","90.83, ","91.44, ",86.22,90.96
23,"00:01:31,024","00:01:34,864",If you want exuberance-- This is a New York show. It’s not--,0,0.0,,,,91.02,94.86
24,"00:01:34,934","00:01:37,474",Exuberance is the West Coast. That’s my whole point.,1,1.9300000000000068,"#3, ","96.6, ","98.53, ",94.93,97.47
25,"00:01:38,498","00:01:41,128",Applause is killin’ this city. Understand me?,0,0.0,,,,98.5,101.13
26,"00:01:41,201","00:01:44,371","The West Coast-- exuberant, enthusiastic people--",0,0.0,,,,101.2,104.37
27,"00:01:44,467","00:01:47,667","That’s what they’re supposed to be, ’cause it’s paradise on earth.",0,0.0,,,,104.47,107.67
28,"00:01:47,734","00:01:49,704","So they’re happy and enthusiastic,",0,0.0,,,,107.73,109.7
29,"00:01:49,743","00:01:51,783",perpetually surprised by everything that goes on.,0,0.0,,,,109.74,111.78
30,"00:01:51,845","00:01:55,145","Oh. “The mountains, the beach.” Ah.",0,0.0,,,,111.84,115.14
31,"00:01:55,234","00:01:56,874","Everything they do, they’ve done it a hundred times.",0,0.0,,,,115.23,116.87
32,"00:01:56,934","00:02:00,204",It’s like the first time. “You wanna go to the store?” “Yeah!”,1,1.0900000000000034,"#4, ","119.94, ","121.03, ",116.93,120.2
33,"00:02:01,434","00:02:04,474","Midwest-- Humble, hard workin’. They had to farm.",0,0.0,,,,121.43,124.47
34,"00:02:04,534","00:02:06,504",So they got that personality.,0,0.0,,,,124.53,126.5
35,"00:02:06,567","00:02:09,797",The South. Very hot. Very polite.,0,0.0,,,,126.57,129.8
36,"00:02:09,868","00:02:11,998","Overly polite because, you know,",0,0.0,,,,129.87,132.0
37,"00:02:12,067","00:02:14,367",could get a little violent if you’re not careful.,1,0.5900000000000034,"#5, ","134.09, ","134.68, ",132.07,134.37
38,"00:02:15,300","00:02:18,900","I don’t know about you, but I got a concealed carry permit myself.",0,0.0,,,,135.3,138.9
