,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,090","00:00:08,341",THE UNIVERSITY OF THE ARTS MERRIAM THEATER,0,0.0,,,,7.09,8.34
1,"00:00:10,969","00:00:14,264",♪America has to take those blindfolds off ♪,1,1.7200000000000006,"#1, ","14.1, ","15.82, ",10.97,14.26
2,"00:00:14,347","00:00:15,557",♪ You are not machines! ♪,0,0.0,,,,14.35,15.56
3,"00:00:15,932","00:00:17,434",-♪ Blindfolds off ♪ -[scratching],1,1.740000000000002,"#2, ","16.93, ","18.67, ",15.93,17.43
4,"00:00:17,517","00:00:18,351",♪ You are men! ♪,0,0.0,,,,17.52,18.35
5,"00:00:18,435","00:00:20,937",♪ Blindfolds off ♪,1,7.760000000000002,"#3, ","20.61, ","28.37, ",18.43,20.94
6,"00:00:21,730","00:00:23,690","Coming to the stage, he's the king of comedy.",0,0.0,,,,21.73,23.69
7,"00:00:23,773","00:00:28,403",Y'all clap your hands right now for my man--D.L. Hughley!,0,0.0,,,,23.77,28.4
8,"00:00:28,486","00:00:29,487",[cheering],0,0.0,,,,28.49,29.49
9,"00:00:29,571","00:00:30,947",CONTRARIAN,4,6.610000000000003,"#4, #5, #6, #7, ","31.76, 34.28, 36.25, 38.97, ","32.94, 34.89, 37.09, 42.95, ",29.57,30.95
10,"00:00:39,164","00:00:41,791","How about it, Philadelphia?",0,0.0,,,,39.16,41.79
11,"00:00:41,875","00:00:44,711",A NETFLIX ORIGINAL COMEDY SPECIAL,1,0.759999999999998,"#8, ","43.89, ","44.65, ",41.88,44.71
12,"00:00:44,794","00:00:48,590","This is a hell of a city y'all got here, man.",1,4.410000000000004,"#9, ","46.16, ","50.57, ",44.79,48.59
13,"00:00:49,299","00:00:52,844","I was walking here, a motherfucker tried to sell me a bootleg shirt of me.",1,3.009999999999998,"#10, ","52.81, ","55.82, ",49.3,52.84
14,"00:00:52,927","00:00:53,803",I was like...,1,0.5399999999999991,"#11, ","57.51, ","58.05, ",52.93,53.8
15,"00:00:57,849","00:00:59,476","""This is spelled wrong.""",1,1.6600000000000037,"#12, ","59.54, ","61.2, ",57.85,59.48
16,"00:01:00,602","00:01:02,479","""How you know, motherfucker?""",1,3.0700000000000003,"#13, ","62.35, ","65.42, ",60.6,62.48
17,"00:01:04,647","00:01:06,900","I'm glad 2017 is over, man.",0,0.0,,,,64.65,66.9
18,"00:01:06,983","00:01:08,943",-It took everybody. Prince gone. -[audience] Yeah.,1,0.5499999999999972,"#14, ","67.7, ","68.25, ",66.98,68.94
19,"00:01:09,027","00:01:11,821",How the fuck Prince gone and Bobby Brown healthy as hell?,1,3.8500000000000085,"#15, ","71.49, ","75.34, ",69.03,71.82
20,"00:01:14,616","00:01:16,493",That's how you know God wasn't working that day.,1,0.7999999999999972,"#16, ","76.97, ","77.77, ",74.62,76.49
21,"00:01:18,036","00:01:19,579",That must have been a intern.,1,3.799999999999997,"#17, ","79.29, ","83.09, ",78.04,79.58
22,"00:01:20,830","00:01:22,248","""Stephanie, what did you do?",0,0.0,,,,80.83,82.25
23,"00:01:23,083","00:01:24,584","I said, 'Soldier Boy.'""",1,1.5600000000000023,"#18, ","84.61, ","86.17, ",83.08,84.58
24,"00:01:28,129","00:01:30,215","That would have been sad, but not quite as sad.",0,0.0,,,,88.13,90.22
25,"00:01:30,298","00:01:31,591",You could live without that.,0,0.0,,,,90.3,91.59
26,"00:01:31,674","00:01:34,260",I flew United Airlines. That's a rough deal there.,0,0.0,,,,91.67,94.26
27,"00:01:34,385","00:01:36,387",United beating the shit out of they passengers.,1,2.589999999999989,"#19, ","96.12, ","98.71, ",94.39,96.39
28,"00:01:37,514","00:01:40,767","Remember they beat that Vietnamese doctor so bad, he started speaking English?",1,4.030000000000001,"#20, ","100.73, ","104.76, ",97.51,100.77
29,"00:01:41,601","00:01:42,602","""Ouch! Shit!""",0,0.0,,,,101.6,102.6
30,"00:01:44,312","00:01:47,649","I fly United, I fly first class. I make 'em close that curtain",1,0.5799999999999983,"#21, ","106.61, ","107.19, ",104.31,107.65
31,"00:01:47,732","00:01:49,901",'cause I don't like that suffering go back in coach.,1,2.230000000000004,"#22, ","109.52, ","111.75, ",107.73,109.9
32,"00:01:52,821","00:01:55,907","""It's so hot, we can't breathe."" ""Close the curtain. I can't take it.""",1,3.469999999999999,"#23, ","114.92, ","118.39, ",112.82,115.91
33,"00:01:57,450","00:02:00,203","""Only have one upgrade. I can't help 'em all. Please, Jesus.",1,2.2099999999999937,"#24, ","119.81, ","122.02, ",117.45,120.2
34,"00:02:01,121","00:02:02,872","Just put the dog in the overhead.""",0,0.0,,,,121.12,122.87
35,"00:02:02,956","00:02:05,500",[loud groaning],1,2.1299999999999955,"#25, ","123.2, ","125.33, ",122.96,125.5
36,"00:02:07,460","00:02:10,922","Now, if I'd have said ""baby"", y'all wouldn't have moaned at all.",1,1.1699999999999875,"#26, ","130.21, ","131.38, ",127.46,130.92
37,"00:02:11,005","00:02:13,007","""Well, they got them little pillows up there.",0,0.0,,,,131.0,133.01
38,"00:02:13,424","00:02:15,969","Ain't no dog ever kicked my chair the whole flight.""",2,4.8700000000000045,"#27, #28, ","136.03, 138.2, ","137.82, 141.28, ",133.42,135.97
