,filename,laughs,start,end,threshold,duration
1,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_1.wav,14.1,15.82,0.5,0.5
2,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_2.wav,16.93,18.67,0.5,0.5
3,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_3.wav,20.61,28.37,0.5,0.5
4,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_4.wav,31.76,32.94,0.5,0.5
5,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_5.wav,34.28,34.89,0.5,0.5
6,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_6.wav,36.25,37.09,0.5,0.5
7,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_7.wav,38.97,42.95,0.5,0.5
8,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_8.wav,43.89,44.65,0.5,0.5
9,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_9.wav,46.16,50.57,0.5,0.5
10,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_10.wav,52.81,55.82,0.5,0.5
11,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_11.wav,57.51,58.05,0.5,0.5
12,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_12.wav,59.54,61.2,0.5,0.5
13,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_13.wav,62.35,65.42,0.5,0.5
14,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_14.wav,67.7,68.25,0.5,0.5
15,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_15.wav,71.49,75.34,0.5,0.5
16,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_16.wav,76.97,77.77,0.5,0.5
17,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_17.wav,79.29,83.09,0.5,0.5
18,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_18.wav,84.61,86.17,0.5,0.5
19,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_19.wav,96.12,98.71,0.5,0.5
20,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_20.wav,100.73,104.76,0.5,0.5
21,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_21.wav,106.61,107.19,0.5,0.5
22,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_22.wav,109.52,111.75,0.5,0.5
23,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_23.wav,114.92,118.39,0.5,0.5
24,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_24.wav,119.81,122.02,0.5,0.5
25,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_25.wav,123.2,125.33,0.5,0.5
26,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_26.wav,130.21,131.38,0.5,0.5
27,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_27.wav,136.03,137.82,0.5,0.5
28,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_28.wav,138.2,141.28,0.5,0.5
29,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_29.wav,146.16,149.75,0.5,0.5
30,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_30.wav,157.66,160.94,0.5,0.5
31,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_31.wav,161.99,164.45,0.5,0.5
32,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_32.wav,165.85,166.72,0.5,0.5
33,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_33.wav,168.69,173.5,0.5,0.5
34,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_34.wav,188.07,189.02,0.5,0.5
35,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_35.wav,190.47,196.87,0.5,0.5
36,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_36.wav,197.96,199.69,0.5,0.5
37,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_37.wav,201.64,204.89,0.5,0.5
38,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_38.wav,206.06,206.56,0.5,0.5
39,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_39.wav,217.04,222.55,0.5,0.5
40,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_40.wav,223.22,224.02,0.5,0.5
41,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_41.wav,225.44,230.75,0.5,0.5
42,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_42.wav,231.02,231.81,0.5,0.5
43,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_43.wav,232.15,232.71,0.5,0.5
