,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:22,300","00:00:24,427",[audience cheering],0,0.0,,,,22.3,24.43
1,"00:00:39,734","00:00:41,736",[mouthing],0,0.0,,,,39.73,41.74
2,"00:00:48,951","00:00:50,036",Thank you.,0,0.0,,,,48.95,50.04
3,"00:00:51,287","00:00:52,288",Man!,0,0.0,,,,51.29,52.29
4,"00:00:52,913","00:00:56,584",Let's talk about the phenomenon that is Donald Trump.,0,0.0,,,,52.91,56.58
5,"00:00:56,667","00:00:58,586",[scattered jeers],0,0.0,,,,56.67,58.59
6,"00:00:58,670","00:01:02,298","People angry already. ""What? I'll kill you!""",1,16.21,"#2, ","59.32, ","75.53, ",58.67,62.3
7,"00:01:03,299","00:01:06,011","[mimics Trump] ""Donald Trump, okay? Donald Trump, all right?""",0,0.0,,,,63.3,66.01
8,"00:01:07,345","00:01:09,222",I do him a little effeminate. I don't know why.,0,0.0,,,,67.34,69.22
9,"00:01:09,305","00:01:10,705","I just do him, like, a little soft,",0,0.0,,,,69.31,70.7
10,"00:01:10,765","00:01:15,728","little bit of lotion, little bit of ChapStick. I just do, you know.",0,0.0,,,,70.77,75.73
11,"00:01:15,811","00:01:18,372","I mean, he's got his patented moves. You know, he's got the seal.",1,1.2199999999999989,"#3, ","77.29, ","78.51, ",75.81,78.37
12,"00:01:18,398","00:01:19,518","That's one of his, the seal.",1,30.720000000000013,"#4, ","79.21, ","109.93, ",78.4,79.52
13,"00:01:19,565","00:01:21,734","""Okay, okay, okay, okay.""",0,0.0,,,,79.56,81.73
14,"00:01:22,652","00:01:24,195",[bleating],0,0.0,,,,82.65,84.19
15,"00:01:25,696","00:01:28,616","The index shuffle. ""Okay. Okay. Okay. Okay.",0,0.0,,,,85.7,88.62
16,"00:01:28,699","00:01:30,576","Okay. Okay. Okay. Okay.""",0,0.0,,,,88.7,90.58
17,"00:01:31,911","00:01:34,622","He's like a Batman villain if you think about it, isn't he?",0,0.0,,,,91.91,94.62
18,"00:01:34,705","00:01:36,832","""You'll never get away with this, Trump.""",0,0.0,,,,94.7,96.83
19,"00:01:36,916","00:01:39,669","""You know... I think I will, okay?""",0,0.0,,,,96.92,99.67
20,"00:01:49,512","00:01:54,559",The thing of 2016 was that he took out Jeb Bush. He took him out.,2,1.710000000000008,"#5, #6, ","110.54, 113.57, ","111.34, 114.48, ",109.51,114.56
21,"00:01:54,642","00:01:58,021","The Bushes, they're tough, man. They're like the ""Sons of Katie Elder.""",1,4.969999999999999,"#7, ","116.92, ","121.89, ",114.64,118.02
22,"00:01:58,104","00:01:59,189",Boomer reference.,0,0.0,,,,118.1,119.19
23,"00:02:00,023","00:02:03,109","They're pissed, you know, 'cause Trump took him down so fast.",0,0.0,,,,120.02,123.11
24,"00:02:03,193","00:02:06,404","He just went, ""You know, you know, you know, Jeb"",",1,36.94,"#8, ","123.34, ","160.28, ",123.19,126.4
25,"00:02:06,487","00:02:08,531","you're a low-energy individual, okay?",0,0.0,,,,126.49,128.53
26,"00:02:09,449","00:02:13,911","You're very tired. You're very tired. You're very, very tired.",0,0.0,,,,129.45,133.91
27,"00:02:14,704","00:02:21,211","""You're tired... tired... tired.""",0,0.0,,,,134.7,141.21
28,"00:02:21,294","00:02:24,547","And I looked at Jeb Bush, and I thought, ""My God, he's right!""",0,0.0,,,,141.29,144.55
29,"00:02:25,548","00:02:28,551",He looks like a vice principal of a junior high school.,0,0.0,,,,145.55,148.55
30,"00:02:36,976","00:02:38,311",[laughs],0,0.0,,,,156.98,158.31
31,"00:02:38,394","00:02:42,940","'Cause Bush family... But you gotta admit how fun to put W,",2,16.23999999999998,"#9, #10, ","160.97, 162.97, ","162.76, 177.42, ",158.39,162.94
32,"00:02:43,024","00:02:45,443","not Jeb but W, up against Trump.",0,0.0,,,,163.02,165.44
33,"00:02:45,526","00:02:48,571",'Cause W... W is like... He's kinda like a street fighter.,0,0.0,,,,165.53,168.57
34,"00:02:48,654","00:02:50,448",He's kinda...,0,0.0,,,,168.65,170.45
35,"00:02:50,531","00:02:53,242","You know, he's kinda just itchy and kinda jumpy.",0,0.0,,,,170.53,173.24
36,"00:02:53,326","00:02:56,079",[mimics George Bush laughing],0,0.0,,,,173.33,176.08
37,"00:02:56,162","00:02:57,580",Yeah.,0,0.0,,,,176.16,177.58
38,"00:02:57,663","00:03:01,334","He's the only president who was, like, surfing and hitchhiking the entire time.",1,8.560000000000002,"#11, ","178.79, ","187.35, ",177.66,181.33
39,"00:03:07,340","00:03:09,985","I would love to see him up against Trump, 'cause Trump would be like,",1,12.530000000000001,"#12, ","188.98, ","201.51, ",187.34,189.99
40,"00:03:10,009","00:03:13,012","""You know, you're president because your daddy was president. That's it.",0,0.0,,,,190.01,193.01
41,"00:03:13,095","00:03:14,805","Okay? Okay? Okay?""",0,0.0,,,,193.09,194.81
42,"00:03:14,889","00:03:17,892","W would be like... [chuckling] ""Yeah.""",0,0.0,,,,194.89,197.89
43,"00:03:21,020","00:03:23,063",Who does your hair? Stupidcuts?,1,19.25999999999999,"#13, ","201.8, ","221.06, ",201.02,203.06
44,"00:03:31,197","00:03:33,533","""'Cause that thing is hair-diculous.""",0,0.0,,,,211.2,213.53
45,"00:03:40,623","00:03:43,384","An impression can be anything, in my mind. And that's my impression...",1,6.8300000000000125,"#14, ","222.92, ","229.75, ",220.62,223.38
46,"00:03:43,459","00:03:46,129",My impression of W. Kinda like a drunk marionette.,0,0.0,,,,223.46,226.13
47,"00:03:49,507","00:03:51,217","The thing about Trump, though,",0,0.0,,,,229.51,231.22
48,"00:03:51,301","00:03:55,513","if you agree with him, you might kinda like him on certain subjects,",1,1.299999999999983,"#15, ","232.83, ","234.13, ",231.3,235.51
49,"00:03:55,596","00:03:57,640",'cause he's such a blunt force instrument.,1,0.7299999999999898,"#16, ","237.18, ","237.91, ",235.6,237.64
50,"00:03:57,723","00:03:59,058","Like, who else would you want,",0,0.0,,,,237.72,239.06
51,"00:03:59,142","00:04:02,395","if he was afraid of global warming at a global warming conference, than Trump?",1,1.4199999999999875,"#17, ","239.18, ","240.6, ",239.14,242.4
52,"00:04:02,478","00:04:05,898","'Cause he would be like, ""You know... you know, you're stupid countries.""",1,8.780000000000001,"#18, ","242.59, ","251.37, ",242.48,245.9
53,"00:04:05,981","00:04:08,734","You're very stupid. You're stupid, stupid countries.",0,0.0,,,,245.98,248.73
54,"00:04:10,069","00:04:12,756",You're a disaster. You're a disaster. You're spewing stuff in the air.,1,2.289999999999992,"#19, ","251.71, ","254.0, ",250.07,252.76
55,"00:04:12,780","00:04:16,326","It's a disaster. It's a disaster. You're a stupid, stupid disaster.",1,9.600000000000023,"#20, ","254.88, ","264.48, ",252.78,256.33
56,"00:04:16,409","00:04:18,744",The whole planet's getting hot. Even the grass is hot.,0,0.0,,,,256.41,258.74
57,"00:04:18,828","00:04:21,414","Ouch, ouch, ouch, ouch, ouch, ouch...",0,0.0,,,,258.83,261.41
58,"00:04:24,167","00:04:29,172","I will be so good with global warming. I will be so, so good with global warming.",1,16.189999999999998,"#21, ","265.21, ","281.4, ",264.17,269.17
59,"00:04:30,089","00:04:32,842",I will make CO2 pay for it. I promise you that.,0,0.0,,,,270.09,272.84
60,"00:04:35,511","00:04:37,972",I know how to make glaciers. I know how to make glaciers.,0,0.0,,,,275.51,277.97
61,"00:04:38,055","00:04:40,057","I can make a lot of glaciers, okay?",0,0.0,,,,278.06,280.06
62,"00:04:41,517","00:04:44,020",I will take all the ice from the Trump Hotels...,1,23.360000000000014,"#22, ","281.65, ","305.01, ",281.52,284.02
63,"00:04:44,103","00:04:46,105",It's a lot of ice. I can promise you that.,0,0.0,,,,284.1,286.11
