,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,808","00:00:09,776","<i>[Morgan Freeman]</i> <span style=""style_1"">He's in the trance. </i>",0,0.0,,,,7.81,9.78
1,"00:00:09,843","00:00:11,945","<i>He isn't thinking of jokes, though.</i>",0,0.0,,,,9.84,11.95
2,"00:00:12,012","00:00:15,415",<i>He's composing the voiceover</i> <i>I'm saying to you right now.</i>,0,0.0,,,,12.01,15.41
3,"00:00:16,216","00:00:20,153",<i>Getting me to agree to this</i> <i>was beyond his wildest dreams.</i>,0,0.0,,,,16.22,20.15
4,"00:00:20,220","00:00:23,624",<i>And he doesn't want to waste</i> <i>the opportunity on the frivolous.</i>,1,0.6400000000000006,"#0, ","22.33, ","22.97, ",20.22,23.62
5,"00:00:25,425","00:00:28,829",<i>You have reached the voicemail</i> <i>of comedic genius Dave Chappelle.</i>,1,0.620000000000001,"#1, ","26.32, ","26.94, ",25.43,28.83
6,"00:00:28,896","00:00:32,199","<i>Unfortunately, </i> <i>he can't or won't speak right now,</i>",0,0.0,,,,28.9,32.2
7,"00:00:32,266","00:00:34,635",<i>so please leave a detailed message.</i>,1,10.219999999999999,"#2, ","33.01, ","43.23, ",32.27,34.63
8,"00:00:34,701","00:00:36,470",<i>[music playing]</i>,0,0.0,,,,34.7,36.47
9,"00:00:37,237","00:00:38,238",<i>♪ Play me ♪</i>,0,0.0,,,,37.24,38.24
10,"00:00:39,540","00:00:40,874",<i>♪ Buy me ♪</i>,0,0.0,,,,39.54,40.87
11,"00:00:42,209","00:00:43,510",<i>♪ Workinonit ♪</i>,0,0.0,,,,42.21,43.51
12,"00:00:44,511","00:00:45,612",<i>♪ Tune up ♪</i>,1,17.130000000000003,"#3, ","44.71, ","61.84, ",44.51,45.61
13,"00:00:47,214","00:00:48,215",<i>♪ Tune ♪</i>,0,0.0,,,,47.21,48.22
14,"00:00:50,617","00:00:51,718",<i>♪ Oh ♪</i>,0,0.0,,,,50.62,51.72
15,"00:00:52,586","00:00:53,620",<i>♪ Fade me ♪</i>,1,86.42999999999999,"#4, ","64.26, ","150.69, ",52.59,53.62
16,"00:01:06,366","00:01:07,401",<i>♪ Whoo! ♪</i>,0,0.0,,,,66.37,67.4
17,"00:01:07,467","00:01:08,902",<i>[music playing]</i>,0,0.0,,,,67.47,68.9
18,"00:01:08,969","00:01:10,637","<i>♪ Now, when I was a young boy ♪</i>",0,0.0,,,,68.97,70.64
19,"00:01:12,606","00:01:14,675",<i>♪ At the age of five ♪</i>,0,0.0,,,,72.61,74.67
20,"00:01:15,976","00:01:17,911",<i>♪ My mother said I was gonna be ♪</i>,0,0.0,,,,75.98,77.91
21,"00:01:19,413","00:01:21,415",<i>♪ The greatest man alive... ♪</i>,0,0.0,,,,79.41,81.42
22,"00:01:21,481","00:01:22,816",<i>[cheers and applause]</i>,0,0.0,,,,81.48,82.82
23,"00:01:22,883","00:01:24,818",<i>♪ But now I'm a man ♪</i>,0,0.0,,,,82.88,84.82
24,"00:01:26,520","00:01:28,255",<i>♪ Way past 21 ♪</i>,0,0.0,,,,86.52,88.25
25,"00:01:29,857","00:01:31,225",<i>♪ I'm a man ♪</i>,0,0.0,,,,89.86,91.22
26,"00:01:33,227","00:01:34,728",<i>♪ I spell M ♪</i>,0,0.0,,,,93.23,94.73
27,"00:01:36,830","00:01:38,465","<i>♪ A, child ♪</i>",0,0.0,,,,96.83,98.47
28,"00:01:40,133","00:01:41,502",<i>♪ N ♪</i>,0,0.0,,,,100.13,101.5
29,"00:01:42,836","00:01:44,137",<i>Yeah.</i>,0,0.0,,,,102.84,104.14
30,"00:01:45,873","00:01:46,940",<i>Thank you.</i>,0,0.0,,,,105.87,106.94
31,"00:01:49,342","00:01:50,510",<i>Thank you very much.</i>,0,0.0,,,,109.34,110.51
32,"00:01:57,985","00:01:59,119",<i>Thank you.</i>,0,0.0,,,,117.98,119.12
33,"00:02:01,321","00:02:02,356",<i>What's going on?</i>,0,0.0,,,,121.32,122.36
34,"00:02:03,790","00:02:06,693",<i>Good to see everybody out here tonight.</i>,0,0.0,,,,123.79,126.69
35,"00:02:09,062","00:02:10,163",<i>Thank you.</i>,0,0.0,,,,129.06,130.16
36,"00:02:13,100","00:02:16,370","<i>Hey, have a seat.</i> <i>Everybody be comfortable and relax.</i>",0,0.0,,,,133.1,136.37
37,"00:02:16,436","00:02:19,907","<i>Oh, my gosh.</i> <i>Good to be back in Austin, Texas.</i>",0,0.0,,,,136.44,139.91
38,"00:02:21,608","00:02:24,278",<i>It's good to know that plaid is back in.</i>,0,0.0,,,,141.61,144.28
39,"00:02:24,344","00:02:25,746",<i>[audience laughing]</i>,0,0.0,,,,144.34,145.75
40,"00:02:25,812","00:02:27,481",<i>Most of the dudes I meet</i> <i>around these parts</i>,0,0.0,,,,145.81,147.48
41,"00:02:27,548","00:02:29,783","<i>are dressed like a dyke in New York,</i> <i>so I'm glad to see that.</i>",1,6.5,"#5, ","151.76, ","158.26, ",147.55,149.78
42,"00:02:36,657","00:02:39,693",<i>Man! Fucking Texas. This place is--</i>,1,6.289999999999992,"#6, ","158.9, ","165.19, ",156.66,159.69
43,"00:02:40,494","00:02:41,695",<i>It's pretty good.</i>,0,0.0,,,,160.49,161.69
44,"00:02:41,762","00:02:43,063",<i>[cheers and applause]</i>,0,0.0,,,,161.76,163.06
45,"00:02:43,130","00:02:44,531",<i>Pretty damn good.</i>,0,0.0,,,,163.13,164.53
46,"00:02:45,465","00:02:47,067","<i>I was in Santa Fe the other night,</i>",1,17.629999999999995,"#7, ","166.34, ","183.97, ",165.47,167.07
47,"00:02:47,134","00:02:49,536",<i>and a motherfucker threw a banana peel</i> <i>at me.</i>,0,0.0,,,,167.13,169.54
48,"00:02:51,371","00:02:53,240","<i>Yeah, that didn't feel so good.</i>",0,0.0,,,,171.37,173.24
49,"00:02:54,408","00:02:55,976","<i>Of course, it was a white person.</i>",0,0.0,,,,174.41,175.98
50,"00:02:58,312","00:03:02,249",<i>Not to indict the whites. I'm just saying.</i> <i>Not to profile.</i>,0,0.0,,,,178.31,182.25
51,"00:03:03,884","00:03:07,154","<i>And then, not only did he throw</i> <i>a banana peel at me, but...</i>",1,16.22,"#8, ","185.52, ","201.74, ",183.88,187.15
52,"00:03:08,322","00:03:10,023",<i>it was premeditated. You could tell.</i>,0,0.0,,,,188.32,190.02
53,"00:03:11,158","00:03:15,162",<i>You could tell. The peel was too brown.</i> <i>You know what I mean?</i>,0,0.0,,,,191.16,195.16
54,"00:03:15,229","00:03:17,431","<i>You didn't eat that banana recently,</i> <i>motherfucker.</i>",0,0.0,,,,195.23,197.43
55,"00:03:17,497","00:03:19,199",<i>You had that shit waiting on me.</i>,0,0.0,,,,197.5,199.2
56,"00:03:21,735","00:03:25,272","<i>And the whole crowd was white,</i> <i>so it just got instantly creepy,</i>",1,1.9099999999999966,"#9, ","203.15, ","205.06, ",201.74,205.27
