,filename,laughs,start,end,threshold,duration
0,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_0.wav,22.33,22.97,0.5,0.5
1,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_1.wav,26.32,26.94,0.5,0.5
2,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_2.wav,33.01,43.23,0.5,0.5
3,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_3.wav,44.71,61.84,0.5,0.5
4,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_4.wav,64.26,150.69,0.5,0.5
5,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_5.wav,151.76,158.26,0.5,0.5
6,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_6.wav,158.9,165.19,0.5,0.5
7,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_7.wav,166.34,183.97,0.5,0.5
8,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_8.wav,185.52,201.74,0.5,0.5
9,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_9.wav,203.15,205.06,0.5,0.5
10,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_10.wav,206.21,234.97,0.5,0.5
11,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_11.wav,235.99,244.12,0.5,0.5
12,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_12.wav,247.15,248.0,0.5,0.5
13,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_13.wav,253.95,254.98,0.5,0.5
14,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_14.wav,256.12,273.49,0.5,0.5
15,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_15.wav,274.33,286.21,0.5,0.5
16,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_16.wav,289.49,295.52,0.5,0.5
17,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_17.wav,295.98,308.92,0.5,0.5
18,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_18.wav,309.13,314.4,0.5,0.5
19,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_19.wav,316.76,317.33,0.5,0.5
20,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_20.wav,320.35,322.22,0.5,0.5
21,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_21.wav,323.95,325.29,0.5,0.5
22,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_22.wav,326.98,329.29,0.5,0.5
23,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_23.wav,330.03,331.09,0.5,0.5
24,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_24.wav,336.52,337.49,0.5,0.5
25,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_25.wav,338.27,339.51,0.5,0.5
26,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_26.wav,342.67,343.76,0.5,0.5
27,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_27.wav,347.06,361.17,0.5,0.5
28,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_28.wav,361.9,363.32,0.5,0.5
29,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_29.wav,365.53,366.37,0.5,0.5
30,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_30.wav,367.51,368.59,0.5,0.5
31,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_31.wav,370.95,371.76,0.5,0.5
32,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_32.wav,376.62,380.13,0.5,0.5
33,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_33.wav,381.35,391.89,0.5,0.5
34,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_34.wav,392.63,400.87,0.5,0.5
35,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_35.wav,402.03,403.22,0.5,0.5
36,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_36.wav,403.59,404.37,0.5,0.5
37,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_37.wav,406.5,415.9,0.5,0.5
38,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_38.wav,416.82,417.7,0.5,0.5
39,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_39.wav,419.04,421.22,0.5,0.5
40,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_40.wav,422.32,424.48,0.5,0.5
41,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_41.wav,432.32,435.57,0.5,0.5
42,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_42.wav,441.96,455.32,0.5,0.5
43,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_43.wav,456.89,457.75,0.5,0.5
44,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_44.wav,458.58,463.43,0.5,0.5
45,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_45.wav,466.06,481.76,0.5,0.5
46,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_46.wav,482.82,483.74,0.5,0.5
47,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_47.wav,484.16,486.72,0.5,0.5
48,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_48.wav,489.23,491.7,0.5,0.5
49,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_49.wav,492.73,501.22,0.5,0.5
50,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_50.wav,502.86,503.43,0.5,0.5
51,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_51.wav,504.7,505.88,0.5,0.5
52,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_52.wav,508.31,509.29,0.5,0.5
53,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_53.wav,510.97,512.72,0.5,0.5
54,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_54.wav,513.92,514.83,0.5,0.5
55,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_55.wav,527.26,529.68,0.5,0.5
56,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_56.wav,534.54,544.75,0.5,0.5
57,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_57.wav,546.08,546.98,0.5,0.5
58,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_58.wav,555.02,555.95,0.5,0.5
59,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_59.wav,577.42,579.86,0.5,0.5
60,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_60.wav,582.39,584.16,0.5,0.5
61,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_61.wav,585.9,586.4,0.5,0.5
62,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_62.wav,588.95,594.58,0.5,0.5
63,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_63.wav,598.14,599.33,0.5,0.5
64,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_64.wav,603.58,609.42,0.5,0.5
65,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_65.wav,610.56,611.88,0.5,0.5
66,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_66.wav,613.13,617.74,0.5,0.5
67,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_67.wav,618.95,636.42,0.5,0.5
68,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_68.wav,638.92,639.57,0.5,0.5
69,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_69.wav,640.55,645.87,0.5,0.5
70,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_70.wav,649.59,677.12,0.5,0.5
71,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_71.wav,678.67,681.44,0.5,0.5
72,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_72.wav,683.43,689.67,0.5,0.5
73,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_73.wav,690.59,696.18,0.5,0.5
74,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_74.wav,697.24,699.03,0.5,0.5
75,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_75.wav,700.05,701.79,0.5,0.5
76,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_76.wav,702.91,711.78,0.5,0.5
77,Dave.Chappelle...Deep.in.the.Heart.of.Texas.2017.720p.HDRIP.x264.AC3.TiTAN-music.wav,/laughs/laugh_77.wav,719.65,720.7,0.5,0.5
