,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,674","00:00:09,509","<i>[Morgan Freeman] </i><span style=""style_1"">This is Dave.</i>",0,0.0,,,,7.67,9.51
1,"00:00:10,135","00:00:12,178",<i>He tells dirty jokes for a living.</i>,0,0.0,,,,10.13,12.18
2,"00:00:12,721","00:00:15,974",<i>That stare is where most</i> <i>of his hard work happens.</i>,0,0.0,,,,12.72,15.97
3,"00:00:16,057","00:00:19,519","<i>It signifies a profound train of thought,</i>",0,0.0,,,,16.06,19.52
4,"00:00:19,602","00:00:23,773",<i>the alchemist's fire</i> <i>that transforms fear and tragedy</i>,0,0.0,,,,19.6,23.77
5,"00:00:23,857","00:00:26,901",<i>into levity and livelihood.</i>,0,0.0,,,,23.86,26.9
6,"00:00:26,985","00:00:30,196","<i>Dave calls that look ""the trance.""</i>",0,0.0,,,,26.98,30.2
7,"00:00:30,280","00:00:31,906",<i>[music playing]</i>,2,5.479999999999997,"#0, #1, ","30.39, 32.52, ","32.14, 36.25, ",30.28,31.91
8,"00:00:32,699","00:00:34,034",<i>♪ Play me ♪</i>,0,0.0,,,,32.7,34.03
9,"00:00:34,951","00:00:36,327",<i>♪ Buy me ♪</i>,0,0.0,,,,34.95,36.33
10,"00:00:37,662","00:00:38,913",<i>♪ Workinonit ♪</i>,1,1.8200000000000003,"#2, ","39.03, ","40.85, ",37.66,38.91
11,"00:00:39,956","00:00:41,082",<i>♪ Tune up ♪</i>,1,0.6799999999999997,"#3, ","42.55, ","43.23, ",39.96,41.08
12,"00:00:42,667","00:00:43,668",<i>♪ Tune ♪</i>,1,13.970000000000006,"#4, ","45.41, ","59.38, ",42.67,43.67
13,"00:00:46,087","00:00:47,255",<i>♪ Oh ♪</i>,0,0.0,,,,46.09,47.26
14,"00:00:48,173","00:00:49,049",<i>♪ Fade me ♪</i>,1,24.029999999999994,"#5, ","62.74, ","86.77, ",48.17,49.05
