,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:26,735","00:00:29,112",<i>♪ I was dreaming</i> <i>When I wrote this ♪</i>,0,0.0,,,,26.73,29.11
1,"00:00:29,362","00:00:32,449",<i>♪ Forgive me if it goes astray</i> ♪,1,1.8300000000000054,"#5, ","32.3, ","34.13, ",29.36,32.45
2,"00:00:34,451","00:00:36,953",<i>♪ But when I woke up this morning ♪</i>,0,0.0,,,,34.45,36.95
3,"00:00:37,037","00:00:40,373",<i>♪ Could've sworn it was Judgment Day ♪</i>,1,2.190000000000005,"#6, ","40.12, ","42.31, ",37.04,40.37
4,"00:00:44,127","00:00:46,046",<i>♪ Sky was all purple ♪</i>,0,0.0,,,,44.13,46.05
5,"00:00:46,129","00:00:49,132",<i>♪ There were people running everywhere ♪</i>,0,0.0,,,,46.13,49.13
6,"00:00:50,216","00:00:53,344",And this is the bar of the whole song. Prince say...,0,0.0,,,,50.22,53.34
7,"00:00:53,803","00:00:56,848",<i>♪ Trying to run from my destruction ♪</i>,0,0.0,,,,53.8,56.85
8,"00:00:57,307","00:01:00,393",<i>♪ You know I didn't even care ♪</i>,1,1.3300000000000054,"#7, ","61.44, ","62.77, ",57.31,60.39
9,"00:01:02,687","00:01:04,481","Good people of Atlanta,",0,0.0,,,,62.69,64.48
10,"00:01:04,731","00:01:06,733",we must never forget...,0,0.0,,,,64.73,66.73
11,"00:01:07,734","00:01:09,611",that Anthony Bourdain...,1,1.2900000000000063,"#8, ","70.21, ","71.5, ",67.73,69.61
12,"00:01:10,320","00:01:11,154",Yeah!,0,0.0,,,,70.32,71.15
13,"00:01:11,237","00:01:12,906",...killed himself.,2,1.8299999999999983,"#9, #10, ","72.78, 76.32, ","73.38, 77.55, ",71.24,72.91
14,"00:01:16,785","00:01:20,288",Anthony Bourdain had the greatest job that show business ever produced.,0,0.0,,,,76.78,80.29
15,"00:01:20,371","00:01:23,583",This nigga flew around the world...,1,1.769999999999996,"#11, ","84.14, ","85.91, ",80.37,83.58
16,"00:01:25,210","00:01:29,631",...and ate delicious meals with outstanding people.,2,1.9599999999999937,"#12, #13, ","87.86, 89.43, ","88.48, 90.77, ",85.21,89.63
17,"00:01:30,131","00:01:33,218",That man with that job,1,1.1400000000000006,"#14, ","91.72, ","92.86, ",90.13,93.22
18,"00:01:33,593","00:01:36,596",hung himself in a luxury suite in France.,0,0.0,,,,93.59,96.6
19,"00:01:38,264","00:01:42,185",<i>♪ They say 2000-zero-zero</i> ♪,0,0.0,,,,98.26,102.19
20,"00:01:42,268","00:01:45,730","<i>♪ Party over, oops, out of time ♪</i>",1,1.3999999999999915,"#15, ","105.59, ","106.99, ",102.27,105.73
21,"00:01:47,273","00:01:50,652","<i>♪ So, tonight I'm gonna party ♪</i>",0,0.0,,,,107.27,110.65
22,"00:01:50,735","00:01:54,656",<i>♪ Like it's 1999 ♪</i>,1,2.4599999999999937,"#16, ","112.67, ","115.13, ",110.73,114.66
23,"00:01:54,948","00:01:58,493",I knew a nigga in high school that was an urban genius.,0,0.0,,,,114.95,118.49
24,"00:01:58,827","00:02:00,870","This motherfucker's grades was so good,",0,0.0,,,,118.83,120.87
25,"00:02:00,954","00:02:04,165",he got all the way from the hood to an Ivy League school,0,0.0,,,,120.95,124.17
26,"00:02:04,249","00:02:06,459",with a full scholarship.,0,0.0,,,,124.25,126.46
27,"00:02:07,085","00:02:09,170","From there, the motherfucker got himself",0,0.0,,,,127.08,129.17
28,"00:02:09,254","00:02:11,631",into one of the best law schools in the country.,0,0.0,,,,129.25,131.63
29,"00:02:11,756","00:02:13,466","And when he was in law school,",0,0.0,,,,131.76,133.47
30,"00:02:13,842","00:02:16,636",he met a woman and they fell in love.,0,0.0,,,,133.84,136.64
31,"00:02:17,262","00:02:18,763",And they were gonna get married.,0,0.0,,,,137.26,138.76
32,"00:02:18,847","00:02:21,224","I remember him telling me about it. He was home for Christmas,",0,0.0,,,,138.85,141.22
33,"00:02:21,307","00:02:23,977","and I told him, I said, ""My man, my man...",0,0.0,,,,141.31,143.98
34,"00:02:24,644","00:02:27,438","save that bitch for late in your life.""",2,5.359999999999985,"#17, #18, ","146.72, 153.21, ","148.45, 156.84, ",144.64,147.44
35,"00:02:36,239","00:02:37,574",But he's in love.,0,0.0,,,,156.24,157.57
36,"00:02:38,283","00:02:39,367",He didn't listen to me.,0,0.0,,,,158.28,159.37
37,"00:02:39,450","00:02:42,412","He married her while he was in law school,",0,0.0,,,,159.45,162.41
38,"00:02:42,495","00:02:45,248","and sadly, they got divorced,",0,0.0,,,,162.5,165.25
39,"00:02:45,331","00:02:47,125",while he was in law school.,0,0.0,,,,165.33,167.12
40,"00:02:48,626","00:02:50,587",He was a street nigga from the hood.,0,0.0,,,,168.63,170.59
