,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,839","00:00:08,425",Ask me a question.,0,0.0,,,,5.84,8.43
1,"00:00:08,509","00:00:09,760",Do you have a dog?,0,0.0,,,,8.51,9.76
2,"00:00:09,843","00:00:11,887","Oh, I had to have him removed years ago.",0,0.0,,,,9.84,11.89
3,"00:00:11,970","00:00:15,557","It was benign, but it still didn't prevent it from being adopted.",0,0.0,,,,11.97,15.56
4,"00:00:15,641","00:00:18,852","And now it's in a loving, caring home.",1,1.0599999999999987,"#0, ","17.94, ","19.0, ",15.64,18.85
5,"00:00:18,936","00:00:21,230",How're you liking Austin?,0,0.0,,,,18.94,21.23
6,"00:00:21,313","00:00:23,106",This is where the toaster was invented.,0,0.0,,,,21.31,23.11
7,"00:00:23,190","00:00:26,443","That's a good contribution, right?",0,0.0,,,,23.19,26.44
8,"00:00:26,526","00:00:28,529",Where do you get your glasses?,0,0.0,,,,26.53,28.53
9,"00:00:28,612","00:00:32,032",Uh... a guy named Klaus Nomi.,1,4.57,"#1, ","34.0, ","38.57, ",28.61,32.03
10,"00:00:36,203","00:00:38,455",What subjects will you be talking about tonight?,1,0.5499999999999972,"#2, ","39.1, ","39.65, ",36.2,38.45
11,"00:00:39,831","00:00:44,336",I will be doing a chunk of time on next year's CMAs.,0,0.0,,,,39.83,44.34
12,"00:00:44,419","00:00:46,755","Swiss muesli, what's all that about?",0,0.0,,,,44.42,46.76
13,"00:00:46,838","00:00:49,132",How did they get their own weird--,0,0.0,,,,46.84,49.13
14,"00:00:49,216","00:00:53,887","And chain wallets, inner-lip tattoos, chlorinated vaginas.",0,0.0,,,,49.22,53.89
15,"00:00:53,971","00:00:56,557",How do you maintain your facial hair?,0,0.0,,,,53.97,56.56
16,"00:00:59,268","00:01:01,520","- Fuck you, dude!",0,0.0,,,,59.27,61.52
17,"00:01:01,603","00:01:03,522",That's fucking rude!,4,10.139999999999986,"#3, #4, #5, #6, ","64.04, 68.87, 73.52, 76.31, ","66.73, 71.08, 75.38, 79.69, ",61.6,63.52
18,"00:01:17,411","00:01:18,745",That's so cool.,0,0.0,,,,77.41,78.75
