,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:10,845","00:00:14,515",-[rock music plays] -[crowd cheering],0,0.0,,,,10.85,14.52
1,"00:00:21,188","00:00:23,607",[crowd cheering],0,0.0,,,,21.19,23.61
2,"00:00:31,573","00:00:33,951",Thank you.,0,0.0,,,,31.57,33.95
3,"00:00:34,075","00:00:37,371","Thank you so much, everybody. Thank you for clapping.",0,0.0,,,,34.08,37.37
4,"00:00:37,496","00:00:39,540",I appreciate that. Thank you.,0,0.0,,,,37.5,39.54
5,"00:00:39,665","00:00:41,375",Thanks.,0,0.0,,,,39.66,41.38
6,"00:00:41,500","00:00:43,251",Thanks a lot.,0,0.0,,,,41.5,43.25
7,"00:00:46,505","00:00:48,215",Thank you. That's cool.,0,0.0,,,,46.51,48.22
8,"00:00:48,340","00:00:50,592",All right.,0,0.0,,,,48.34,50.59
9,"00:00:50,718","00:00:52,887",This is a good crowd. This is...,0,0.0,,,,50.72,52.89
10,"00:00:53,012","00:00:56,431",All right. Thank you. That guy has a high voice.,2,6.960000000000001,"#1, #2, ","53.33, 59.58, ","57.44, 62.43, ",53.01,56.43
11,"00:00:56,557","00:00:59,685",-[laughter] -[laughs],0,0.0,,,,56.56,59.69
12,"00:00:59,810","00:01:01,395","All right, I got a lot of jokes, so I'm just gonna start",0,0.0,,,,59.81,61.4
13,"00:01:01,520","00:01:04,398",telling them. Here we go.,0,0.0,,,,61.52,64.4
14,"00:01:04,523","00:01:07,568",I went to a baseball game last summer in a stadium,0,0.0,,,,64.52,67.57
15,"00:01:07,693","00:01:11,405",and they had a huge TV in the stadium. A Jumbotron.,1,0.769999999999996,"#3, ","68.25, ","69.02, ",67.69,71.41
16,"00:01:11,530","00:01:15,576",And this guy proposed to his girlfriend using the giant TV.,0,0.0,,,,71.53,75.58
17,"00:01:15,701","00:01:17,953","He put her name up there, said, ""Will you marry me?""",0,0.0,,,,75.7,77.95
18,"00:01:18,078","00:01:20,455",She said yes. The crowd went wild.,1,0.9099999999999966,"#4, ","79.8, ","80.71, ",78.08,80.45
19,"00:01:20,581","00:01:22,791",They found the couple in the audience.,0,0.0,,,,80.58,82.79
20,"00:01:22,917","00:01:25,252","I was sitting there thinking, ""God, that's so romantic.",1,1.1899999999999977,"#5, ","83.25, ","84.44, ",82.92,85.25
21,"00:01:25,377","00:01:27,713","That's so cool."" And then I remembered thinking,",0,0.0,,,,85.38,87.71
22,"00:01:27,838","00:01:30,424","you know, you could also use a screen like that",1,14.220000000000013,"#6, ","89.82, ","104.04, ",87.84,90.42
23,"00:01:30,549","00:01:33,176",if you're having trouble breaking up with somebody.,0,0.0,,,,90.55,93.18
24,"00:01:35,429","00:01:37,014","Be like, ""Hey, I'm gonna grab a hot dog.",0,0.0,,,,95.43,97.01
25,"00:01:37,138","00:01:39,558","But you should definitely look at that screen.""",1,3.5600000000000023,"#7, ","104.6, ","108.16, ",97.14,99.56
26,"00:01:46,314","00:01:48,191",That's a smooth way out of it.,0,0.0,,,,106.31,108.19
27,"00:01:50,485","00:01:52,446",I think my favorite sign that I've seen,1,1.3000000000000114,"#8, ","112.24, ","113.54, ",110.48,112.45
28,"00:01:52,571","00:01:55,866","is ""Bridge May Be Icy.""",1,1.0799999999999983,"#9, ","115.28, ","116.36, ",112.57,115.87
29,"00:01:55,991","00:01:58,243","'Cause it's so honest, you know? It's just like,",0,0.0,,,,115.99,118.24
30,"00:01:58,368","00:02:02,623","""Bridge... may be, I don't know. I'm...",2,4.379999999999981,"#10, #11, ","118.7, 122.09, ","121.35, 123.82, ",118.37,122.62
31,"00:02:02,748","00:02:05,751",...a sign. I don't have a conscious mind. I'm...,0,0.0,,,,122.75,125.75
32,"00:02:05,876","00:02:07,544",...a tilted yellow square.,1,0.8199999999999932,"#12, ","127.17, ","127.99, ",125.88,127.54
33,"00:02:07,669","00:02:09,421",What are these shapes on the front of me?,1,3.4000000000000057,"#13, ","128.38, ","131.78, ",127.67,129.42
34,"00:02:09,546","00:02:10,965","I mean, bridge may be chocolate. Whatever you want.",0,0.0,,,,129.55,130.97
35,"00:02:11,090","00:02:13,968","I don't care.""",0,0.0,,,,131.09,133.97
36,"00:02:14,093","00:02:15,928","""Bridge may not be icy.""",1,1.25,"#14, ","135.62, ","136.87, ",134.09,135.93
37,"00:02:16,053","00:02:17,805","That means the same thing as ""Bridge may be icy.""",0,0.0,,,,136.05,137.81
38,"00:02:17,930","00:02:20,975","That's... even better, you know? More optimistic.",1,1.8700000000000045,"#15, ","139.67, ","141.54, ",137.93,140.97
39,"00:02:21,100","00:02:23,894",That's a better sign.,1,1.5600000000000023,"#16, ","143.89, ","145.45, ",141.1,143.89
40,"00:02:24,019","00:02:28,023","""Bridge may not be icy."" Hey, I like your attitude, sign.",1,2.200000000000017,"#17, ","148.07, ","150.27, ",144.02,148.02
41,"00:02:28,148","00:02:32,569","""Bridge probably not icy. Give it a shot."" Even better.",1,3.6899999999999977,"#18, ","152.52, ","156.21, ",148.15,152.57
42,"00:02:32,694","00:02:35,322","It's August, bridge probably not icy. You're right.",0,0.0,,,,152.69,155.32
43,"00:02:37,574","00:02:41,078","One sign I don't like is ""Please use other door.""",2,6.210000000000008,"#19, #20, ","158.57, 160.4, ","159.94, 165.24, ",157.57,161.08
44,"00:02:41,202","00:02:44,414","You're a fucking door, you don't get to take a break.",1,2.180000000000007,"#21, ","166.01, ","168.19, ",161.2,164.41
45,"00:02:47,167","00:02:50,587",Just be a door. Just swing.,1,3.069999999999993,"#22, ","169.87, ","172.94, ",167.17,170.59
46,"00:02:50,712","00:02:53,381",This door thinks it's a wall. This is ridiculous.,0,0.0,,,,170.71,173.38
47,"00:02:55,592","00:02:57,511","When I see ""Please use other door,""",1,1.5300000000000011,"#23, ","176.92, ","178.45, ",175.59,177.51
