,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,297","00:00:08,174","[cheering, applause]",0,0.0,,,,6.3,8.17
1,"00:00:08,258","00:00:11,302","[Demetri] Man, that was a good improv. I'm so glad I asked for notes.",1,2.4800000000000004,"#1, ","12.04, ","14.52, ",8.26,11.3
2,"00:00:14,889","00:00:17,976",I think my favorite animal to look at is probably the squirrel.,0,0.0,,,,14.89,17.98
3,"00:00:18,059","00:00:18,893",[man] Yeah!,0,0.0,,,,18.06,18.89
4,"00:00:19,436","00:00:22,647","You know what I mean? 'Cause any squirrel, if you watch 'em long enough,",0,0.0,,,,19.44,22.65
5,"00:00:22,939","00:00:26,151",there's a moment where they suddenly realize they're late for something.,1,1.6999999999999993,"#2, ","25.85, ","27.55, ",22.94,26.15
6,"00:00:26,234","00:00:27,485",[laughter],0,0.0,,,,26.23,27.48
7,"00:00:27,569","00:00:29,279","""Shit! I gotta go. Excuse me. What?""",1,1.0800000000000018,"#3, ","29.22, ","30.3, ",27.57,29.28
8,"00:00:29,362","00:00:30,530",[laughter],0,0.0,,,,29.36,30.53
9,"00:00:33,116","00:00:35,160",That's a whole species that's behind schedule.,0,0.0,,,,33.12,35.16
10,"00:00:35,243","00:00:38,329",They're terrible at keeping their calendar. Probably the most flammable of the small animals would be the squirrel as well.,2,6.539999999999999,"#4, #5, ","35.92, 41.7, ","36.85, 47.31, ",35.24,38.33
11,"00:00:42,000","00:00:42,834",[laughter],0,0.0,,,,42.0,42.83
12,"00:00:43,126","00:00:44,502","The tail. I mean, it's a...",0,0.0,,,,43.13,44.5
13,"00:00:45,170","00:00:47,297","[Demetri] <i>All right, that worked pretty well.</i>",1,0.8599999999999994,"#6, ","47.68, ","48.54, ",45.17,47.3
14,"00:00:48,339","00:00:49,632",<i>It's a good room.</i>,1,3.210000000000001,"#7, ","49.65, ","52.86, ",48.34,49.63
15,"00:00:50,508","00:00:51,384",<i>Got my water.</i>,0,0.0,,,,50.51,51.38
16,"00:00:52,594","00:00:53,636",<i>Mic stand feels good.</i>,1,4.420000000000002,"#8, ","54.08, ","58.5, ",52.59,53.64
17,"00:00:54,262","00:00:55,096",<i>Solid.</i>,0,0.0,,,,54.26,55.1
18,"00:00:55,764","00:00:58,975",<i>Looks like I've got enough fake fog.</i> <i>That's important.</i>,0,0.0,,,,55.76,58.98
19,"00:00:59,601","00:01:02,479",<i>Maybe show my name.</i> <i>Okay.</i>,1,0.769999999999996,"#9, ","62.53, ","63.3, ",59.6,62.48
20,"00:01:03,146","00:01:04,397",<i>Anything else?</i>,0,0.0,,,,63.15,64.4
21,"00:01:04,898","00:01:06,066",<i>Title?</i>,0,0.0,,,,64.9,66.07
22,"00:01:07,233","00:01:08,276",<i>Yeah.</i>,0,0.0,,,,67.23,68.28
23,"00:01:08,359","00:01:11,029",<i>All right. This should be fun.</i>,1,3.719999999999999,"#10, ","70.51, ","74.23, ",68.36,71.03
24,"00:01:12,030","00:01:13,490",<i>What was I gonna say?</i>,0,0.0,,,,72.03,73.49
25,"00:01:14,115","00:01:15,116","<i>Oh, yeah.</i>",0,0.0,,,,74.11,75.12
26,"00:01:15,325","00:01:18,536",I've noticed that you can carry around a plastic bag with shit in it.,0,0.0,,,,75.33,78.54
27,"00:01:19,037","00:01:19,871",Um...,1,0.5,"#11, ","80.07, ","80.57, ",79.04,79.87
28,"00:01:20,413","00:01:22,874","if you're near a dog, you can have a bag of shit.",1,1.5,"#12, ","82.8, ","84.3, ",80.41,82.87
