,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:12,262","00:00:16,558",A NETFLIX ORIGINAL COMEDY SPECIAL,1,6.800000000000001,"#1, ","24.77, ","31.57, ",12.26,16.56
1,"00:00:19,394","00:00:21,688",[crowd cheers],0,0.0,,,,19.39,21.69
2,"00:00:27,736","00:00:29,738",[background song],7,36.64000000000001,"#2, #3, #4, #5, #6, #7, #8, ","33.08, 37.0, 41.9, 45.62, 48.28, 50.61, 53.36, ","34.73, 40.86, 43.66, 47.27, 49.09, 52.43, 78.45, ",27.74,29.74
3,"00:01:00,685","00:01:02,062",Thank you so much.,0,0.0,,,,60.69,62.06
4,"00:01:06,149","00:01:07,067",Thank you.,0,0.0,,,,66.15,67.07
5,"00:01:07,442","00:01:09,152",That is lovely energy.,0,0.0,,,,67.44,69.15
6,"00:01:09,235","00:01:10,236",I appreciate it.,0,0.0,,,,69.23,70.24
7,"00:01:10,320","00:01:12,405","Thank you so much for being here, Seattle.",0,0.0,,,,70.32,72.41
8,"00:01:18,119","00:01:19,913",So it's been 15 years since I've done stand-up,0,0.0,,,,78.12,79.91
9,"00:01:19,996","00:01:22,082",and when I decided to do this special,0,0.0,,,,80.0,82.08
10,"00:01:22,165","00:01:24,793",a friend of mine was at my house and I told him:,0,0.0,,,,82.17,84.79
11,"00:01:24,876","00:01:26,628","""I'm going to do stand up again.""",0,0.0,,,,84.88,86.63
12,"00:01:26,711","00:01:28,213","And he said: ""Really?""",0,0.0,,,,86.71,88.21
13,"00:01:28,755","00:01:29,839",And I said:,0,0.0,,,,88.75,89.84
14,"00:01:30,423","00:01:34,219","""Yeah. I was hoping for more of a  really."" But it was  really.",1,0.9399999999999977,"#9, ","93.37, ","94.31, ",90.42,94.22
15,"00:01:34,302","00:01:36,054","And I said: ""Yes, why?"" And he said:",0,0.0,,,,94.3,96.05
16,"00:01:36,137","00:01:38,306","""Well, do you think you're still relatable?""",1,1.5100000000000051,"#10, ","98.55, ","100.06, ",96.14,98.31
17,"00:01:38,932","00:01:39,766",And...,0,0.0,,,,98.93,99.77
18,"00:01:39,974","00:01:41,643",[crowd laughs],0,0.0,,,,99.97,101.64
19,"00:01:41,810","00:01:44,020","I said: ""Yes, I do think I'm still relatable.",0,0.0,,,,101.81,104.02
20,"00:01:44,104","00:01:45,355","I'm a human being.""",0,0.0,,,,104.1,105.36
21,"00:01:45,438","00:01:48,233","He said: ""Well, I mean, your life has changed so much.""",0,0.0,,,,105.44,108.23
22,"00:01:48,316","00:01:52,070","And... I said: ""I know but I still think I'm relatable.""",0,0.0,,,,108.32,112.07
23,"00:01:52,195","00:01:55,740","And anyway, just then, Batu, my butler, stepped into the library...",1,1.6799999999999926,"#11, ","115.87, ","117.55, ",112.19,115.74
24,"00:01:56,616","00:01:57,492",and...,0,0.0,,,,116.62,117.49
