,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:13,200","00:00:17,289","<font color=""#ffff00"">{\an8}CRAIG CAMPBELL: Funny that. I didn't realise I was a moose fucker until I came to Scotland, thank you",0,0.0,,,,13.2,17.29
1,"00:00:21,000","00:00:23,080","<font color=""#ffff00"">Anybody can fuck sheep.</font>",1,8.66,"#2, ","21.89, ","30.55, ",21.0,23.08
2,"00:00:29,060","00:00:32,020","<font color=""#ffff00"">You want to fuck a moose, you better have a plan, yeah?</font>",1,2.530000000000001,"#3, ","32.03, ","34.56, ",29.06,32.02
3,"00:00:33,460","00:00:35,460","<font color=""#ffff00"">Think in advance of what you're doing back there.</font>",0,0.0,,,,33.46,35.46
4,"00:00:36,660","00:00:39,420","<font color=""#ffff00"">Get yourself an ice hockey stick so you can tickle his ear.</font>",2,8.89,"#4, #5, ","37.26, 40.07, ","38.5, 47.72, ",36.66,39.42
5,"00:00:46,660","00:00:50,260","<font color=""#ffff00"">Which, from that reaction, I can tell I didn't have to act out for you.</font>",1,2.1699999999999946,"#6, ","50.63, ","52.8, ",46.66,50.26
6,"00:00:51,860","00:00:54,980","<font color=""#ffff00"">Doesn't bother anyone that the moose in that story is a boy?</font>",1,6.469999999999999,"#7, ","55.34, ","61.81, ",51.86,54.98
7,"00:00:56,620","00:00:57,900","<font color=""#ffff00"">No.</font>",0,0.0,,,,56.62,57.9
8,"00:01:01,100","00:01:03,276","<font color=""#ffff00"">I'm actually enjoying the shit out of my life in Scotland.</font>",0,0.0,,,,61.1,63.28
9,"00:01:03,300","00:01:05,036","<font color=""#ffff00"">There's nowhere like Scotland, by the way.</font>",0,0.0,,,,63.3,65.04
10,"00:01:05,060","00:01:07,596","<font color=""#ffff00"">Knowing that there are Canadians, Americans,</font>",0,0.0,,,,65.06,67.6
11,"00:01:07,620","00:01:11,756","<font color=""#ffff00"">people all over the world that would be thrilled to be in an audience</font>",0,0.0,,,,67.62,71.76
12,"00:01:11,780","00:01:15,220","<font color=""#ffff00"">in front of Frankie Boyle on a fucking Saturday in Glasgow.</font>",0,0.0,,,,71.78,75.22
13,"00:01:15,500","00:01:18,580","<font color=""#ffff00"">You are a lucky, lucky audience.</font>",1,7.430000000000007,"#8, ","75.6, ","83.03, ",75.5,78.58
14,"00:01:18,780","00:01:22,100","<font color=""#ffff00"">And all you have to do to enjoy tonight supremely...</font>",0,0.0,,,,78.78,82.1
15,"00:01:22,220","00:01:24,116","<font color=""#ffff00"">I think we've got our leaks in, the heads are nodding.</font>",0,0.0,,,,82.22,84.12
16,"00:01:24,140","00:01:26,196","<font color=""#ffff00"">Are we happy to be here? Are we in a good place?</font>",1,6.11999999999999,"#9, ","84.76, ","90.88, ",84.14,86.2
17,"00:01:26,220","00:01:27,516","<font color=""#ffff00"">- (AUDIENCE AGREEING) - Great.</font>",0,0.0,,,,86.22,87.52
18,"00:01:27,540","00:01:30,500","<font color=""#ffff00"">Do we feel thrilled that we're at a very unique event?</font>",0,0.0,,,,87.54,90.5
19,"00:01:30,660","00:01:33,676","<font color=""#ffff00"">This is one of your own. This man grew up in Glasgow.</font>",1,2.5600000000000023,"#10, ","91.46, ","94.02, ",90.66,93.68
20,"00:01:33,700","00:01:34,956","<font color=""#ffff00"">He's known all over the world.</font>",0,0.0,,,,93.7,94.96
21,"00:01:34,980","00:01:36,756","<font color=""#ffff00"">He's revered by other comedians.</font>",1,42.00999999999999,"#11, ","96.44, ","138.45, ",94.98,96.76
22,"00:01:36,780","00:01:38,836","<font color=""#ffff00"">I'm honoured to be sharing a stage with him.</font>",0,0.0,,,,96.78,98.84
23,"00:01:38,860","00:01:42,916","<font color=""#ffff00"">I hope you're honoured to be in a theatre watching his Netflix fucking show.</font>",0,0.0,,,,98.86,102.92
24,"00:01:42,940","00:01:44,940","<font color=""#ffff00"">Are we fucking excited about this?</font>",0,0.0,,,,102.94,104.94
25,"00:01:45,140","00:01:46,500","<font color=""#ffff00"">Yeah!</font>",0,0.0,,,,105.14,106.5
26,"00:01:46,620","00:01:49,356","<font color=""#ffff00"">Well, then, let's make even more noise than that,</font>",0,0.0,,,,106.62,109.36
27,"00:01:49,380","00:01:53,316","<font color=""#ffff00"">and welcome out the one, the only, your own, Glasgow,</font>",0,0.0,,,,109.38,113.32
28,"00:01:53,340","00:01:55,340","<font color=""#ffff00"">Frankie Boyle!</font>",0,0.0,,,,113.34,115.34
29,"00:01:56,180","00:02:00,140","<font color=""#ffff00"">(AUDIENCE CHEERING)</font>",0,0.0,,,,116.18,120.14
30,"00:02:08,900","00:02:12,740","<font color=""#ffff00"">Let's hear it for Mr Craig Campbell, ladies and gentlemen.</font>",0,0.0,,,,128.9,132.74
31,"00:02:17,500","00:02:21,660","<font color=""#ffff00"">Oh, I'm 43 and I've got a body like a dropped lasagne.</font>",1,3.2600000000000193,"#12, ","141.29, ","144.55, ",137.5,141.66
32,"00:02:23,300","00:02:25,756","<font color=""#ffff00"">I'm 43 and I now ejaculate</font>",0,0.0,,,,143.3,145.76
33,"00:02:25,780","00:02:28,740","<font color=""#ffff00"">with all the force of Mary Berry's icing piper.</font>",2,5.719999999999999,"#13, #14, ","145.84, 148.59, ","146.97, 153.18, ",145.78,148.74
34,"00:02:31,980","00:02:36,036","<font color=""#ffff00"">Women now look at my naked body in the same fearful way</font>",1,2.219999999999999,"#15, ","154.36, ","156.58, ",151.98,156.04
35,"00:02:36,060","00:02:38,060","<font color=""#ffff00"">that pensioners look at snow.</font>",1,5.539999999999992,"#16, ","158.47, ","164.01, ",156.06,158.06
36,"00:02:41,860","00:02:45,380","<font color=""#ffff00"">Let's be honest, they're both probably going to break your pelvis.</font>",1,3.5999999999999943,"#17, ","165.97, ","169.57, ",161.86,165.38
37,"00:02:49,060","00:02:51,836","<font color=""#ffff00"">Enjoyed the mass trial of Britain's celebrities</font>",0,0.0,,,,169.06,171.84
38,"00:02:51,860","00:02:54,980","<font color=""#ffff00"">like some paedophile Nuremberg. That was good.</font>",1,1.4099999999999966,"#18, ","174.83, ","176.24, ",171.86,174.98
39,"00:02:55,260","00:02:57,260","<font color=""#ffff00"">Stuart Hall got 15 months.</font>",0,0.0,,,,175.26,177.26
40,"00:02:57,460","00:03:00,036","<font color=""#ffff00"">The judge said they would have given him 15 years,</font>",1,1.1599999999999966,"#19, ","177.99, ","179.15, ",177.46,180.04
41,"00:03:00,060","00:03:03,020","<font color=""#ffff00"">but he was worried he'd ejaculate when he heard his sentence.</font>",2,10.129999999999995,"#20, #21, ","181.36, 182.94, ","182.72, 191.71, ",180.06,183.02
42,"00:03:09,940","00:03:13,316","<font color=""#ffff00"">I never get involved in celebrity paedophilia, myself.</font>",1,3.2399999999999807,"#22, ","192.49, ","195.73, ",189.94,193.32
43,"00:03:13,340","00:03:15,820","<font color=""#ffff00"">I used to just stand in a corner and watch.</font>",1,5.399999999999977,"#23, ","196.3, ","201.7, ",193.34,195.82
44,"00:03:17,940","00:03:21,196","<font color=""#ffff00"">I'd simulate the feeling of paedophilia by getting Jeremy Beadle</font>",0,0.0,,,,197.94,201.2
45,"00:03:21,220","00:03:23,220","<font color=""#ffff00"">to wank me off with his tiny hand.</font>",1,6.97999999999999,"#24, ","202.66, ","209.64, ",201.22,203.22
46,"00:03:28,700","00:03:31,100","<font color=""#ffff00"">Savile, man, he had his own TV show.</font>",1,6.77000000000001,"#25, ","210.16, ","216.93, ",208.7,211.1
47,"00:03:31,500","00:03:33,500","<font color=""#ffff00"">The other paedos must have been raging.</font>",0,0.0,,,,211.5,213.5
48,"00:03:35,420","00:03:38,540","<font color=""#ffff00"">""I've got a TV show that makes children's dreams come true.""</font>",1,3.6599999999999966,"#26, ","218.27, ","221.93, ",215.42,218.54
49,"00:03:39,100","00:03:40,236","<font color=""#ffff00"">""What have you got?""</font>",0,0.0,,,,219.1,220.24
50,"00:03:40,260","00:03:42,276","<font color=""#ffff00"">""A transit van and a big bag of Revels.""</font>",0,0.0,,,,220.26,222.28
51,"00:03:42,300","00:03:43,580","<font color=""#ffff00"">""Fuck off.""</font>",1,5.990000000000009,"#27, ","222.35, ","228.34, ",222.3,223.58
52,"00:03:46,660","00:03:49,860","<font color=""#ffff00"">Made Children in Need a bit awkward now, hasn't it?</font>",1,1.5,"#28, ","230.03, ","231.53, ",226.66,229.86
53,"00:03:50,700","00:03:53,980","<font color=""#ffff00"">I have a theory that Savile fucked Pudsey's eye out of its socket.</font>",2,6.150000000000006,"#29, #30, ","232.53, 233.84, ","233.06, 239.46, ",230.7,233.98
54,"00:03:58,860","00:04:00,580","<font color=""#ffff00"">It's the marathons that get me.</font>",1,0.9900000000000091,"#31, ","240.57, ","241.56, ",238.86,240.58
55,"00:04:00,700","00:04:02,940","<font color=""#ffff00"">There's only fucking two marathons a week.</font>",1,3.289999999999992,"#32, ","243.08, ","246.37, ",240.7,242.94
56,"00:04:03,460","00:04:04,676","<font color=""#ffff00"">What's that about?</font>",0,0.0,,,,243.46,244.68
57,"00:04:04,700","00:04:06,076","<font color=""#ffff00"">Imagine a wee boy,</font>",0,0.0,,,,244.7,246.08
58,"00:04:06,100","00:04:09,620","<font color=""#ffff00"">you've escaped from one of these places where you've been pumped.</font>",1,2.3000000000000114,"#33, ","249.45, ","251.75, ",246.1,249.62
59,"00:04:10,340","00:04:12,100","<font color=""#ffff00"">A children's home or whatever.</font>",1,2.269999999999982,"#34, ","252.43, ","254.7, ",250.34,252.1
60,"00:04:13,020","00:04:14,876","<font color=""#ffff00"">And you run all night long.</font>",0,0.0,,,,253.02,254.88
61,"00:04:14,900","00:04:17,556","<font color=""#ffff00"">You run as far as your little legs will carry you,</font>",1,1.4899999999999807,"#35, ","255.04, ","256.53, ",254.9,257.56
62,"00:04:17,580","00:04:20,500","<font color=""#ffff00"">and as dawn breaks you hide in a ditch, you sleep in a ditch.</font>",1,10.350000000000023,"#36, ","257.71, ","268.06, ",257.58,260.5
63,"00:04:20,940","00:04:23,260","<font color=""#ffff00"">Night falls again, you run again.</font>",0,0.0,,,,260.94,263.26
64,"00:04:23,660","00:04:25,556","<font color=""#ffff00"">You run to the limit of your young endurance,</font>",0,0.0,,,,263.66,265.56
65,"00:04:25,580","00:04:28,380","<font color=""#ffff00"">you've run 22, 23 miles.</font>",0,0.0,,,,265.58,268.38
66,"00:04:28,620","00:04:31,356","<font color=""#ffff00"">You think, ""That's it. I'm safe.""</font>",1,1.1899999999999977,"#37, ","270.95, ","272.14, ",268.62,271.36
67,"00:04:31,380","00:04:32,620","<font color=""#ffff00"">No, you're not.</font>",1,2.5,"#38, ","272.59, ","275.09, ",271.38,272.62
68,"00:04:33,940","00:04:37,660","<font color=""#ffff00"">Jimmy Savile had the paedophilic range of 26 miles.</font>",1,7.919999999999959,"#39, ","277.36, ","285.28, ",273.94,277.66
69,"00:04:43,860","00:04:46,196","<font color=""#ffff00"">Obviously they taught people in paedophilia</font>",0,0.0,,,,283.86,286.2
70,"00:04:46,220","00:04:48,300","<font color=""#ffff00"">for millennia with the Catholic church.</font>",0,0.0,,,,286.22,288.3
71,"00:04:49,100","00:04:52,180","<font color=""#ffff00"">That's why those little cherub angels had to evolve wings.</font>",1,1.6899999999999977,"#40, ","292.74, ","294.43, ",289.1,292.18
72,"00:04:53,300","00:04:56,100","<font color=""#ffff00"">To try and fly up and away from the priests.</font>",1,3.6499999999999773,"#41, ","294.79, ","298.44, ",293.3,296.1
73,"00:04:56,700","00:04:59,180","<font color=""#ffff00"">That's why bishops had those big curly sticks,</font>",0,0.0,,,,296.7,299.18
74,"00:04:59,340","00:05:01,300","<font color=""#ffff00"">to try and get them back down.</font>",1,8.710000000000036,"#42, ","299.83, ","308.54, ",299.34,301.3
75,"00:05:07,660","00:05:10,660","<font color=""#ffff00"">The politicians involved in paedophile scandals...</font>",0,0.0,,,,307.66,310.66
76,"00:05:10,860","00:05:13,116","<font color=""#ffff00"">Of course politicians are fucking kids.</font>",1,1.6299999999999955,"#43, ","311.38, ","313.01, ",310.86,313.12
77,"00:05:13,140","00:05:14,916","<font color=""#ffff00"">They kill kids.</font>",1,6.670000000000016,"#44, ","313.46, ","320.13, ",313.14,314.92
78,"00:05:14,940","00:05:18,356","<font color=""#ffff00"">They kill kids with their decisions every fucking week.</font>",0,0.0,,,,314.94,318.36
79,"00:05:18,380","00:05:20,436","<font color=""#ffff00"">Having a go at them for fucking kids</font>",0,0.0,,,,318.38,320.44
80,"00:05:20,460","00:05:23,660","<font color=""#ffff00"">is like criticising Peter Sutcliffe when he's parallel parking.</font>",1,2.3500000000000227,"#45, ","324.59, ","326.94, ",320.46,323.66
81,"00:05:25,620","00:05:30,116","<font color=""#ffff00"">I honestly believe there are children alive today underneath the floorboards,</font>",0,0.0,,,,325.62,330.12
82,"00:05:30,140","00:05:32,316","<font color=""#ffff00"">and in the walls of the Houses of Parliament.</font>",0,0.0,,,,330.14,332.32
83,"00:05:32,340","00:05:35,436","<font color=""#ffff00"">That's why they all make those mad kind of animal braying noises.</font>",0,0.0,,,,332.34,335.44
84,"00:05:35,460","00:05:38,220","<font color=""#ffff00"">(HIGH-PITCHED TONE) ""Help! Help, we're trapped...""</font>",1,11.060000000000002,"#46, ","335.98, ","347.04, ",335.46,338.22
85,"00:05:38,340","00:05:40,340","<font color=""#ffff00"">(NORMAL TONE) ""Hear, hear. Hear, hear.""</font>",0,0.0,,,,338.34,340.34
86,"00:05:41,940","00:05:43,396","<font color=""#ffff00"">(HIGH-PITCHED TONE) ""Help, he's going to fu...""</font>",0,0.0,,,,341.94,343.4
87,"00:05:43,420","00:05:45,420","<font color=""#ffff00"">(NORMAL TONE) ""Hear, hear, hear.""</font>",0,0.0,,,,343.42,345.42
88,"00:05:47,300","00:05:49,716","<font color=""#ffff00"">That kind of joke is exactly the reason</font>",2,2.7299999999999613,"#47, #48, ","347.41, 349.24, ","348.61, 350.77, ",347.3,349.72
89,"00:05:49,740","00:05:52,500","<font color=""#ffff00"">that the chances of me getting my own TV show</font>",1,2.3700000000000045,"#49, ","352.68, ","355.05, ",349.74,352.5
90,"00:05:53,380","00:05:55,316","<font color=""#ffff00"">are about the same as the chances</font>",0,0.0,,,,353.38,355.32
91,"00:05:55,340","00:05:59,180","<font color=""#ffff00"">of someone commissioning a Pakistani version of <i>Don't Tell the Bride.</i></font>",1,9.54000000000002,"#50, ","359.62, ","369.16, ",355.34,359.18
