,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,632","00:00:09,262",[audience chanting] Fluffy! Fluffy! Fluffy! Fluffy!,0,0.0,,,,6.63,9.26
1,"00:00:14,556","00:00:17,386",[chanting continues],0,0.0,,,,14.56,17.39
2,"00:00:20,437","00:00:22,807",Give it up and make some noise,0,0.0,,,,20.44,22.81
3,"00:00:22,898","00:00:29,198",for Mr. Gabriel Iglesias!,1,50.36,"#1, ","29.23, ","79.59, ",22.9,29.2
4,"00:00:29,988","00:00:33,118",-[song playing] -[audience cheering],0,0.0,,,,29.99,33.12
5,"00:00:45,420","00:00:46,550",[song continues],0,0.0,,,,45.42,46.55
6,"00:01:02,020","00:01:04,570",[song fades],0,0.0,,,,62.02,64.57
7,"00:01:05,315","00:01:06,975",Chicago!,0,0.0,,,,65.31,66.97
8,"00:01:12,030","00:01:14,119",About time we do a special here.,0,0.0,,,,72.03,74.12
9,"00:01:14,199","00:01:16,029",[audience cheering],0,0.0,,,,74.2,76.03
10,"00:01:19,204","00:01:22,920","Before I say anything else, you guys, a big hand for my friend,",0,0.0,,,,79.2,82.92
11,"00:01:23,000","00:01:25,500","the man, the myth, the legend.",1,11.300000000000011,"#2, ","85.46, ","96.76, ",83.0,85.5
12,"00:01:25,585","00:01:29,005",Give it up for Martin!,0,0.0,,,,85.58,89.0
13,"00:01:35,053","00:01:38,433",The two guys you see standing next to him are two of my oldest friends.,0,0.0,,,,95.05,98.43
14,"00:01:38,515","00:01:40,805","Not only are they friends, they work for me.",0,0.0,,,,98.52,100.81
15,"00:01:40,892","00:01:43,732",That’s Ivan and Tony. Give Ivan and Tony a lot of love.,1,2.4099999999999966,"#3, ","103.92, ","106.33, ",100.89,103.73
16,"00:01:43,812","00:01:45,692",[applause],0,0.0,,,,103.81,105.69
17,"00:01:45,772","00:01:48,652",In addition to that-- This is so special right here.,1,1.1500000000000057,"#4, ","107.61, ","108.76, ",105.77,108.65
18,"00:01:48,734","00:01:51,448","Ladies and gentlemen, handing me the microphone tonight",0,0.0,,,,108.73,111.45
19,"00:01:51,528","00:01:55,408",is the NFL’s Coach of the Year...,1,2.049999999999997,"#5, ","115.18, ","117.23, ",111.53,115.41
20,"00:01:57,034","00:02:02,374",and a former member of the baddest football team that ever...,1,3.589999999999989,"#6, ","121.9, ","125.49, ",117.03,122.37
