,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:09,676","00:00:13,096","<i>[crowd chanting] Fluffy!</i><span style=""style2""> </i><i>Fluffy!</i>",0,0.0,,,,9.68,13.1
1,"00:00:13,805","00:00:17,475",<i>[Fluffy shouts] Houston!</i>,1,10.25,"#1, ","15.2, ","25.45, ",13.8,17.48
2,"00:00:17,559","00:00:19,686",{\an8}<i>[crowd cheering]</i>,0,0.0,,,,17.56,19.69
3,"00:00:21,688","00:00:26,735","<i>[audience] Five, four, three, two, one!</i>",1,1.7399999999999984,"#2, ","26.66, ","28.4, ",21.69,26.73
4,"00:00:27,110","00:00:29,446",<i>[cheering]</i>,0,0.0,,,,27.11,29.45
5,"00:00:29,863","00:00:33,241","<i>♪ Macho, macho man ♪</i>",1,29.77,"#3, ","30.94, ","60.71, ",29.86,33.24
6,"00:00:33,533","00:00:37,120",<i>♪ I've got to be a macho man ♪</i>,0,0.0,,,,33.53,37.12
7,"00:00:37,203","00:00:40,457","<i>♪ Macho, macho man ♪</i>",0,0.0,,,,37.2,40.46
8,"00:00:40,874","00:00:43,168",{\an8}<i>♪ I've got to be a macho! ♪</i>,0,0.0,,,,40.87,43.17
9,"00:00:44,461","00:00:47,839","{\an8}<i>♪ Macho, macho man ♪</i>",0,0.0,,,,44.46,47.84
10,"00:00:48,089","00:00:51,259",{\an8}<i>♪ I've got to be a macho man ♪</i>,0,0.0,,,,48.09,51.26
11,"00:00:51,634","00:00:54,929","{\an8}<i>♪ Macho, macho man ♪</i>",0,0.0,,,,51.63,54.93
12,"00:00:55,346","00:00:57,515",{\an8}<i>♪ I've got to be a macho! ♪</i>,0,0.0,,,,55.35,57.52
13,"00:01:04,397","00:01:05,398",{\an8}<i>How are you?</i>,1,3.549999999999997,"#4, ","64.47, ","68.02, ",64.4,65.4
14,"00:01:05,732","00:01:07,525",<i>[crowd roars]</i>,1,2.1500000000000057,"#5, ","68.63, ","70.78, ",65.73,67.53
15,"00:01:08,860","00:01:10,028",{\an8}<i>[Fluffy] Whoo!</i>,0,0.0,,,,68.86,70.03
16,"00:01:11,071","00:01:13,156","<i>Oh, man! That's a long walk.</i>",0,0.0,,,,71.07,73.16
17,"00:01:14,991","00:01:16,659","<i>Thank you so much, Houston.</i>",2,5.789999999999992,"#6, #7, ","77.28, 82.9, ","80.76, 85.21, ",74.99,76.66
18,"00:01:16,743","00:01:19,454",<i>[crowd cheering]</i>,0,0.0,,,,76.74,79.45
19,"00:01:25,251","00:01:29,422","<i>One year ago,</i> <i>this city was flipped upside down</i>",1,0.8599999999999994,"#8, ","89.4, ","90.26, ",85.25,89.42
20,"00:01:31,049","00:01:32,300","<i>by a hurricane,</i>",0,0.0,,,,91.05,92.3
21,"00:01:33,051","00:01:34,552","<i>un cabrón </i><span style=""style1"">named Harvey.</i>",0,0.0,,,,93.05,94.55
22,"00:01:37,222","00:01:40,058",<i>And they said that this city</i> <i>would never be the same.</i>,0,0.0,,,,97.22,100.06
23,"00:01:40,642","00:01:44,562","<i>I think it's beautiful that, a year later,</i> <i>we're all here celebrating together</i>",1,3.1899999999999977,"#9, ","104.62, ","107.81, ",100.64,104.56
24,"00:01:44,813","00:01:48,983",<i>the fact that this city is resilient.</i>,1,1.480000000000004,"#10, ","108.52, ","110.0, ",104.81,108.98
25,"00:01:49,818","00:01:51,528",<i>And you guys persevered.</i>,0,0.0,,,,109.82,111.53
26,"00:01:53,321","00:01:55,073","<i>Houston's strong, baby.</i>",1,3.739999999999995,"#11, ","114.62, ","118.36, ",113.32,115.07
27,"00:01:55,573","00:01:57,784",<i>[cheering and applause]</i>,1,2.3800000000000097,"#12, ","120.3, ","122.68, ",115.57,117.78
28,"00:02:02,288","00:02:04,290","<i>That's serious. In all sincerity, guys,</i>",0,0.0,,,,122.29,124.29
29,"00:02:04,374","00:02:06,626",<i>I'm not trying to kiss your ass.</i> <i>I already got your money.</i>,1,0.9100000000000108,"#13, ","125.63, ","126.54, ",124.37,126.63
