,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:09,467","00:00:11,928",<i>[funky jazz playing]</i>,0,0.0,,,,9.47,11.93
1,"00:00:18,768","00:00:23,314","<i>[announcer] </i><span style=""italic"">Ladies and gentlemen,</i> <span style=""italic"">please welcome Gad Elmaleh!</i>",1,32.74,"#1, ","21.08, ","53.82, ",18.77,23.31
2,"00:00:46,046","00:00:47,756",<i>New York City!</i>,0,0.0,,,,46.05,47.76
3,"00:00:47,964","00:00:50,258",<i>[audience cheering]</i>,0,0.0,,,,47.96,50.26
4,"00:00:50,759","00:00:52,010",<i>Thank you.</i>,0,0.0,,,,50.76,52.01
5,"00:00:53,595","00:00:55,472",<i>Thanks for being here tonight.</i>,0,0.0,,,,53.59,55.47
6,"00:00:55,555","00:00:57,974",<i>It's a very special night for me.</i>,0,0.0,,,,55.55,57.97
7,"00:00:58,141","00:01:00,185","<i>I've been dreaming, dreaming of this.</i>",0,0.0,,,,58.14,60.19
8,"00:01:00,268","00:01:01,269",<i>Thank you so much.</i>,0,0.0,,,,60.27,61.27
9,"00:01:01,352","00:01:03,104",<i>Thank you very much.</i>,1,3.3400000000000034,"#2, ","62.67, ","66.01, ",61.35,63.1
10,"00:01:03,646","00:01:06,941","<i>Wow. I've been doing stand-up</i> <i>in France for 23 years,</i>",0,0.0,,,,63.65,66.94
11,"00:01:07,025","00:01:09,527","<i>and now I just moved here,</i> <i>and I'm starting over.</i>",0,0.0,,,,67.03,69.53
12,"00:01:09,736","00:01:13,573",<i>I'm sure you've heard</i> <i>this story so many times</i>,0,0.0,,,,69.74,73.57
13,"00:01:13,656","00:01:18,328",<i>about the man who moved to America</i> <i>with one dollar in his pocket.</i>,0,0.0,,,,73.66,78.33
14,"00:01:20,789","00:01:23,750",<i>And he worked so hard </i> <i>and he made a fortune.</i>,0,0.0,,,,80.79,83.75
15,"00:01:24,584","00:01:26,669",<i>I moved here with the fortune.</i>,0,0.0,,,,84.58,86.67
16,"00:01:26,836","00:01:28,838",<i>[audience laughs]</i>,0,0.0,,,,86.84,88.84
17,"00:01:33,301","00:01:34,594","<i>Same story, guys.</i>",1,0.769999999999996,"#3, ","94.51, ","95.28, ",93.3,94.59
18,"00:01:34,677","00:01:36,137",<i>I just did it backwards.</i>,1,2.0900000000000034,"#4, ","95.96, ","98.05, ",94.68,96.14
19,"00:01:37,931","00:01:39,808","<i>Which is harder, by the way.</i>",1,0.7800000000000011,"#5, ","99.9, ","100.68, ",97.93,99.81
20,"00:01:40,433","00:01:44,896","<i>'Cause if I wanna keep the same lifestyle</i> <i>that I had in Paris,</i>",0,0.0,,,,100.43,104.9
21,"00:01:44,979","00:01:47,398","<i>and I don't make it here in America,</i>",0,0.0,,,,104.98,107.4
22,"00:01:47,482","00:01:50,860",<i>I'm gonna go back to Paris</i> <i>with one dollar in my pocket.</i>,1,0.5600000000000023,"#6, ","110.57, ","111.13, ",107.48,110.86
23,"00:01:53,905","00:01:56,699","<i>Everytime I say</i> <i>I'm from France to Americans,</i>",0,0.0,,,,113.91,116.7
24,"00:01:56,783","00:01:59,035",<i>they come up with random</i> <i>and weird comments.</i>,0,0.0,,,,116.78,119.03
25,"00:01:59,119","00:02:00,120",<i>I don't know why.</i>,0,0.0,,,,119.12,120.12
26,"00:02:00,203","00:02:01,371","<i>[scruffy voice]</i> <i>""Oh, you're from France.</i>",0,0.0,,,,120.2,121.37
27,"00:02:01,454","00:02:05,416","<i>Actually, last year</i> <i>my cousin went to Italy.""</i>",1,1.3200000000000074,"#7, ","125.38, ","126.7, ",121.45,125.42
28,"00:02:05,625","00:02:07,627",<i>[audience laughing]</i>,0,0.0,,,,125.62,127.63
29,"00:02:09,963","00:02:11,756","<i>Oh, what a coincidence.</i>",1,2.0600000000000023,"#8, ","133.84, ","135.9, ",129.96,131.76
30,"00:02:14,384","00:02:16,010","<i>But they love Paris, right?</i>",0,0.0,,,,134.38,136.01
31,"00:02:16,302","00:02:18,513",<i>Americans love Paris.</i>,0,0.0,,,,136.3,138.51
32,"00:02:19,347","00:02:22,142","<i>Every time I hear </i> <i>Americans talking about Paris,</i>",0,0.0,,,,139.35,142.14
33,"00:02:22,225","00:02:23,601",<i>I feel like I've never been there.</i>,0,0.0,,,,142.22,143.6
34,"00:02:23,810","00:02:25,311",<i>[audience laughs]</i>,1,0.6599999999999966,"#9, ","145.08, ","145.74, ",143.81,145.31
35,"00:02:25,478","00:02:26,729","<i>I'm like, ""I want to go there.</i>",0,0.0,,,,145.48,146.73
36,"00:02:26,813","00:02:29,482","<i>I wanna go to that Paris.</i> <i>Never seen this before.""</i>",1,1.7800000000000011,"#10, ","148.82, ","150.6, ",146.81,149.48
37,"00:02:30,066","00:02:32,068","<i>Especially women. </i> <i>Oh my god. American women,</i>",0,0.0,,,,150.07,152.07
38,"00:02:32,152","00:02:35,238","<i>when they talk about Paris--</i> <i>The romance, and the fantasy.</i>",0,0.0,,,,152.15,155.24
39,"00:02:35,405","00:02:37,323","<i>[as a nasally woman]</i> <i>""I want to go to Paris.</i>",0,0.0,,,,155.41,157.32
