,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,280","00:00:09,960","♪ Now I'm not trying to be rude ♪ But, hey, pretty girl, I'm feeling you ♪",0,0.0,,,,6.28,9.96
1,"00:00:10,040","00:00:13,360",♪ The way you do the things you do Reminds me of my Lexus Coupe ♪,1,24.86,"#1, ","12.94, ","37.8, ",10.04,13.36
2,"00:00:13,440","00:00:16,880","♪ Baby, give me that toot-toot Let me give you that beep-beep ♪",0,0.0,,,,13.44,16.88
3,"00:00:16,960","00:00:20,680",♪ Running my hands through my 'fro Bouncing on 24s ♪,0,0.0,,,,16.96,20.68
4,"00:00:20,760","00:00:24,560","♪ It's the remix to ""Ignition"" Hot and fresh out the kitchen ♪",0,0.0,,,,20.76,24.56
5,"00:00:24,640","00:00:27,960",♪ Mama rolling that body Got every man in here wishin' ♪,0,0.0,,,,24.64,27.96
6,"00:00:28,040","00:00:31,960","♪ Sippin' on coke and rum I'm like, ""So what? I'm drunk ♪",0,0.0,,,,28.04,31.96
7,"00:00:32,040","00:00:35,520","♪ It's the freakin' weekend, baby I'm about to have me some fun ♪",0,0.0,,,,32.04,35.52
8,"00:00:35,800","00:00:38,800",It's always good to start a television special,1,12.050000000000004,"#2, ","38.58, ","50.63, ",35.8,38.8
9,"00:00:39,200","00:00:41,840","with a joke that you'll never be able to air, isn't it?",0,0.0,,,,39.2,41.84
10,"00:00:46,680","00:00:49,600",-[laughs] So-- -[woman] I want you to have my baby!,0,0.0,,,,46.68,49.6
11,"00:00:49,680","00:00:50,600",Eh?,0,0.0,,,,49.68,50.6
12,"00:00:50,680","00:00:52,240",[woman] Will you have my baby?,1,24.46999999999999,"#3, ","50.99, ","75.46, ",50.68,52.24
13,"00:00:52,320","00:00:54,080",Will I have your babies?,0,0.0,,,,52.32,54.08
14,"00:00:55,640","00:00:57,400",Gut instinct says no.,0,0.0,,,,55.64,57.4
15,"00:01:07,800","00:01:09,880",Definitely no. It's definitely no.,0,0.0,,,,67.8,69.88
16,"00:01:12,920","00:01:14,440",I have a system for stand up.,0,0.0,,,,72.92,74.44
17,"00:01:14,520","00:01:17,000","My system is, I go home to Shropshire, where I'm from,",0,0.0,,,,74.52,77.0
18,"00:01:17,080","00:01:18,680","with a notepad and a pen,",1,8.759999999999991,"#4, ","77.09, ","85.85, ",77.08,78.68
19,"00:01:19,040","00:01:21,880",and I wait for my parents to say weird shit.,0,0.0,,,,79.04,81.88
20,"00:01:22,120","00:01:24,640",Then I come and tell you. That's my system. Right?,0,0.0,,,,82.12,84.64
21,"00:01:25,360","00:01:26,720",I had some problems this time.,0,0.0,,,,85.36,86.72
