,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,080","00:00:10,080","<font color=""#ffff00"">[""Bobby Reid"" plays]</font>",3,6.4499999999999975,"#0, #1, #2, ","10.88, 13.7, 16.84, ","12.95, 16.33, 18.59, ",8.08,10.08
1,"00:00:20,120","00:00:22,720","<font color=""#ffff00"">♪ There's blood in the water ♪</font>",0,0.0,,,,20.12,22.72
2,"00:00:22,800","00:00:25,880","<font color=""#ffff00"">♪ Won't you cut me down? ♪</font>",1,2.2699999999999996,"#3, ","23.56, ","25.83, ",22.8,25.88
3,"00:00:26,680","00:00:29,120","<font color=""#ffff00"">♪ 'Cause people keep on calling ♪</font>",1,4.449999999999999,"#4, ","27.17, ","31.62, ",26.68,29.12
4,"00:00:29,200","00:00:31,880","<font color=""#ffff00"">♪ Won't you cut me down? ♪</font>",0,0.0,,,,29.2,31.88
5,"00:00:32,320","00:00:34,840","<font color=""#ffff00"">♪ Bobby Reid, won't you please ♪</font>",1,5.980000000000004,"#5, ","32.61, ","38.59, ",32.32,34.84
6,"00:00:35,360","00:00:37,160","<font color=""#ffff00"">♪ Cut me down? ♪</font>",4,16.80000000000001,"#6, #7, #8, #9, ","39.73, 42.0, 47.72, 54.25, ","41.52, 47.09, 49.52, 62.37, ",35.36,37.16
7,"00:01:01,640","00:01:02,880","<font color=""#ffff00"">Thank you very much.</font>",0,0.0,,,,61.64,62.88
8,"00:01:04,400","00:01:07,240","<font color=""#ffff00"">Thank you. Might've peaked a bit early, but...</font>",0,0.0,,,,64.4,67.24
9,"00:01:09,960","00:01:11,640","<font color=""#ffff00"">Welcome to my show.</font>",0,0.0,,,,69.96,71.64
10,"00:01:12,240","00:01:14,080","<font color=""#ffff00"">My show is called  Nanette.</font>",0,0.0,,,,72.24,74.08
11,"00:01:14,760","00:01:17,040","<font color=""#ffff00"">And the reason my show is called  Nanette,</font>",0,0.0,,,,74.76,77.04
12,"00:01:17,120","00:01:19,920","<font color=""#ffff00"">is because I named it before I wrote it.</font>",0,0.0,,,,77.12,79.92
13,"00:01:21,520","00:01:25,720","<font color=""#ffff00"">I named it at around the time I'd met a woman called Nanette...</font>",1,0.730000000000004,"#10, ","86.35, ","87.08, ",81.52,85.72
14,"00:01:27,360","00:01:29,200","<font color=""#ffff00"">who I thought was very interesting.</font>",0,0.0,,,,87.36,89.2
15,"00:01:29,800","00:01:32,840","<font color=""#ffff00"">So interesting. ""Nanette,"" I thought, ""I reckon I can squeeze</font>",0,0.0,,,,89.8,92.84
16,"00:01:32,920","00:01:35,640","<font color=""#ffff00"">a good hour of laughs out of you, Nanette, I reckon.""</font>",0,0.0,,,,92.92,95.64
17,"00:01:36,720","00:01:37,760","<font color=""#ffff00"">But...</font>",0,0.0,,,,96.72,97.76
18,"00:01:38,600","00:01:39,600","<font color=""#ffff00"">turns out...</font>",0,0.0,,,,98.6,99.6
19,"00:01:40,160","00:01:41,000","<font color=""#ffff00"">no.</font>",0,0.0,,,,100.16,101.0
20,"00:01:43,800","00:01:46,200","<font color=""#ffff00"">I met her in a small-town café.</font>",0,0.0,,,,103.8,106.2
21,"00:01:46,760","00:01:51,200","<font color=""#ffff00"">Now, I feel... I don't feel comfortable in a small town. I get a bit tense.</font>",0,0.0,,,,106.76,111.2
22,"00:01:51,680","00:01:53,680","<font color=""#ffff00"">Mainly because I am this situation.</font>",0,0.0,,,,111.68,113.68
23,"00:01:54,720","00:01:57,760","<font color=""#ffff00"">And in a small town, that's all right from a distance.</font>",0,0.0,,,,114.72,117.76
24,"00:01:58,800","00:02:01,120","<font color=""#ffff00"">People are like, ""Oh, good bloke!"" And then...</font>",1,1.7199999999999989,"#11, ","121.36, ","123.08, ",118.8,121.12
25,"00:02:02,880","00:02:06,800","<font color=""#ffff00"">get a bit closer and it's like, ""Oh no! Trickster woman, what are you doing?""</font>",1,1.5900000000000176,"#12, ","126.71, ","128.3, ",122.88,126.8
26,"00:02:09,360","00:02:10,600","<font color=""#ffff00"">I get a lot of side-eye.</font>",0,0.0,,,,129.36,130.6
27,"00:02:12,360","00:02:15,000","<font color=""#ffff00"">So I feel quite tense in a small town.</font>",0,0.0,,,,132.36,135.0
28,"00:02:15,560","00:02:18,360","<font color=""#ffff00"">Now, I'm from a small town, a very small town in...</font>",0,0.0,,,,135.56,138.36
29,"00:02:18,440","00:02:19,560","<font color=""#ffff00"">I'm from Tasmania.</font>",0,0.0,,,,138.44,139.56
30,"00:02:19,640","00:02:23,000","<font color=""#ffff00"">Now, of course, Tasmania is that little island</font>",0,0.0,,,,139.64,143.0
31,"00:02:23,080","00:02:25,400","<font color=""#ffff00"">floating off the... arse end</font>",0,0.0,,,,143.08,145.4
32,"00:02:25,920","00:02:27,920","<font color=""#ffff00"">of mainland Australia there, just...</font>",0,0.0,,,,145.92,147.92
33,"00:02:29,400","00:02:31,280","<font color=""#ffff00"">Lovely place.</font>",0,0.0,,,,149.4,151.28
34,"00:02:31,360","00:02:33,360","<font color=""#ffff00"">Famous for a lot of things.</font>",0,0.0,,,,151.36,153.36
35,"00:02:34,200","00:02:36,120","<font color=""#ffff00"">Potatoes. Very...</font>",0,0.0,,,,154.2,156.12
36,"00:02:37,040","00:02:40,200","<font color=""#ffff00"">And our frighteningly small gene pool. That's...</font>",1,1.3900000000000148,"#13, ","160.13, ","161.52, ",157.04,160.2
37,"00:02:43,240","00:02:44,720","<font color=""#ffff00"">I wish I was joking.</font>",1,1.1999999999999886,"#14, ","165.03, ","166.23, ",163.24,164.72
38,"00:02:46,480","00:02:48,640","<font color=""#ffff00"">But I am very partial to the potato.</font>",0,0.0,,,,166.48,168.64
39,"00:02:50,120","00:02:52,640","<font color=""#ffff00"">Very versatile... vegetable.</font>",0,0.0,,,,170.12,172.64
40,"00:02:54,080","00:02:56,840","<font color=""#ffff00"">And not all the branches go directly away from the trunk</font>",0,0.0,,,,174.08,176.84
41,"00:02:56,920","00:02:58,840","<font color=""#ffff00"">in our family tree, I will admit.</font>",1,1.8400000000000034,"#15, ","179.15, ","180.99, ",176.92,178.84
42,"00:03:00,960","00:03:04,120","<font color=""#ffff00"">It's a bit... topiary. But...</font>",1,2.0100000000000193,"#16, ","184.35, ","186.36, ",180.96,184.12
43,"00:03:06,640","00:03:07,920","<font color=""#ffff00"">I love Tasmania.</font>",0,0.0,,,,186.64,187.92
44,"00:03:08,000","00:03:11,640","<font color=""#ffff00"">I loved growing up there. I felt right at home, I did.</font>",0,0.0,,,,188.0,191.64
45,"00:03:11,720","00:03:13,480","<font color=""#ffff00"">But I had to leave</font>",0,0.0,,,,191.72,193.48
46,"00:03:13,560","00:03:16,280","<font color=""#ffff00"">as soon as I found out I was a little bit lesbian.</font>",1,1.4899999999999807,"#17, ","196.86, ","198.35, ",193.56,196.28
47,"00:03:17,960","00:03:20,240","<font color=""#ffff00"">And you do find out, don't you? Yeah.</font>",1,0.8000000000000114,"#18, ","200.73, ","201.53, ",197.96,200.24
48,"00:03:21,120","00:03:22,240","<font color=""#ffff00"">I got a letter.</font>",1,3.309999999999974,"#19, ","202.61, ","205.92, ",201.12,202.24
49,"00:03:25,480","00:03:26,840","<font color=""#ffff00"">""Dear Sir/Madam.""</font>",2,2.710000000000008,"#20, #21, ","206.68, 210.45, ","208.86, 210.98, ",205.48,206.84
50,"00:03:32,160","00:03:37,120","<font color=""#ffff00"">Wasn't a great letter to receive in mid-'90s Tasmania.</font>",0,0.0,,,,212.16,217.12
51,"00:03:37,920","00:03:41,480","<font color=""#ffff00"">Because the wisdom of the day was if you chose to be gay...</font>",0,0.0,,,,217.92,221.48
52,"00:03:42,680","00:03:46,120","<font color=""#ffff00"">I say ""wisdom"", even though homosexuality's clearly not a choice.</font>",0,0.0,,,,222.68,226.12
53,"00:03:46,960","00:03:49,120","<font color=""#ffff00"">Wisdom is always relative, you know.</font>",0,0.0,,,,226.96,229.12
54,"00:03:49,200","00:03:54,280","<font color=""#ffff00"">And in a place like Tasmania, everything's very relative, but I...</font>",1,0.8799999999999955,"#22, ","233.93, ","234.81, ",229.2,234.28
55,"00:03:57,040","00:04:00,760","<font color=""#ffff00"">But the wisdom of the day was that, if you chose to be gay,</font>",0,0.0,,,,237.04,240.76
56,"00:04:00,840","00:04:04,280","<font color=""#ffff00"">then you should just get yourself a one-way ticket to the mainland,</font>",0,0.0,,,,240.84,244.28
57,"00:04:04,360","00:04:05,760","<font color=""#ffff00"">and don't come back.</font>",0,0.0,,,,244.36,245.76
58,"00:04:06,600","00:04:11,120","<font color=""#ffff00"">Gays... why don't you just pack your AIDS up into a suitcase there</font>",0,0.0,,,,246.6,251.12
59,"00:04:11,200","00:04:13,200","<font color=""#ffff00"">and fuck off to Mardi Gras?</font>",1,0.9099999999999966,"#23, ","253.81, ","254.72, ",251.2,253.2
60,"00:04:15,960","00:04:18,800","<font color=""#ffff00"">Because homosexuality was a crime</font>",0,0.0,,,,255.96,258.8
61,"00:04:18,880","00:04:21,920","<font color=""#ffff00"">in Tasmania 'til 1997.</font>",0,0.0,,,,258.88,261.92
62,"00:04:22,640","00:04:24,120","<font color=""#ffff00"">Not long enough ago.</font>",0,0.0,,,,262.64,264.12
63,"00:04:26,520","00:04:29,600","<font color=""#ffff00"">And I took a long time to come to terms with my sexuality.</font>",0,0.0,,,,266.52,269.6
64,"00:04:30,520","00:04:32,360","<font color=""#ffff00"">There's a few reasons for that.</font>",0,0.0,,,,270.52,272.36
65,"00:04:32,960","00:04:35,080","<font color=""#ffff00"">A lot of it has to do with bad press.</font>",0,0.0,,,,272.96,275.08
66,"00:04:36,920","00:04:40,560","<font color=""#ffff00"">Yeah, they didn't get a good rap when I was growing up, the homosexuals.</font>",0,0.0,,,,276.92,280.56
67,"00:04:42,680","00:04:45,480","<font color=""#ffff00"">We didn't have social media like we do now, but...</font>",0,0.0,,,,282.68,285.48
68,"00:04:46,560","00:04:48,680","<font color=""#ffff00"">""Letters to the Editor,"" let me tell you.</font>",0,0.0,,,,286.56,288.68
69,"00:04:49,520","00:04:51,520","<font color=""#ffff00"">Slow Twitter. Brutal.</font>",1,1.3199999999999932,"#24, ","292.0, ","293.32, ",289.52,291.52
70,"00:04:55,120","00:04:59,320","<font color=""#ffff00"">But in all the debate about... homosexuality...</font>",0,0.0,,,,295.12,299.32
71,"00:05:00,400","00:05:03,440","<font color=""#ffff00"">no one ever really talked about the lesbians.</font>",0,0.0,,,,300.4,303.44
72,"00:05:04,200","00:05:07,320","<font color=""#ffff00"">You know? It was all the gay men. They're the problem!</font>",0,0.0,,,,304.2,307.32
73,"00:05:07,920","00:05:10,320","<font color=""#ffff00"">Anal sex. That's when the devil will get you!</font>",0,0.0,,,,307.92,310.32
74,"00:05:12,440","00:05:14,520","<font color=""#ffff00"">But lesbians, they're like, ""No...</font>",0,0.0,,,,312.44,314.52
75,"00:05:16,200","00:05:18,680","<font color=""#ffff00"">What even are they? What they do, though, really?</font>",1,1.579999999999984,"#25, ","318.7, ","320.28, ",316.2,318.68
76,"00:05:23,120","00:05:26,080","<font color=""#ffff00"">Do they even exist if no one's watching, really?</font>",2,2.340000000000032,"#26, #27, ","326.05, 328.37, ","327.54, 329.22, ",323.12,326.08
