,filename,laughs,start,end,threshold,duration
77,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_77.wav,920.8,921.8,0.5,0.5
78,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_78.wav,932.67,936.07,0.5,0.5
79,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_79.wav,940.69,941.52,0.5,0.5
80,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_80.wav,942.74,943.47,0.5,0.5
81,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_81.wav,954.76,955.75,0.5,0.5
82,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_82.wav,959.76,960.61,0.5,0.5
83,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_83.wav,963.61,964.71,0.5,0.5
84,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_84.wav,966.61,968.04,0.5,0.5
85,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_85.wav,970.93,972.67,0.5,0.5
86,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_86.wav,973.56,975.4,0.5,0.5
87,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_87.wav,991.65,993.34,0.5,0.5
88,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_88.wav,994.67,996.74,0.5,0.5
89,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_89.wav,1014.99,1015.68,0.5,0.5
90,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_90.wav,1042.26,1043.58,0.5,0.5
91,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_91.wav,1055.94,1060.51,0.5,0.5
92,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_92.wav,1060.72,1064.47,0.5,0.5
93,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_93.wav,1071.61,1072.44,0.5,0.5
94,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_94.wav,1073.16,1076.24,0.5,0.5
95,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_95.wav,1078.35,1080.37,0.5,0.5
96,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_96.wav,1095.19,1098.5,0.5,0.5
97,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_97.wav,1099.14,1100.62,0.5,0.5
98,Harith.Iskander.I.Told.You.So.2018.WEBRip.x264.ION10-music.wav,/laughs/laugh_98.wav,1101.91,1103.18,0.5,0.5
