,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,720","00:00:16,474",[theme music: orchestral hip-hop],2,21.37,"#1, #2, ","19.45, 24.39, ","23.21, 42.0, ",11.72,16.47
1,"00:00:27,318","00:00:30,238",[crowd roars],0,0.0,,,,27.32,30.24
2,"00:00:30,321","00:00:31,740",What's up?,0,0.0,,,,30.32,31.74
3,"00:00:33,491","00:00:35,410","Davis, what's up?",0,0.0,,,,33.49,35.41
4,"00:00:36,411","00:00:37,495",I'm home.,0,0.0,,,,36.41,37.49
5,"00:00:38,079","00:00:40,457",I had to bring it back here.,0,0.0,,,,38.08,40.46
6,"00:00:40,999","00:00:44,878","Netflix said, ""Where do you want to do the special? LA, Chicago, New York?""",0,0.0,,,,41.0,44.88
7,"00:00:44,961","00:00:47,380","I was like, ""Nah, son. Davis California.""",1,4.549999999999997,"#3, ","47.13, ","51.68, ",44.96,47.38
8,"00:00:47,464","00:00:51,092","[cheering, whooping]",0,0.0,,,,47.46,51.09
9,"00:00:51,176","00:00:52,719","This has, um...",0,0.0,,,,51.18,52.72
10,"00:00:53,386","00:00:55,889",This has been a very good year for me.,0,0.0,,,,53.39,55.89
11,"00:00:55,972","00:00:57,932","I recently got married, you guys.",0,0.0,,,,55.97,57.93
12,"00:00:58,016","00:00:59,726","Thank you, thank you.",1,3.789999999999999,"#4, ","58.38, ","62.17, ",58.02,59.73
13,"00:01:00,310","00:01:01,895",Thank you. I need the claps.,0,0.0,,,,60.31,61.9
14,"00:01:01,978","00:01:04,105",It's a very heavy ring. Very heavy.,0,0.0,,,,61.98,64.11
15,"00:01:04,189","00:01:06,649",It was a reverse <i>Lord of the Rings </i>situation.,0,0.0,,,,64.19,66.65
16,"00:01:06,733","00:01:08,818","I got a ring and then lost my powers,",0,0.0,,,,66.73,68.82
17,"00:01:08,902","00:01:11,488",which is a very different <i>Lord of the Rings</i>.,0,0.0,,,,68.9,71.49
18,"00:01:11,571","00:01:13,865","""Listening? Compromise? Take the ring, Sam.""",0,0.0,,,,71.57,73.86
19,"00:01:13,948","00:01:18,787",The movie is done in eight minutes. It's not a 90-hour saga.,2,2.2299999999999898,"#5, #6, ","75.17, 78.65, ","76.32, 79.73, ",73.95,78.79
20,"00:01:18,870","00:01:21,331","We just celebrated our one-year anniversary,",0,0.0,,,,78.87,81.33
21,"00:01:21,414","00:01:24,125","so it's one year down, forever to go.",0,0.0,,,,81.41,84.12
22,"00:01:25,710","00:01:27,712",Which is terrifying to say.,0,0.0,,,,85.71,87.71
23,"00:01:27,796","00:01:31,216","But you know what's great? Now, it's just kind of liberating.",0,0.0,,,,87.8,91.22
24,"00:01:31,716","00:01:35,762",Because I don't give a fuck about any of my single friends.,1,1.2000000000000028,"#7, ","96.08, ","97.28, ",91.72,95.76
25,"00:01:36,262","00:01:39,682",I don't care about any of you and it feels great.,0,0.0,,,,96.26,99.68
26,"00:01:40,225","00:01:43,269","Because you guys are at home, just swiping for love,",0,0.0,,,,100.22,103.27
27,"00:01:43,353","00:01:44,813",and complaining.,1,1.2199999999999989,"#8, ","103.59, ","104.81, ",103.35,104.81
28,"00:01:44,896","00:01:46,564","""Oh, how do you find people?""",0,0.0,,,,104.9,106.56
29,"00:01:46,648","00:01:50,151","""Dimples? Off with his head!"" Like a god-damn emperor.",1,0.9399999999999977,"#9, ","109.15, ","110.09, ",106.65,110.15
30,"00:01:50,235","00:01:51,903","""Brunettes? Not for me.""",0,0.0,,,,110.23,111.9
31,"00:01:51,986","00:01:55,156","I'm like, ""You work at Subway. You don't deserve so much choice.""",0,0.0,,,,111.99,115.16
32,"00:01:55,240","00:01:56,950",We're getting soft.,1,0.6300000000000097,"#10, ","115.38, ","116.01, ",115.24,116.95
33,"00:01:57,033","00:02:00,787",You realize my parents physically never saw each other?,0,0.0,,,,117.03,120.79
34,"00:02:00,870","00:02:04,457","Thirty years ago in a town in India, population 990,000 -",0,0.0,,,,120.87,124.46
35,"00:02:04,541","00:02:05,750",that's a small town -,0,0.0,,,,124.54,125.75
36,"00:02:05,834","00:02:10,046","my dad heard a buzz in the streets about this woman named Seema, my mom.",0,0.0,,,,125.83,130.05
37,"00:02:10,130","00:02:13,550","And, like, Seema was that chick, you guys.",0,0.0,,,,130.13,133.55
38,"00:02:13,967","00:02:15,677","In '82, Seema could get...",1,5.949999999999989,"#11, ","134.34, ","140.29, ",133.97,135.68
39,"00:02:15,760","00:02:18,263",Look at that red <i>langa</i>. Killing it!,0,0.0,,,,135.76,138.26
40,"00:02:20,014","00:02:21,641",She was like the iPhone 8.,0,0.0,,,,140.01,141.64
41,"00:02:21,724","00:02:25,478","""Have you heard of Seema? She's slim. Her family owns a camera.""",0,0.0,,,,141.72,145.48
42,"00:02:25,562","00:02:27,689","My dad was like, ""A camera?""",1,1.3400000000000034,"#12, ","146.15, ","147.49, ",145.56,147.69
43,"00:02:27,772","00:02:31,067",So he runs to my grandfather's house and lays it on the line.,0,0.0,,,,147.77,151.07
44,"00:02:31,151","00:02:34,154","""I'm going to America. I want to marry Seema. YOLO.""",0,0.0,,,,151.15,154.15
