,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,172","00:00:08,174",[sea gulls cawing],0,0.0,,,,6.17,8.17
1,"00:00:10,468","00:00:14,514",[fog horn blows],0,0.0,,,,10.47,14.51
2,"00:00:16,016","00:00:18,101","Guys, I'm about to take a giant ship.",3,7.059999999999999,"#1, #2, #3, ","20.81, 34.24, 42.62, ","23.0, 36.61, 45.12, ",16.02,18.1
3,"00:00:42,709","00:00:44,335",Thank you so much!,0,0.0,,,,42.71,44.34
4,"00:00:45,420","00:00:46,254",Thank you.,0,0.0,,,,45.42,46.25
5,"00:00:49,758","00:00:51,176",Thank you so much...,0,0.0,,,,49.76,51.18
6,"00:00:52,177","00:00:53,762",for being here. So...,0,0.0,,,,52.18,53.76
7,"00:00:54,512","00:00:57,640",first up on the agenda is...,0,0.0,,,,54.51,57.64
8,"00:00:57,724","00:00:58,767",I got engaged.,1,5.480000000000004,"#4, ","58.8, ","64.28, ",57.72,58.77
9,"00:01:00,560","00:01:02,062",Thank you.,0,0.0,,,,60.56,62.06
10,"00:01:02,687","00:01:04,814",I appreciate that enthusiasm.,0,0.0,,,,62.69,64.81
11,"00:01:04,898","00:01:08,193",I appreciate the applause because I live in Los Angeles,0,0.0,,,,64.9,68.19
12,"00:01:08,318","00:01:12,197","and when you tell people in L.A. that you got engaged, they don't applaud.",1,1.0700000000000074,"#5, ","72.41, ","73.48, ",68.32,72.2
13,"00:01:13,448","00:01:18,036","You tell people in L.A. you got engaged, they're, like, ""Good for you.",1,0.8400000000000034,"#6, ","77.97, ","78.81, ",73.45,78.04
14,"00:01:19,120","00:01:20,163","Good for...""",0,0.0,,,,79.12,80.16
15,"00:01:20,246","00:01:21,247",[bleats],1,2.430000000000007,"#7, ","81.16, ","83.59, ",80.25,81.25
16,"00:01:23,249","00:01:27,837","So you tell people you got engaged, next obligatory thing out of their mouth",0,0.0,,,,83.25,87.84
17,"00:01:27,921","00:01:29,798","is, like, ""How did you guys meet?",0,0.0,,,,87.92,89.8
18,"00:01:30,215","00:01:31,216",[chomps],1,1.5999999999999943,"#8, ","91.2, ","92.8, ",90.22,91.22
19,"00:01:32,467","00:01:34,594",[grunts],2,2.3299999999999983,"#9, #10, ","95.28, 97.21, ","96.07, 98.75, ",92.47,94.59
20,"00:01:37,305","00:01:38,431","How did you meet?""",0,0.0,,,,97.31,98.43
21,"00:01:38,515","00:01:40,100",I don't like to tell people,0,0.0,,,,98.52,100.1
22,"00:01:40,225","00:01:41,184",how we met.,0,0.0,,,,100.22,101.18
23,"00:01:41,267","00:01:43,103",I don't like to tell people how we met.,0,0.0,,,,101.27,103.1
24,"00:01:43,186","00:01:45,146",It's not bad. It's not embarrassing.,0,0.0,,,,103.19,105.15
25,"00:01:45,230","00:01:46,815",It's just not cool.,0,0.0,,,,105.23,106.81
26,"00:01:47,857","00:01:49,275","Like, we met on a dating app.",1,1.1299999999999955,"#11, ","109.5, ","110.63, ",107.86,109.28
27,"00:01:50,360","00:01:52,445","Right, like all of you. Yeah.",1,1.6899999999999977,"#12, ","111.89, ","113.58, ",110.36,112.44
28,"00:01:54,948","00:01:56,991","We met on a dating app, which is...",0,0.0,,,,114.95,116.99
29,"00:01:57,075","00:02:02,247",less of a product of my lack of creativity and more a result of my generation.,0,0.0,,,,117.08,122.25
30,"00:02:02,330","00:02:03,414",I'm a millennial.,0,0.0,,,,122.33,123.41
31,"00:02:03,498","00:02:05,333","That's how we meet each other, okay?",1,3.7099999999999937,"#13, ","124.77, ","128.48, ",123.5,125.33
32,"00:02:06,501","00:02:07,335",Yeah.,0,0.0,,,,126.5,127.33
33,"00:02:08,128","00:02:09,504","A dating app, at a bar,",0,0.0,,,,128.13,129.5
34,"00:02:09,587","00:02:13,299","or it's, like, ""I got her pregnant. Well, Skylar will make a good mom."" That's it.",1,0.9000000000000057,"#14, ","133.41, ","134.31, ",129.59,133.3
35,"00:02:15,718","00:02:19,389","Some of you were so quiet when I said I was a millennial. Fuck you, okay?",1,11.72999999999999,"#15, ","139.02, ","150.75, ",135.72,139.39
36,"00:02:23,017","00:02:25,186",I am... 35.,0,0.0,,,,143.02,145.19
37,"00:02:29,149","00:02:32,402","Which means I was born in 1983,",0,0.0,,,,149.15,152.4
38,"00:02:32,485","00:02:33,862",which means I am...,0,0.0,,,,152.49,153.86
39,"00:02:33,945","00:02:35,280",right at the cutoff.,1,2.319999999999993,"#16, ","155.61, ","157.93, ",153.94,155.28
40,"00:02:36,573","00:02:38,700","Okay, so I am a millennial,",0,0.0,,,,156.57,158.7
41,"00:02:38,783","00:02:40,535",but I am an elder!,1,6.02000000000001,"#17, ","160.94, ","166.96, ",158.78,160.53
42,"00:02:42,453","00:02:44,747",Elder millennial!,0,0.0,,,,162.45,164.75
43,"00:02:45,790","00:02:46,875",Wizened.,0,0.0,,,,165.79,166.88
44,"00:02:48,376","00:02:49,335",Sage.,1,2.530000000000001,"#18, ","170.14, ","172.67, ",168.38,169.34
45,"00:02:51,421","00:02:54,674","Yes, gather 'round the Snapchat, children.",1,6.0400000000000205,"#19, ","173.26, ","179.3, ",171.42,174.67
46,"00:02:58,761","00:03:00,638",I'll tell you the tale...,0,0.0,,,,178.76,180.64
47,"00:03:03,141","00:03:04,893",of the landline.,1,7.449999999999989,"#20, ","184.99, ","192.44, ",183.14,184.89
48,"00:03:06,895","00:03:09,480","[mouths silently] Hello, goodbye.",0,0.0,,,,186.9,189.48
49,"00:03:12,442","00:03:13,985",When I was a young girl...,0,0.0,,,,192.44,193.99
50,"00:03:15,195","00:03:19,365",I once sent a text message from a Sidekick.,2,4.820000000000022,"#21, #22, ","199.57, 204.2, ","203.53, 205.06, ",195.19,199.37
51,"00:03:24,245","00:03:27,040",I remember when Skechers were invented.,1,1.0400000000000205,"#23, ","206.7, ","207.74, ",204.25,207.04
52,"00:03:29,042","00:03:30,418",They were ugly then.,1,1.4399999999999977,"#24, ","210.99, ","212.43, ",209.04,210.42
53,"00:03:32,003","00:03:33,504",And they're ugly now.,2,1.5,"#25, #26, ","213.45, 215.63, ","214.26, 216.32, ",212.0,213.5
54,"00:03:35,840","00:03:37,008",In high school...,0,0.0,,,,215.84,217.01
55,"00:03:37,550","00:03:40,845",we danced to a band called Sugar Ray.,2,6.550000000000011,"#27, #28, ","221.29, 227.87, ","226.69, 229.02, ",217.55,220.84
56,"00:03:48,311","00:03:49,729",How did you guys meet?,0,0.0,,,,228.31,229.73
57,"00:03:49,812","00:03:52,315","You ask a girl, ""How did you guys meet?""",0,0.0,,,,229.81,232.31
58,"00:03:52,398","00:03:55,485",We want to tell you. We want to tell you...,0,0.0,,,,232.4,235.49
59,"00:03:56,236","00:03:57,111",everything.,1,1.539999999999992,"#29, ","237.16, ","238.7, ",236.24,237.11
60,"00:03:58,029","00:04:00,615","We want to give you personal information, background story,",0,0.0,,,,238.03,240.62
61,"00:04:00,698","00:04:03,159","ancillary information, anything information.",0,0.0,,,,240.7,243.16
