,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:09,259","00:00:12,762",[techno music playing],0,0.0,,,,9.26,12.76
1,"00:00:12,846","00:00:15,849",We're in Denver. I have what I'm hoping is altitude sickness,0,0.0,,,,12.85,15.85
2,"00:00:15,932","00:00:18,143","and not some, like, weird form of meningitis.",0,0.0,,,,15.93,18.14
3,"00:00:18,226","00:00:21,187","They keep telling me it's not meningitis, but they don't know.",1,0.8599999999999994,"#0, ","20.41, ","21.27, ",18.23,21.19
4,"00:00:21,271","00:00:22,564",We've got an amazing crowd.,0,0.0,,,,21.27,22.56
5,"00:00:22,647","00:00:25,442","All the tickets are gone, which is great. All fans.",1,0.8000000000000007,"#1, ","23.33, ","24.13, ",22.65,25.44
6,"00:00:25,525","00:00:28,528",People who are coming to my show should expect a healthy dose,0,0.0,,,,25.52,28.53
7,"00:00:28,611","00:00:31,406","of very honest, hilarious, aggressive comedy.",1,0.5,"#2, ","29.61, ","30.11, ",28.61,31.41
8,"00:00:31,489","00:00:34,826","The special's called  Freezing Hot , so the set is freezing hot.",0,0.0,,,,31.49,34.83
9,"00:00:34,909","00:00:38,163","There's a big old explosion in the background, palm trees and snow,",1,1.4200000000000017,"#3, ","37.57, ","38.99, ",34.91,38.16
10,"00:00:38,246","00:00:41,041",and then there's a surprise at the end: my girl Blanche.,1,1.3699999999999974,"#4, ","40.63, ","42.0, ",38.25,41.04
11,"00:00:41,124","00:00:43,626","When I first started traveling, I decided to get her",0,0.0,,,,41.12,43.63
12,"00:00:43,710","00:00:46,838","so I'd have someone to be with me on the road, and fans like her.",0,0.0,,,,43.71,46.84
13,"00:00:46,921","00:00:48,047",Come here!,1,2.259999999999998,"#5, ","50.07, ","52.33, ",46.92,48.05
14,"00:00:52,010","00:00:54,637","Okay, thank you. We have to go make an hour special.",1,6.289999999999999,"#6, ","54.1, ","60.39, ",52.01,54.64
15,"00:00:54,721","00:00:58,183","[announcer]  Ladies and gentlemen, please welcome Iliza Shlesinger!",1,3.3599999999999994,"#7, ","61.09, ","64.45, ",54.72,58.18
16,"00:00:58,266","00:01:02,103",[cheers and applause],0,0.0,,,,58.27,62.1
17,"00:01:04,272","00:01:08,193",[techno music thumping loudly],2,2.760000000000005,"#8, #9, ","65.71, 71.09, ","67.81, 71.75, ",64.27,68.19
18,"00:01:16,076","00:01:17,535",Thank you!,1,6.179999999999993,"#10, ","76.79, ","82.97, ",76.08,77.53
19,"00:01:17,619","00:01:18,828",Denver!,0,0.0,,,,77.62,78.83
20,"00:01:18,912","00:01:20,455",[audience cheering],0,0.0,,,,78.91,80.45
21,"00:01:20,538","00:01:22,207",I picked-- I picked this city.,0,0.0,,,,80.54,82.21
22,"00:01:22,290","00:01:25,668","I picked this city as my favorite city to do comedy in, for this special.",1,4.8700000000000045,"#11, ","85.52, ","90.39, ",82.29,85.67
23,"00:01:25,752","00:01:28,171",- Thank you. - [cheers and applause],0,0.0,,,,85.75,88.17
24,"00:01:30,089","00:01:33,551",Thought it was gonna be a lot colder. Really did.,1,2.1400000000000006,"#12, ","91.53, ","93.67, ",90.09,93.55
25,"00:01:33,635","00:01:36,221",I always feel like weather is something you can use,0,0.0,,,,93.64,96.22
26,"00:01:36,346","00:01:38,223",to ingratiate yourself toward other girls.,1,1.3600000000000136,"#13, ","98.07, ","99.43, ",96.35,98.22
27,"00:01:38,306","00:01:42,227","Guys have sports, when they meet: ""What's up, bro? You see  30 for 30 ?""",0,0.0,,,,98.31,102.23
28,"00:01:42,310","00:01:45,104","""Fuckin' right, I did. Yeah.""",1,6.010000000000005,"#14, ","103.07, ","109.08, ",102.31,105.1
29,"00:01:45,188","00:01:47,816",[laughter],0,0.0,,,,105.19,107.82
30,"00:01:49,109","00:01:52,112","With girls, it's not fashion or anything else, it's the weather.",0,0.0,,,,109.11,112.11
31,"00:01:52,195","00:01:55,573","It's like, ""Oh, my God, it was so hot.",1,1.8299999999999983,"#15, ","115.0, ","116.83, ",112.19,115.57
32,"00:01:56,699","00:01:58,701","Like, earlier.""",1,0.9300000000000068,"#16, ","118.32, ","119.25, ",116.7,118.7
33,"00:01:58,785","00:02:04,249","And then the other girl's like, ""It was so hot! I noticed that, I feel.",1,5.1200000000000045,"#17, ","120.82, ","125.94, ",118.78,124.25
34,"00:02:04,332","00:02:08,795","I love it when it's hot, but not too hot. Do you know what I'm talking about?""",1,1.329999999999984,"#18, ","127.18, ","128.51, ",124.33,128.79
35,"00:02:08,878","00:02:12,006","""I know what you're saying. Like, I totally get it. But not too hot.",1,1.210000000000008,"#19, ","128.97, ","130.18, ",128.88,132.01
36,"00:02:12,090","00:02:13,716","But I also like it when it's cold.""",0,0.0,,,,132.09,133.72
37,"00:02:13,800","00:02:17,637","""Me too, but not too cold, no. If it's too cold, it's like, brrr.""",1,2.1299999999999955,"#20, ","136.83, ","138.96, ",133.8,137.64
38,"00:02:17,720","00:02:19,139",[laughter],0,0.0,,,,137.72,139.14
39,"00:02:19,222","00:02:20,974",I like to talk about the weather.,1,0.950000000000017,"#21, ","139.67, ","140.62, ",139.22,140.97
40,"00:02:21,057","00:02:26,479","But the weird thing for being a girl is even if you live in cold weather,",0,0.0,,,,141.06,146.48
41,"00:02:26,563","00:02:30,233",girls always have an issue with deciding what outer layer we should wear.,0,0.0,,,,146.56,150.23
42,"00:02:30,316","00:02:32,360",We always defer to the guy.,0,0.0,,,,150.32,152.36
43,"00:02:32,443","00:02:33,778","Like, ""Babe!",0,0.0,,,,152.44,153.78
44,"00:02:35,572","00:02:36,990",Should I do a jacket?,1,2.1499999999999773,"#22, ","156.74, ","158.89, ",155.57,156.99
45,"00:02:37,073","00:02:38,324",[laughter],0,0.0,,,,157.07,158.32
46,"00:02:38,408","00:02:41,494",Jacket? A short one?,0,0.0,,,,158.41,161.49
47,"00:02:41,578","00:02:43,079",A long one?,1,1.1099999999999852,"#23, ","162.53, ","163.64, ",161.58,163.08
48,"00:02:43,163","00:02:44,622",You're not looking? Okay.,1,8.73999999999998,"#24, ","164.49, ","173.23, ",163.16,164.62
49,"00:02:44,706","00:02:46,166",[laughter],0,0.0,,,,164.71,166.17
50,"00:02:46,249","00:02:49,669",If I should do a jacket. For the-- Are we going to the thing? [bleats],0,0.0,,,,166.25,169.67
51,"00:02:49,752","00:02:50,712",[laughter],0,0.0,,,,169.75,170.71
52,"00:02:50,795","00:02:53,381",Do a jacket? Should I do it? Should I do a jacket?,0,0.0,,,,170.79,173.38
53,"00:02:53,464","00:02:56,676",Will you just pause Halo for two seconds? Thanks.,1,1.7800000000000011,"#25, ","175.56, ","177.34, ",173.46,176.68
54,"00:02:56,759","00:03:00,096",Jacket-- should I do it? Should I do a jacket? Not a jacket.,0,0.0,,,,176.76,180.1
55,"00:03:00,179","00:03:03,099","Should I just do, like, four scarves and no pants?",1,3.1200000000000045,"#26, ","182.13, ","185.25, ",180.18,183.1
56,"00:03:03,182","00:03:04,767",[laughter],0,0.0,,,,183.18,184.77
57,"00:03:04,851","00:03:06,311",Seems counterintuitive.,1,1.1999999999999886,"#27, ","186.22, ","187.42, ",184.85,186.31
58,"00:03:06,394","00:03:08,605","Do a jacket? Jacket? Jacket? Jacket?""",0,0.0,,,,186.39,188.6
59,"00:03:08,688","00:03:12,233","Finally her boyfriend's like, ""Yeah, bring a fuckin' jacket!""",1,1.6999999999999886,"#28, ","191.15, ","192.85, ",188.69,192.23
60,"00:03:12,317","00:03:15,361","And you're like, ""I don't want to bring a jacket!""",1,1.6299999999999955,"#29, ","195.09, ","196.72, ",192.32,195.36
61,"00:03:16,696","00:03:20,742","- ""Why not?"" - ""'Cause then I have to carry it!""",1,2.9000000000000057,"#30, ","197.95, ","200.85, ",196.7,200.74
62,"00:03:20,825","00:03:23,620","Girls hate the idea of carrying a jacket. ""It's too heavy!""",0,0.0,,,,200.82,203.62
63,"00:03:23,703","00:03:27,624",The female body is capable of carrying a human being...,1,1.1000000000000227,"#31, ","207.64, ","208.74, ",203.7,207.62
64,"00:03:28,791","00:03:31,377","for nine months, but apparently a lightweight jacket",0,0.0,,,,208.79,211.38
65,"00:03:31,461","00:03:34,339",stuffed with feathers is where we draw the line.,1,2.5400000000000205,"#32, ","213.89, ","216.43, ",211.46,214.34
66,"00:03:34,422","00:03:36,549",[laughter],0,0.0,,,,214.42,216.55
