,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:00,876","00:00:05,673",[cheers and applause],0,0.0,,,,0.88,5.67
1,"00:00:05,673","00:00:10,302",[indistinct chatter],1,2.1799999999999997,"#1, ","8.13, ","10.31, ",5.67,10.3
2,"00:00:10,302","00:00:12,137","- LADIES AND GENTLEMEN,",0,0.0,,,,10.3,12.14
3,"00:00:12,137","00:00:15,349",ILIZA SHLESINGER!,1,2.539999999999999,"#2, ","12.4, ","14.94, ",12.14,15.35
4,"00:00:15,349","00:00:17,893",[upbeat music],1,28.05,"#3, ","16.31, ","44.36, ",15.35,17.89
5,"00:00:17,893","00:00:22,898",[cheers and applause],0,0.0,,,,17.89,22.9
6,"00:00:22,898","00:00:25,317",- ALL RIGHT!,0,0.0,,,,22.9,25.32
7,"00:00:25,317","00:00:29,196","DALLAS, TEXAS! [laughs]",0,0.0,,,,25.32,29.2
8,"00:00:29,196","00:00:30,823",THANK YOU.,0,0.0,,,,29.2,30.82
9,"00:00:30,823","00:00:34,952",[cheers and applause],0,0.0,,,,30.82,34.95
10,"00:00:40,040","00:00:42,459",OH.,0,0.0,,,,40.04,42.46
11,"00:00:42,459","00:00:44,211","HOW ARE YOU GUYS DOING? THANK YOU FOR COMING OUT, Y'ALL.",0,0.0,,,,42.46,44.21
12,"00:00:44,211","00:00:45,921",FANTASTIC.,1,1.3999999999999986,"#4, ","45.24, ","46.64, ",44.21,45.92
13,"00:00:45,921","00:00:50,133",I AM SO EXCITED AND HONORED TO BE SHOOTING MY HOUR SPECIAL,0,0.0,,,,45.92,50.13
14,"00:00:50,133","00:00:51,844","IN MY HOMETOWN OF DALLAS, TEXAS.",2,4.959999999999994,"#5, #6, ","51.74, 54.06, ","53.16, 57.6, ",50.13,51.84
15,"00:00:51,844","00:00:54,179","YES, MA'AM. [cheers and applause]",0,0.0,,,,51.84,54.18
16,"00:00:54,179","00:00:56,015",[laughs],0,0.0,,,,54.18,56.02
17,"00:00:56,015","00:00:57,766",I'M SO EXCITED TO BE HERE.,0,0.0,,,,56.02,57.77
18,"00:00:57,766","00:00:59,518",NOT THRILLED WITH GETTING HERE.,0,0.0,,,,57.77,59.52
19,"00:00:59,518","00:01:01,102",I HAVE TO BE HONEST.,1,0.9399999999999977,"#7, ","60.54, ","61.48, ",59.52,61.1
20,"00:01:01,102","00:01:05,106",I FLY ENOUGH THAT I FEEL I HAVE THE RIGHT TO SAY THIS.,0,0.0,,,,61.1,65.11
21,"00:01:05,106","00:01:07,693","IF YOU WORK FOR AN AIRLINE,",0,0.0,,,,65.11,67.69
22,"00:01:07,693","00:01:09,778",I HATE YOU.,1,1.769999999999996,"#8, ","68.14, ","69.91, ",67.69,69.78
23,"00:01:09,778","00:01:11,822",OKAY? I HATE YOU.,0,0.0,,,,69.78,71.82
24,"00:01:11,822","00:01:13,240","AND I DON'T WANT TO HEAR,",0,0.0,,,,71.82,73.24
25,"00:01:13,240","00:01:15,158","""NO, MY COUSIN SHEILA'S A REAL SWEETHEART.",1,0.75,"#9, ","73.61, ","74.36, ",73.24,75.16
26,"00:01:15,158","00:01:16,326","SHE WORKS FOR SOUTHWEST.""",1,6.329999999999998,"#10, ","75.51, ","81.84, ",75.16,76.33
27,"00:01:16,326","00:01:17,870",FUCK YOUR COUSIN SHEILA.,0,0.0,,,,76.33,77.87
28,"00:01:17,870","00:01:19,914",[laughter],0,0.0,,,,77.87,79.91
