,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,440","00:00:11,480",[pounding dance music],0,0.0,,,,6.44,11.48
1,"00:00:14,400","00:00:17,200",[announcer] Please welcome Jack Whitehall.,1,1.0300000000000011,"#1, ","16.74, ","17.77, ",14.4,17.2
2,"00:00:17,280","00:00:22,200","[crowd roars, cheers, whistles]",4,14.850000000000005,"#2, #3, #4, #5, ","18.8, 24.8, 26.54, 31.0, ","22.1, 25.39, 30.05, 38.45, ",17.28,22.2
3,"00:00:36,160","00:00:39,240",[inaudible],2,8.760000000000005,"#6, #7, ","39.16, 41.72, ","40.99, 48.65, ",36.16,39.24
4,"00:00:47,480","00:00:50,640","[music ends, crowd roars]",1,9.409999999999997,"#8, ","49.38, ","58.79, ",47.48,50.64
5,"00:00:51,560","00:00:53,560","Show business, baby.",0,0.0,,,,51.56,53.56
6,"00:00:53,640","00:00:55,560",Show business.,0,0.0,,,,53.64,55.56
7,"00:00:55,640","00:00:57,400",Wow! How amazing is this?,0,0.0,,,,55.64,57.4
8,"00:00:57,480","00:01:01,280",Here we are at the record of my first ever Netflix special.,1,3.1700000000000017,"#9, ","61.39, ","64.56, ",57.48,61.28
9,"00:01:01,840","00:01:03,600",[crowd cheers],0,0.0,,,,61.84,63.6
10,"00:01:03,680","00:01:04,720",Yeah.,0,0.0,,,,63.68,64.72
11,"00:01:04,800","00:01:07,640",I don't know why I'm talking into this. I'm on a head set.,1,1.1700000000000017,"#10, ","67.98, ","69.15, ",64.8,67.64
12,"00:01:07,720","00:01:08,960",[laughter],0,0.0,,,,67.72,68.96
13,"00:01:09,040","00:01:11,480",I doubt that's even on. I doubt that is even...,0,0.0,,,,69.04,71.48
14,"00:01:11,560","00:01:15,040","I mean, not even plugged in. Literally just a prop.",1,1.8800000000000097,"#11, ","72.38, ","74.26, ",71.56,75.04
15,"00:01:15,680","00:01:17,680",This is an international show.,0,0.0,,,,75.68,77.68
16,"00:01:17,760","00:01:20,800","I've realized, right, trying to do the international show,",0,0.0,,,,77.76,80.8
17,"00:01:20,880","00:01:23,640",that the cultural divide is much greater than we think.,0,0.0,,,,80.88,83.64
18,"00:01:23,720","00:01:28,120","The biggest difference, I realize, between us and our American cousins,",0,0.0,,,,83.72,88.12
19,"00:01:28,200","00:01:31,440","when I went to California, was the attitude to drinking.",0,0.0,,,,88.2,91.44
20,"00:01:31,520","00:01:33,000",Completely different.,0,0.0,,,,91.52,93.0
21,"00:01:33,360","00:01:37,880",I heard sentences in California that I've never heard before. Like this:,0,0.0,,,,93.36,97.88
22,"00:01:38,600","00:01:41,320","[American accent] ""Oh, my God. Oh, my God.",0,0.0,,,,98.6,101.32
23,"00:01:41,760","00:01:43,840",Did you see Larry?,0,0.0,,,,101.76,103.84
24,"00:01:44,480","00:01:48,400",Larry had four glasses of wine with dinner.,1,1.0100000000000051,"#12, ","105.42, ","106.43, ",104.48,108.4
25,"00:01:51,480","00:01:52,920",I think Larry...,0,0.0,,,,111.48,112.92
26,"00:01:53,760","00:01:55,520","may be an alcoholic.""",1,2.6500000000000057,"#13, ","114.88, ","117.53, ",113.76,115.52
27,"00:01:55,600","00:01:56,760",[audience chuckles],0,0.0,,,,115.6,116.76
28,"00:01:56,840","00:01:58,240","Yes, I know.",0,0.0,,,,116.84,118.24
29,"00:01:58,320","00:02:02,240",Four glasses of wine with dinner in America: you're an alcoholic.,1,0.8599999999999994,"#14, ","121.28, ","122.14, ",118.32,122.24
30,"00:02:02,520","00:02:06,720",Four glasses of wine with dinner in Britain: you're the designated driver.,0,0.0,,,,122.52,126.72
31,"00:02:06,800","00:02:10,440","[laughter, applause]",1,9.420000000000002,"#15, ","126.92, ","136.34, ",126.8,130.44
32,"00:02:13,160","00:02:15,240",[whooping],0,0.0,,,,133.16,135.24
33,"00:02:16,560","00:02:21,200","Nothing, though, sums up the differing attitudes to drinking in the UK and the US",1,0.5799999999999841,"#16, ","139.33, ","139.91, ",136.56,141.2
34,"00:02:21,640","00:02:25,600","than what we encourage our children, our little babies,",0,0.0,,,,141.64,145.6
35,"00:02:25,680","00:02:28,880",to leave out Santa Claus on Christmas Eve.,0,0.0,,,,145.68,148.88
36,"00:02:30,520","00:02:34,280",Do you know what the kids in America leave out Santa Claus on Christmas Eve?,0,0.0,,,,150.52,154.28
37,"00:02:34,360","00:02:36,360",Milk and cookies.,1,0.6900000000000261,"#17, ","155.17, ","155.86, ",154.36,156.36
38,"00:02:36,720","00:02:39,400","""Hey, Santa, I'm gonna leave this big old glass of milk.",1,0.6699999999999875,"#18, ","159.33, ","160.0, ",156.72,159.4
39,"00:02:39,480","00:02:43,440",It's packed full of calcium so your bones can be strong and sturdy.,1,1.2600000000000193,"#19, ","162.82, ","164.08, ",159.48,163.44
40,"00:02:43,520","00:02:45,680","Love you, Santa. Santa Claus, love you.",0,0.0,,,,163.52,165.68
41,"00:02:46,080","00:02:47,760","I love you, Santa Claus.""",0,0.0,,,,166.08,167.76
42,"00:02:48,280","00:02:51,880",What do the children of Britain leave out Santa Claus every Christmas Eve?,0,0.0,,,,168.28,171.88
43,"00:02:52,320","00:02:53,240",Sherry.,1,3.3700000000000045,"#20, ","172.82, ","176.19, ",172.32,173.24
44,"00:02:54,000","00:02:55,240","Neat liquor,",0,0.0,,,,174.0,175.24
45,"00:02:55,320","00:02:59,840","which we have our children believe Santa Claus is downing at every house,",1,0.8999999999999773,"#21, ","178.77, ","179.67, ",175.32,179.84
46,"00:02:59,920","00:03:02,480",whilst operating a sleigh.,1,2.4000000000000057,"#22, ","181.67, ","184.07, ",179.92,182.48
47,"00:03:03,120","00:03:05,200","""Could we leave him a cookie, Daddy?""",0,0.0,,,,183.12,185.2
48,"00:03:05,280","00:03:08,560","[northern accent] ""No, eating's cheating, you bastard.""",2,5.150000000000006,"#23, #24, ","185.47, 187.34, ","186.49, 191.47, ",185.28,188.56
49,"00:03:08,640","00:03:09,840",[laughter],0,0.0,,,,188.64,189.84
50,"00:03:09,920","00:03:13,600","""Go grab some tinnies for the elves, you little...""",1,3.4499999999999886,"#25, ","193.25, ","196.7, ",189.92,193.6
51,"00:03:16,920","00:03:18,560","""Daddy?"" ""What?""",1,1.3199999999999932,"#26, ","197.78, ","199.1, ",196.92,198.56
52,"00:03:19,360","00:03:22,560","""Why am I American, and you're from the north of England?""",1,2.6100000000000136,"#27, ","201.69, ","204.3, ",199.36,202.56
53,"00:03:22,640","00:03:26,160","""I don't know. Jack messed up your voice.",0,0.0,,,,202.64,206.16
