,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:10,719","00:00:12,721",{\an8}<i>Look up.</i>,0,0.0,,,,10.72,12.72
1,"00:00:13,973","00:00:15,307",{\an8}<i>[knocking at door]</i>,0,0.0,,,,13.97,15.31
2,"00:00:15,933","00:00:18,393",<i>- Yeah?</i> <i>- Jen.</i>,0,0.0,,,,15.93,18.39
3,"00:00:18,477","00:00:21,104","<i>Oh, my God, Amanda. Hey.</i> <i>What are you doing?</i>",1,0.6799999999999997,"#1, ","20.55, ","21.23, ",18.48,21.1
4,"00:00:21,188","00:00:22,439",I didn't think you could get in.,1,2.0599999999999987,"#2, ","21.55, ","23.61, ",21.19,22.44
5,"00:00:22,523","00:00:25,233","<i>The stage manager let us in,</i> <i>but we can't stay.</i>",1,1.1499999999999986,"#3, ","23.92, ","25.07, ",22.52,25.23
6,"00:00:25,317","00:00:28,069","<i>-Well, he can't 'cause...</i> <i>-Well, he's too young.</i>",1,2.2300000000000004,"#4, ","25.66, ","27.89, ",25.32,28.07
7,"00:00:28,153","00:00:30,781",<i>Alcohol is being served</i> <i>and they don't let kids stay.</i>,0,0.0,,,,28.15,30.78
8,"00:00:30,865","00:00:34,075",<i>-I don't think my act would--</i> <i>-If you could talk to him directly.</i>,0,0.0,,,,30.86,34.08
9,"00:00:34,159","00:00:36,161",It's not healthy for children's development,0,0.0,,,,34.16,36.16
10,"00:00:36,244","00:00:38,246",<i>for adults to pretend like he's not here.</i>,0,0.0,,,,36.24,38.25
11,"00:00:38,330","00:00:40,624","So, yeah, just talk to him, just normal.",0,0.0,,,,38.33,40.62
12,"00:00:40,708","00:00:44,712","<i>-Allistar, this is Jen.</i> <i>-Hi, Allistar.</i>",0,0.0,,,,40.71,44.71
13,"00:00:44,795","00:00:48,089",<i>-She's Mommy's friend from--</i> <i>-We went to college together.</i>,1,1.8599999999999994,"#5, ","45.01, ","46.87, ",44.8,48.09
14,"00:00:48,173","00:00:50,258",<i>-[Amanda] In Los Angeles.</i> <i>-Yeah.</i>,0,0.0,,,,48.17,50.26
