,filename,laughs,start,end,threshold,duration
1,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_1.wav,20.55,21.23,0.5,0.5
2,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_2.wav,21.55,23.61,0.5,0.5
3,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_3.wav,23.92,25.07,0.5,0.5
4,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_4.wav,25.66,27.89,0.5,0.5
5,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_5.wav,45.01,46.87,0.5,0.5
6,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_6.wav,53.01,54.03,0.5,0.5
7,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_7.wav,62.73,63.57,0.5,0.5
8,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_8.wav,65.33,67.41,0.5,0.5
9,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_9.wav,68.39,69.33,0.5,0.5
10,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_10.wav,72.04,72.61,0.5,0.5
11,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_11.wav,74.94,75.72,0.5,0.5
12,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_12.wav,77.04,78.93,0.5,0.5
13,Jen.Kirkman...Im.Gonna.Die.Alone.and.I.Feel.Fine..2015.-music.wav,/laughs/laugh_13.wav,79.28,80.23,0.5,0.5
