,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,799","00:00:08,434",[audience cheering and applauding],0,0.0,,,,6.8,8.43
1,"00:00:19,311","00:00:21,513","Hello. I should use a microphone, really.",0,0.0,,,,19.31,21.51
2,"00:00:21,647","00:00:22,647",Hi.,0,0.0,,,,21.65,22.65
3,"00:00:23,248","00:00:24,248","Oh, my God.",0,0.0,,,,23.25,24.25
4,"00:00:24,683","00:00:25,751",Thank you.,0,0.0,,,,24.68,25.75
5,"00:00:26,318","00:00:27,319",[mimics crying],0,0.0,,,,26.32,27.32
6,"00:00:27,853","00:00:29,855",[audience cheering],0,0.0,,,,27.85,29.86
7,"00:00:29,922","00:00:30,989",Thank you.,0,0.0,,,,29.92,30.99
8,"00:00:32,691","00:00:34,893",Thank you. That was the perfect amount of applause.,0,0.0,,,,32.69,34.89
9,"00:00:34,960","00:00:37,429",I didn't have to stand here too awkwardly long.,0,0.0,,,,34.96,37.43
10,"00:00:37,496","00:00:39,364",Thank you for coming. I am Jen.,1,0.7399999999999949,"#1, ","37.63, ","38.37, ",37.5,39.36
11,"00:00:39,431","00:00:43,402","If you didn't know, maybe you wandered in, now you're having a fun time with me.",0,0.0,,,,39.43,43.4
12,"00:00:43,802","00:00:44,837",-Um... -[audience laughs],1,1.6199999999999974,"#2, ","43.92, ","45.54, ",43.8,44.84
13,"00:00:45,737","00:00:48,907","It has been brought to my attention by doctors,",0,0.0,,,,45.74,48.91
14,"00:00:49,274","00:00:52,277","some codependent yoga teachers, and everyone who's ever met me",0,0.0,,,,49.27,52.28
15,"00:00:52,644","00:00:53,645",that I am high strung.,1,1.6700000000000017,"#3, ","53.23, ","54.9, ",52.64,53.65
16,"00:00:54,279","00:00:59,718","And... it's been suggested... that therapy isn't enough,",0,0.0,,,,54.28,59.72
17,"00:00:59,952","00:01:01,687",that I need to meditate.,0,0.0,,,,59.95,61.69
18,"00:01:02,621","00:01:06,358","And so, now, I am one of these people who meditates.",0,0.0,,,,62.62,66.36
19,"00:01:07,025","00:01:10,929","And by ""I meditate,"" I mean, ""I do not ever meditate.""",1,3.490000000000009,"#4, ","70.8, ","74.29, ",67.03,70.93
20,"00:01:11,330","00:01:12,998",-But... -[audience laughs],0,0.0,,,,71.33,73.0
21,"00:01:14,299","00:01:18,537","I have a meditation playlist, some gongs going, ""gong, gong.""",0,0.0,,,,74.3,78.54
22,"00:01:18,604","00:01:21,473","I've got apps, I think about meditation.",0,0.0,,,,78.6,81.47
23,"00:01:21,540","00:01:23,775",I have a meditation chair in my living room.,2,3.0100000000000193,"#5, #6, ","81.55, 83.24, ","83.04, 84.76, ",81.54,83.78
24,"00:01:24,676","00:01:26,712","You have one, too. It's just a fucking chair.",1,3.0200000000000102,"#7, ","86.16, ","89.18, ",84.68,86.71
25,"00:01:26,778","00:01:27,913",-But... -[audience laughs],0,0.0,,,,86.78,87.91
26,"00:01:28,747","00:01:32,484","I put a candle next to it and I call it my meditation chair, yeah.",1,1.980000000000004,"#8, ","91.58, ","93.56, ",88.75,92.48
27,"00:01:33,285","00:01:35,587","And when you come over, I point out to you,",0,0.0,,,,93.28,95.59
28,"00:01:35,654","00:01:39,958","""Oh, don't mind that, that just, um-- That's my meditation chair, yeah.",1,2.3400000000000034,"#9, ","97.95, ","100.29, ",95.65,99.96
29,"00:01:40,359","00:01:43,695","No, every morning I get up and I think about doing it and I don't.",0,0.0,,,,100.36,103.69
30,"00:01:43,829","00:01:47,432",I get up and I...sit in it and take a few deep breaths.,0,0.0,,,,103.83,107.43
31,"00:01:47,499","00:01:50,736","Don't be intimidated, you can sit in it if you want. Yeah, it's not--",1,2.450000000000003,"#10, ","109.19, ","111.64, ",107.5,110.74
32,"00:01:51,303","00:01:53,305","Not everyone's on the same spiritual plane,",1,1.3399999999999892,"#11, ","113.26, ","114.6, ",111.3,113.31
33,"00:01:53,372","00:01:54,807",but we don't have any rules,0,0.0,,,,113.37,114.81
34,"00:01:54,873","00:01:57,476",in this... happy home with the chair and the--,0,0.0,,,,114.87,117.48
35,"00:01:57,543","00:02:00,012","Don't worry about why the candle has never been lit, just...""",1,6.6299999999999955,"#12, ","119.43, ","126.06, ",117.54,120.01
36,"00:02:00,078","00:02:01,780",[audience laughs],0,0.0,,,,120.08,121.78
37,"00:02:03,949","00:02:07,352","But this one day, I did meditate because I had an important thing to do.",0,0.0,,,,123.95,127.35
38,"00:02:07,419","00:02:08,420",I wanted to get a job.,0,0.0,,,,127.42,128.42
39,"00:02:08,487","00:02:10,989",I wanted to write and I wanted someone to pay me for it.,0,0.0,,,,128.49,130.99
40,"00:02:11,056","00:02:13,525",I wanted to have interview and I wanted to get it.,1,0.7199999999999989,"#13, ","131.23, ","131.95, ",131.06,133.53
41,"00:02:13,592","00:02:16,495","So, that being said, there were a little nerves in the morning.",0,0.0,,,,133.59,136.5
42,"00:02:16,962","00:02:19,031",I thought maybe I'll try this meditation thing,0,0.0,,,,136.96,139.03
43,"00:02:19,097","00:02:20,666",that everyone is talking about.,0,0.0,,,,139.1,140.67
44,"00:02:20,732","00:02:22,801",And I did about five minutes of meditation.,1,1.1599999999999966,"#14, ","143.12, ","144.28, ",140.73,142.8
45,"00:02:23,602","00:02:26,371","And if you're not impressed with that, then you've never meditated.",1,3.9000000000000057,"#15, ","145.57, ","149.47, ",143.6,146.37
46,"00:02:26,438","00:02:27,806",[audience laughs],0,0.0,,,,146.44,147.81
47,"00:02:28,774","00:02:32,744","Because after five seconds, you're like, ""Why did the Lord stop time?""",1,3.3100000000000023,"#16, ","152.29, ","155.6, ",148.77,152.74
48,"00:02:32,811","00:02:34,580",[audience laughs],0,0.0,,,,152.81,154.58
49,"00:02:35,881","00:02:40,819",Five minutes is a long time to clear your mind of things and I did it.,2,2.170000000000016,"#17, #18, ","158.06, 160.16, ","158.8, 161.59, ",155.88,160.82
50,"00:02:41,553","00:02:43,689",And I woke up and came out of it and I was like:,0,0.0,,,,161.55,163.69
51,"00:02:43,856","00:02:47,926","""Oh, I get what everyone's talking about. I feel... so--",0,0.0,,,,163.86,167.93
52,"00:02:47,993","00:02:49,528","Like, I could handle anything.",0,0.0,,,,167.99,169.53
53,"00:02:49,595","00:02:54,967","If I didn't have to leave the house today, I could really handle anything.""",2,4.8700000000000045,"#19, #20, ","169.85, 172.53, ","170.84, 176.41, ",169.59,174.97
54,"00:02:56,501","00:02:59,037","But I did have to leave the house. And so, I got in my car",0,0.0,,,,176.5,179.04
55,"00:02:59,104","00:03:02,140",and I'm driving in the Los Angeles 9 a.m. traffic.,0,0.0,,,,179.1,182.14
56,"00:03:02,407","00:03:04,943","When I saw the green light, I was like, ""Green's pretty.""",0,0.0,,,,182.41,184.94
57,"00:03:05,010","00:03:08,046","And I was trying to figure out what green meant, like, on a deeper level.",1,1.7300000000000182,"#21, ","188.01, ","189.74, ",185.01,188.05
58,"00:03:08,113","00:03:09,147",[audience laughs],0,0.0,,,,188.11,189.15
59,"00:03:09,414","00:03:11,516","And I'm like, ""Green, what can that tell me?""",0,0.0,,,,189.41,191.52
