,filename,laughs,start,end,threshold,duration
2,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_2.wav,40.82,55.48,0.5,0.5
3,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_3.wav,56.49,57.87,0.5,0.5
4,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_4.wav,60.62,62.11,0.5,0.5
5,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_5.wav,66.23,67.18,0.5,0.5
6,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_6.wav,76.46,77.77,0.5,0.5
7,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_7.wav,85.68,86.74,0.5,0.5
8,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_8.wav,96.59,97.7,0.5,0.5
9,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_9.wav,111.8,113.25,0.5,0.5
10,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_10.wav,117.32,118.25,0.5,0.5
11,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_11.wav,138.21,140.03,0.5,0.5
12,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_12.wav,146.67,147.69,0.5,0.5
13,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_13.wav,155.29,161.51,0.5,0.5
14,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_14.wav,161.71,163.29,0.5,0.5
15,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_15.wav,165.14,166.53,0.5,0.5
16,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_16.wav,168.41,169.65,0.5,0.5
17,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_17.wav,183.85,184.83,0.5,0.5
18,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_18.wav,190.46,191.98,0.5,0.5
19,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_19.wav,197.82,198.34,0.5,0.5
20,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_20.wav,232.04,233.24,0.5,0.5
21,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_21.wav,235.89,238.21,0.5,0.5
22,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_22.wav,249.26,250.29,0.5,0.5
23,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_23.wav,260.61,262.12,0.5,0.5
24,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_24.wav,267.37,269.21,0.5,0.5
25,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_25.wav,286.86,287.81,0.5,0.5
26,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_26.wav,291.24,293.57,0.5,0.5
27,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_27.wav,308.24,310.16,0.5,0.5
28,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_28.wav,312.74,314.87,0.5,0.5
29,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_29.wav,316.69,326.15,0.5,0.5
30,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_30.wav,329.04,331.21,0.5,0.5
31,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_31.wav,335.81,337.8,0.5,0.5
32,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_32.wav,356.05,358.47,0.5,0.5
33,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_33.wav,362.07,363.48,0.5,0.5
34,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_34.wav,365.4,366.22,0.5,0.5
35,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_35.wav,369.87,379.45,0.5,0.5
36,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_36.wav,379.89,380.78,0.5,0.5
37,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_37.wav,401.2,406.63,0.5,0.5
38,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_38.wav,414.31,417.55,0.5,0.5
39,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_39.wav,418.87,419.44,0.5,0.5
40,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_40.wav,424.09,426.14,0.5,0.5
41,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_41.wav,448.84,450.24,0.5,0.5
42,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_42.wav,457.01,460.79,0.5,0.5
43,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_43.wav,470.11,472.19,0.5,0.5
44,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_44.wav,491.56,493.61,0.5,0.5
45,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_45.wav,494.17,495.06,0.5,0.5
46,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_46.wav,496.35,497.18,0.5,0.5
47,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_47.wav,504.67,506.33,0.5,0.5
48,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_48.wav,509.88,518.51,0.5,0.5
49,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_49.wav,526.01,527.7,0.5,0.5
50,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_50.wav,537.29,538.25,0.5,0.5
51,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_51.wav,564.67,565.99,0.5,0.5
52,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_52.wav,572.89,579.75,0.5,0.5
53,Jim.Jefferies.Freedumb.2016.PROPER.720p.WEBRip.X264.DEFLATE-music.wav,/laughs/laugh_53.wav,591.02,592.17,0.5,0.5
