,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,005","00:00:06,464",[rock music playing],2,18.11,"#0, #1, ","6.51, 14.53, ","13.81, 25.34, ",5.0,6.46
1,"00:00:06,548","00:00:08,550",[audience cheering],0,0.0,,,,6.55,8.55
2,"00:00:24,065","00:00:26,526",[audience applauding and cheering],3,9.560000000000002,"#2, #3, #4, ","26.32, 33.78, 35.98, ","32.12, 35.21, 38.31, ",24.07,26.53
3,"00:00:36,578","00:00:38,121","Hello, London!",1,3.039999999999999,"#5, ","40.12, ","43.16, ",36.58,38.12
4,"00:00:38,246","00:00:40,248",[audience cheering],0,0.0,,,,38.25,40.25
5,"00:00:44,044","00:00:45,045",That's my town.,0,0.0,,,,44.04,45.05
6,"00:00:47,130","00:00:48,006",Uh...,0,0.0,,,,47.13,48.01
7,"00:00:48,089","00:00:49,966",This is my second home.,0,0.0,,,,48.09,49.97
8,"00:00:50,050","00:00:51,384",[audience cheering],0,0.0,,,,50.05,51.38
9,"00:00:52,677","00:00:54,679",I lived here for ten years.,0,0.0,,,,52.68,54.68
10,"00:00:55,263","00:00:56,097",I love London.,0,0.0,,,,55.26,56.1
11,"00:00:56,181","00:00:59,225",I actually recorded a couple of specials here before.,0,0.0,,,,56.18,59.23
12,"00:01:00,143","00:01:02,937","When I lived here, I was broke. I had no fucking money.",0,0.0,,,,60.14,62.94
13,"00:01:03,313","00:01:06,274","And maybe like 12 years ago,",0,0.0,,,,63.31,66.27
14,"00:01:06,357","00:01:07,776",I signed a contract,0,0.0,,,,66.36,67.78
15,"00:01:08,359","00:01:12,113","for five comedy specials for £90,000",0,0.0,,,,68.36,72.11
16,"00:01:12,197","00:01:15,325","with a record label over here, which, when you're broke...",1,0.8999999999999915,"#6, ","76.45, ","77.35, ",72.2,75.33
17,"00:01:17,619","00:01:20,413","sounds like a really good fucking deal, right?",0,0.0,,,,77.62,80.41
18,"00:01:20,830","00:01:23,625","I had no money and someone offered me £90,000,",0,0.0,,,,80.83,83.62
19,"00:01:23,708","00:01:26,669","I was like, ""Fuck, yeah,"" for five comedy specials.",0,0.0,,,,83.71,86.67
20,"00:01:26,753","00:01:29,547",But that is the worst deal in record history.,0,0.0,,,,86.75,89.55
