,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,806","00:00:15,060","First of all, thank you so much for doing this.",0,0.0,,,,11.81,15.06
1,"00:00:15,143","00:00:18,021",I know you're busy. I was kind of embarrassed to ask you.,0,0.0,,,,15.14,18.02
2,"00:00:18,104","00:00:20,523","What do you need, exactly? Because I'm--",0,0.0,,,,18.1,20.52
3,"00:00:21,358","00:00:23,193","Um, I want you to--",1,8.379999999999999,"#1, ","22.86, ","31.24, ",21.36,23.19
4,"00:00:23,276","00:00:25,195",-You're gonna look into the camera. -Right.,0,0.0,,,,23.28,25.2
5,"00:00:25,278","00:00:28,073","Get the audience really psyched up to see me, a nice introduction.",0,0.0,,,,25.28,28.07
6,"00:00:28,156","00:00:30,492",Just get them really juiced to have me coming out.,0,0.0,,,,28.16,30.49
7,"00:00:30,575","00:00:32,827","What about: ""Ladies and gentlemen,",1,2.6199999999999974,"#2, ","32.2, ","34.82, ",30.57,32.83
8,"00:00:32,911","00:00:34,913",you are in the for the night of your lives.,0,0.0,,,,32.91,34.91
9,"00:00:34,996","00:00:38,583",This next comedian makes Jerry Seinfeld and Chris Rock look like rubbish.,1,4.350000000000001,"#3, ","35.76, ","40.11, ",35.0,38.58
10,"00:00:38,667","00:00:41,962",George Carlin and Richard Pryor were shit compared to him.,1,27.699999999999996,"#4, ","40.71, ","68.41, ",38.67,41.96
11,"00:00:42,045","00:00:45,215","Please welcome the greatest comedian in the world: Jim Norton.""",0,0.0,,,,42.05,45.22
12,"00:00:45,298","00:00:49,177","Nah, it's just too much. It's a little over the top.",0,0.0,,,,45.3,49.18
13,"00:00:49,261","00:00:50,804","-Is it? -Yeah, too much.",0,0.0,,,,49.26,50.8
14,"00:00:50,887","00:00:53,014",-Oh. -Kind of hard to believe all that.,0,0.0,,,,50.89,53.01
15,"00:00:53,098","00:00:56,643","Well, yeah. I was trying to big you up. So...",0,0.0,,,,53.1,56.64
16,"00:00:56,726","00:00:59,854",Something a little bit less pressure-inducing.,0,0.0,,,,56.73,59.85
17,"00:00:59,938","00:01:02,232","Right, okay. You don't want pressure. I'm sorry.",0,0.0,,,,59.94,62.23
18,"00:01:02,315","00:01:04,150",I didn't realize you didn't want pressure,0,0.0,,,,62.31,64.15
19,"00:01:04,234","00:01:06,695",when doing a special on Netflix,0,0.0,,,,64.23,66.69
20,"00:01:06,778","00:01:09,155",that's gonna be seen by millions of people.,0,0.0,,,,66.78,69.16
21,"00:01:09,239","00:01:10,907",But you don't want pressure.,1,5.689999999999998,"#5, ","69.76, ","75.45, ",69.24,70.91
22,"00:01:10,991","00:01:12,492",-It should feel honest. -Honest?,0,0.0,,,,70.99,72.49
23,"00:01:12,576","00:01:15,912","-Honest is important. -Okay. Honest. Yeah, honest.",1,3.930000000000007,"#6, ","75.61, ","79.54, ",72.58,75.91
24,"00:01:15,996","00:01:20,041","What about: ""Please give it up for the dirty, disgusting,",0,0.0,,,,76.0,80.04
25,"00:01:20,125","00:01:23,962","depraved little peeled turtle with AIDS,",1,29.540000000000006,"#7, ","80.61, ","110.15, ",80.12,83.96
26,"00:01:24,045","00:01:28,133","the king of cum-guzzling himself, Mr. Jim Norton.""",0,0.0,,,,84.05,88.13
27,"00:01:30,969","00:01:33,596",-Too honest? -Yeah? Sorry.,0,0.0,,,,90.97,93.6
28,"00:01:36,182","00:01:37,684",[sighs],0,0.0,,,,96.18,97.68
29,"00:01:38,643","00:01:41,021","Hey, buddy. I've got a favor to ask you.",0,0.0,,,,98.64,101.02
30,"00:01:41,104","00:01:44,774","I'm shooting a special, and I'm looking for someone to introduce me,",0,0.0,,,,101.1,104.77
31,"00:01:44,858","00:01:46,610",and I would love it to be you.,0,0.0,,,,104.86,106.61
32,"00:01:46,693","00:01:50,155",You'd just kind of say something nice about me and bring me onstage.,1,10.730000000000004,"#8, ","110.38, ","121.11, ",106.69,110.16
33,"00:01:50,780","00:01:51,781",If that would--,0,0.0,,,,110.78,111.78
