,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,010","00:00:12,762",[classical music playing],0,0.0,,,,11.01,12.76
1,"00:00:17,934","00:00:19,853",[applauding and cheering],0,0.0,,,,17.93,19.85
2,"00:00:33,825","00:00:35,660",Wow!,0,0.0,,,,33.83,35.66
3,"00:00:35,744","00:00:37,412","Good evening, London. You well?",1,1.6299999999999955,"#1, ","37.27, ","38.9, ",35.74,37.41
4,"00:00:37,495","00:00:39,247",-[audience] Yes! -Fabulous.,0,0.0,,,,37.49,39.25
5,"00:00:39,330","00:00:41,082",You are in very safe hands this evening.,0,0.0,,,,39.33,41.08
6,"00:00:41,166","00:00:44,461","I've been doing comedy now for, uh... money and sex.",1,1.2700000000000031,"#2, ","44.73, ","46.0, ",41.17,44.46
7,"00:00:45,962","00:00:47,338",It's going very well.,0,0.0,,,,45.96,47.34
8,"00:00:47,422","00:00:48,673","I live in North London now,",0,0.0,,,,47.42,48.67
9,"00:00:48,757","00:00:50,884",and a guy came up to me in the high street near where I live.,0,0.0,,,,48.76,50.88
10,"00:00:50,967","00:00:51,968",He was all excited. He went... [gasps],0,0.0,,,,50.97,51.97
11,"00:00:52,051","00:00:53,303","""I didn't recognise you!""",0,0.0,,,,52.05,53.3
12,"00:00:53,970","00:00:55,597","I said, ""Yeah, you did.""",1,5.089999999999996,"#3, ","55.77, ","60.86, ",53.97,55.6
13,"00:00:59,726","00:01:01,394","I should really have explained when I walked on, as well,",0,0.0,,,,59.73,61.39
14,"00:01:01,478","00:01:06,524",I look like this because my dad is Irish and my mum is Roger Federer.,2,4.349999999999994,"#4, #5, ","66.21, 70.9, ","69.0, 72.46, ",61.48,66.52
15,"00:01:11,488","00:01:13,573","[chuckles] Speaking of looks,",0,0.0,,,,71.49,73.57
16,"00:01:13,656","00:01:16,993",we were watching proper BBC News the other day,0,0.0,,,,73.66,76.99
17,"00:01:17,077","00:01:20,038","and Liz Hurley came on the news. Not like that, obviously.",0,0.0,,,,77.08,80.04
18,"00:01:20,121","00:01:21,122",Ah...,1,4.540000000000006,"#6, ","80.19, ","84.73, ",80.12,81.12
19,"00:01:24,459","00:01:25,502",But she was on the news.,0,0.0,,,,84.46,85.5
20,"00:01:25,585","00:01:28,129","She was promoting some new TV show, and they did this thing.",0,0.0,,,,85.58,88.13
21,"00:01:28,213","00:01:30,381",They would only get away with doing this on the news.,0,0.0,,,,88.21,90.38
22,"00:01:30,465","00:01:32,509",They put her age after her name.,0,0.0,,,,90.47,92.51
23,"00:01:32,592","00:01:34,886","So, it said, ""Liz Hurley, 50.""",0,0.0,,,,92.59,94.89
24,"00:01:34,969","00:01:38,389","And my girlfriend turned to me and went, ""I hope I look that good when I'm 50.""",0,0.0,,,,94.97,98.39
25,"00:01:38,473","00:01:40,725","I said, ""You don't look that good now.",1,3.180000000000007,"#7, ","99.74, ","102.92, ",98.47,100.72
26,"00:01:42,685","00:01:45,021",What do you think's gonna happen?,1,1.9299999999999926,"#8, ","104.03, ","105.96, ",102.69,105.02
27,"00:01:45,104","00:01:48,650","You're gonna get to 49 and invent a time machine, are you? Best of luck.""",1,0.5200000000000102,"#9, ","108.41, ","108.93, ",105.1,108.65
28,"00:01:50,235","00:01:51,528",Liz Hurley's a good-looking woman.,0,0.0,,,,110.23,111.53
29,"00:01:51,611","00:01:53,196","-You'd agree with that, wouldn't you? -[audience agrees]",0,0.0,,,,111.61,113.2
30,"00:01:53,279","00:01:55,073","Yeah, I mean, I don't wanna be crude...",0,0.0,,,,113.28,115.07
31,"00:01:55,156","00:01:57,659","Well, I do wanna be crude, but not till later on.",0,0.0,,,,115.16,117.66
32,"00:01:57,742","00:01:58,952",I'll ease it in.,1,2.3900000000000006,"#10, ","118.22, ","120.61, ",117.74,118.95
33,"00:02:00,495","00:02:01,913",It's a gift. Um...,1,1.0799999999999983,"#11, ","122.02, ","123.1, ",120.5,121.91
34,"00:02:03,081","00:02:04,249",Liz Hurley's a good-looking woman.,0,0.0,,,,123.08,124.25
35,"00:02:04,332","00:02:07,168","Put it this way, I would ride her like a stolen bike.",2,2.269999999999996,"#12, #13, ","127.64, 131.15, ","129.23, 131.83, ",124.33,127.17
36,"00:02:11,381","00:02:14,676","You look as if you may require further clarification there, sir.",1,1.1099999999999852,"#14, ","133.71, ","134.82, ",131.38,134.68
37,"00:02:14,759","00:02:18,221","What I'm saying is, I would crawl over broken glass",0,0.0,,,,134.76,138.22
38,"00:02:18,304","00:02:20,598",to suck the cock of the last man that fucked her.,1,6.189999999999998,"#15, ","140.53, ","146.72, ",138.3,140.6
39,"00:02:22,851","00:02:25,436","We're all clear, we're all clear. We're all caught up.",1,0.6400000000000148,"#16, ","148.7, ","149.34, ",142.85,145.44
40,"00:02:29,190","00:02:31,860",Ladies spend ages getting ready for a night out.,0,0.0,,,,149.19,151.86
41,"00:02:31,943","00:02:32,944","Not all of them, obviously.",1,2.1699999999999875,"#17, ","153.84, ","156.01, ",151.94,152.94
42,"00:02:33,027","00:02:34,445",[audience laughing],0,0.0,,,,153.03,154.44
43,"00:02:36,030","00:02:38,616","No, you were probably in a hurry. Don't feel bad.",0,0.0,,,,156.03,158.62
44,"00:02:38,700","00:02:40,535",I was just randomly pointing down to whoever's sat there.,0,0.0,,,,158.7,160.53
45,"00:02:40,618","00:02:43,872","So, that's... That is nothing more than a happy coincidence.",1,1.2299999999999898,"#18, ","164.09, ","165.32, ",160.62,163.87
46,"00:02:45,039","00:02:46,666","Well, you're laughing, but the eyes are fucking daggers.",0,0.0,,,,165.04,166.67
47,"00:02:46,749","00:02:48,668",I'm in all kinds of trouble.,1,1.9099999999999966,"#19, ","167.54, ","169.45, ",166.75,168.67
48,"00:02:49,711","00:02:51,921",My girlfriend spends ages getting ready for a night out.,0,0.0,,,,169.71,171.92
49,"00:02:52,005","00:02:53,381",I'm not sure what she's getting ready for.,0,0.0,,,,172.0,173.38
50,"00:02:53,464","00:02:55,425",Disappointment is my best guess.,1,1.990000000000009,"#20, ","175.14, ","177.13, ",173.46,175.43
51,"00:02:57,260","00:02:59,262",Nando's and a movie. That's our classic date night.,0,0.0,,,,177.26,179.26
52,"00:02:59,345","00:03:01,848",And I love the cinema. Don't get me wrong. Love the cinema.,0,0.0,,,,179.34,181.85
53,"00:03:01,931","00:03:03,850","My only issue with the cinema, it's only a little thing,",0,0.0,,,,181.93,183.85
54,"00:03:03,933","00:03:04,976",but I get annoyed by the popcorn.,0,0.0,,,,183.93,184.98
55,"00:03:05,059","00:03:09,105","I think the popcorn in a cinema should have a very clear warning label on it,",0,0.0,,,,185.06,189.1
56,"00:03:09,188","00:03:10,815","saying, ""May contain nuts.""",0,0.0,,,,189.19,190.81
57,"00:03:10,899","00:03:14,068","Because if you're with me, it might.",1,1.6999999999999886,"#21, ","194.09, ","195.79, ",190.9,194.07
58,"00:03:15,778","00:03:18,990","""I know you said you wanted salty. Wait.""",1,1.6599999999999966,"#22, ","199.27, ","200.93, ",195.78,198.99
59,"00:03:20,700","00:03:22,994",Because I've cut a hole in the bottom of the container.,0,0.0,,,,200.7,202.99
60,"00:03:23,077","00:03:25,413",And I've sort of placed it there.,1,1.75,"#23, ","204.21, ","205.96, ",203.08,205.41
61,"00:03:25,496","00:03:27,957",And I've shoved my genitals through the hole.,0,0.0,,,,205.5,207.96
62,"00:03:28,041","00:03:30,209","And then when the lady I'm with has reached in to get popcorn,",1,0.8899999999999864,"#24, ","209.52, ","210.41, ",208.04,210.21
63,"00:03:30,293","00:03:32,754","innocently enough, she's touched my genitals,",1,1.1099999999999852,"#25, ","212.56, ","213.67, ",210.29,212.75
64,"00:03:33,546","00:03:35,256",and that's caused me to ejaculate.,1,1.1499999999999773,"#26, ","215.3, ","216.45, ",213.55,215.26
65,"00:03:36,591","00:03:39,677",And it's that ejaculate that's caused the salty flavour you're so familiar with.,1,2.0,"#27, ","219.32, ","221.32, ",216.59,219.68
66,"00:03:41,554","00:03:43,890",I'm happy to explain any and all of these as we go through.,1,1.9300000000000068,"#28, ","224.07, ","226.0, ",221.55,223.89
67,"00:03:45,892","00:03:47,894",It's clearly a mixed-ability group.,1,1.8500000000000227,"#29, ","227.7, ","229.55, ",225.89,227.89
68,"00:03:49,896","00:03:51,606",Horror films. Anyone else like horror films?,0,0.0,,,,229.9,231.61
69,"00:03:51,689","00:03:52,732",[audience] Yes!,1,1.049999999999983,"#30, ","231.77, ","232.82, ",231.69,232.73
70,"00:03:52,815","00:03:54,817","I like watching horror films hiding behind the sofa,",0,0.0,,,,232.81,234.82
71,"00:03:54,901","00:03:57,362","'cause that way, my neighbours don't know I'm there.",1,1.5999999999999943,"#31, ","237.34, ","238.94, ",234.9,237.36
72,"00:03:59,072","00:04:02,575",I like those black-and-white films where no one says anything.,0,0.0,,,,239.07,242.57
73,"00:04:02,659","00:04:04,077",Interracial porn.,1,1.6099999999999852,"#32, ","244.21, ","245.82, ",242.66,244.08
74,"00:04:05,954","00:04:08,206","Don't panic. I've checked, and that one's fine.",1,1.8300000000000125,"#33, ","248.41, ","250.24, ",245.95,248.21
75,"00:04:10,875","00:04:12,669",Flooding. We had pretty bad flooding last year.,0,0.0,,,,250.88,252.67
76,"00:04:12,752","00:04:17,048","I saw a woman on the news, in her flooded front room, crying.",0,0.0,,,,252.75,257.05
77,"00:04:17,131","00:04:20,093","I thought... ""Crying's not helping.",1,1.7300000000000182,"#34, ","259.77, ","261.5, ",257.13,260.09
78,"00:04:21,803","00:04:24,180","If anything, you're making matters worse, luv.""",1,2.0600000000000023,"#35, ","263.66, ","265.72, ",261.8,264.18
79,"00:04:24,264","00:04:25,932",[laughs],0,0.0,,,,264.26,265.93
80,"00:04:26,015","00:04:27,016","See, the flooding was pretty serious.",0,0.0,,,,266.01,267.02
81,"00:04:27,100","00:04:29,018",We knew the flooding was serious 'cause it happened in London.,0,0.0,,,,267.1,269.02
82,"00:04:29,102","00:04:30,103",That's when you know it's serious.,0,0.0,,,,269.1,270.1
83,"00:04:30,186","00:04:33,022","It's not as bad when it happens in the West Country, is it?",1,0.9500000000000455,"#36, ","272.27, ","273.22, ",270.19,273.02
84,"00:04:33,106","00:04:35,858",Chance for them to get some use out of those webbed fingers.,1,5.810000000000002,"#37, ","275.56, ","281.37, ",273.11,275.86
85,"00:04:35,942","00:04:37,443",[audience laughing],0,0.0,,,,275.94,277.44
86,"00:04:40,697","00:04:43,825","Oh, sorry, we're taping this this evening for Netflix, so I should explain.",0,0.0,,,,280.7,283.82
87,"00:04:43,908","00:04:46,786","The West Country, sort of Louisiana. There you go.",1,1.3899999999999864,"#38, ","286.19, ","287.58, ",283.91,286.79
88,"00:04:46,869","00:04:48,788",I'll translate as we go along.,0,0.0,,,,286.87,288.79
89,"00:04:48,871","00:04:50,331",Is there anyone in from the West Country?,0,0.0,,,,288.87,290.33
90,"00:04:50,415","00:04:51,416",[man] Yes!,1,0.6899999999999977,"#39, ","291.12, ","291.81, ",290.42,291.42
91,"00:04:51,499","00:04:54,127","Sorry, I didn't mean to ruin your romantic night out with your sister.",0,0.0,,,,291.5,294.13
92,"00:04:54,210","00:04:58,381",I was just making a joke. Having a bit of fun. Having fun.,1,5.589999999999975,"#40, ","294.67, ","300.26, ",294.21,298.38
93,"00:05:00,341","00:05:03,845","Last time we had a white Christmas, I made snow angels.",0,0.0,,,,300.34,303.85
94,"00:05:03,928","00:05:06,472",I skidded on some ice and took out three pedestrians.,1,2.1100000000000136,"#41, ","306.21, ","308.32, ",303.93,306.47
95,"00:05:07,890","00:05:10,476",I recently wrote a book about poltergeists.,0,0.0,,,,307.89,310.48
96,"00:05:10,560","00:05:13,021",And I'm pleased to say it is flying off the shelves.,1,1.660000000000025,"#42, ","313.25, ","314.91, ",310.56,313.02
97,"00:05:14,564","00:05:16,357",Proper fucking jokes in this show.,1,1.8599999999999568,"#43, ","316.47, ","318.33, ",314.56,316.36
98,"00:05:18,484","00:05:20,862","My friend said to me, ""What rhymes with orange?""",0,0.0,,,,318.48,320.86
99,"00:05:20,945","00:05:22,572","I said, ""No, it doesn't.""",1,2.9399999999999977,"#44, ","323.09, ","326.03, ",320.94,322.57
100,"00:05:26,075","00:05:29,579",How do they get all those drugs into our jails?,0,0.0,,,,326.07,329.58
101,"00:05:29,662","00:05:32,206",I guess they're smuggled in by some asshole.,1,1.920000000000016,"#45, ","332.27, ","334.19, ",329.66,332.21
102,"00:05:33,750","00:05:34,751",I've only given you a joke.,0,0.0,,,,333.75,334.75
103,"00:05:34,834","00:05:35,918","You've just given me a look as if to say,",0,0.0,,,,334.83,335.92
104,"00:05:36,002","00:05:38,379","""Yeah, so we do that. What's your fucking problem?""",1,1.4899999999999523,"#46, ","337.1, ","338.59, ",336.0,338.38
105,"00:05:38,463","00:05:40,131","What do you do for a living, sir?",0,0.0,,,,338.46,340.13
106,"00:05:41,966","00:05:44,010",Have a little think. I mean...,1,1.7300000000000182,"#47, ","343.39, ","345.12, ",341.97,344.01
107,"00:05:45,011","00:05:46,929",I'm not busy. Relax.,1,1.2099999999999795,"#48, ","346.97, ","348.18, ",345.01,346.93
108,"00:05:48,222","00:05:49,640",You're an accountant?,0,0.0,,,,348.22,349.64
109,"00:05:49,724","00:05:51,142","Where were you when I fucking needed you, mate?",0,0.0,,,,349.72,351.14
110,"00:05:51,225","00:05:54,228",-[audience laughing and applauding] -Eh?,1,8.110000000000014,"#49, ","351.3, ","359.41, ",351.23,354.23
111,"00:05:54,353","00:05:57,648",No good showing up now. No good showing up now.,0,0.0,,,,354.35,357.65
112,"00:05:57,732","00:06:00,276",[laughing],0,0.0,,,,357.73,360.28
113,"00:06:00,777","00:06:02,945","If you're watching this on Netflix in America, don't Google that.",1,1.6899999999999977,"#50, ","364.04, ","365.73, ",360.78,362.94
114,"00:06:03,029","00:06:05,823",-I'm a good guy. -[audience laughing],0,0.0,,,,363.03,365.82
115,"00:06:08,576","00:06:09,702",Shh!,1,1.4799999999999613,"#51, ","369.66, ","371.14, ",368.58,369.7
116,"00:06:10,912","00:06:13,748","What a lot of comedians do on stage, is they bullshit the audience.",0,0.0,,,,370.91,373.75
