,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:09,843","00:00:11,094","<i>[announcer] </i><span style=""style2"">Hawaii.</i>",0,0.0,,,,9.84,11.09
1,"00:00:11,970","00:00:14,055",<i>Are you ready?</i>,0,0.0,,,,11.97,14.05
2,"00:00:14,139","00:00:16,599",<i>[cheering and applause]</i>,1,21.98,"#1, ","16.45, ","38.43, ",14.14,16.6
3,"00:00:16,683","00:00:18,601","<i>Ladies and gentlemen,</i>",0,0.0,,,,16.68,18.6
4,"00:00:19,144","00:00:23,523",<i>give it up for Jo Koy!</i>,0,0.0,,,,19.14,23.52
5,"00:00:23,606","00:00:24,566","<i>[""Uproar"" plays]</i>",0,0.0,,,,23.61,24.57
6,"00:00:24,649","00:00:26,609","<i>♪ Five, four, three, two, I let one go ♪</i>",0,0.0,,,,24.65,26.61
7,"00:00:26,693","00:00:29,029","<i>♪ Bow, get the fuck though</i> <i>I don't bluff, bro ♪</i>",0,0.0,,,,26.69,29.03
8,"00:00:29,571","00:00:32,032",<i>♪ Aimin' at your head like a buffalo ♪</i>,0,0.0,,,,29.57,32.03
9,"00:00:32,115","00:00:34,367","<i>♪ You a roughneck, I'm a cutthroat ♪</i>",0,0.0,,,,32.12,34.37
10,"00:00:34,451","00:00:36,411",<i>♪ You're a tough guy</i> <i>That's enough jokes ♪</i>,0,0.0,,,,34.45,36.41
11,"00:00:36,828","00:00:39,122",<i>♪ Then the sun die</i> <i>The night is young though ♪</i>,0,0.0,,,,36.83,39.12
12,"00:00:39,205","00:00:40,665",<i>♪ The diamonds still shine  ♪</i>,1,5.869999999999997,"#2, ","39.5, ","45.37, ",39.2,40.66
13,"00:00:40,957","00:00:42,459",<i>That's what I'm talking about.</i>,0,0.0,,,,40.96,42.46
14,"00:00:43,251","00:00:44,127",<i>Yes!</i>,0,0.0,,,,43.25,44.13
15,"00:00:45,462","00:00:47,130","<i>Had to bring it to Hawaii, baby.</i>",1,3.519999999999996,"#3, ","47.1, ","50.62, ",45.46,47.13
16,"00:00:47,213","00:00:49,758",<i>[cheering]</i>,0,0.0,,,,47.21,49.76
17,"00:00:50,216","00:00:51,426",<i>Aloha is real.</i>,0,0.0,,,,50.22,51.43
18,"00:00:51,801","00:00:54,345","<i>If you're in a bad mood, just [whoosh],</i> <i>shoot them with some Aloha.</i>",1,1.7900000000000063,"#4, ","54.3, ","56.09, ",51.8,54.34
19,"00:00:54,429","00:00:55,930",<i>[laughter]</i>,0,0.0,,,,54.43,55.93
20,"00:00:56,014","00:00:58,600","<i>You guys are like Care Bears,</i> <i>it just comes out of your chests.</i>",1,4.8899999999999935,"#5, ","59.13, ","64.02, ",56.01,58.6
21,"00:00:58,683","00:00:59,517",<i>[laughter]</i>,0,0.0,,,,58.68,59.52
22,"00:00:59,601","00:01:01,311","<i>""Someone having a bad day?"" [whoosh]</i>",0,0.0,,,,59.6,61.31
23,"00:01:01,394","00:01:02,312",<i>[laughter]</i>,0,0.0,,,,61.39,62.31
24,"00:01:02,687","00:01:03,897","<i>Oh, shit.</i>",0,0.0,,,,62.69,63.9
25,"00:01:06,066","00:01:09,110",<i>People in Hawaii brag about shit </i> <i>that no one else brags about.</i>,1,2.5900000000000034,"#6, ","69.83, ","72.42, ",66.07,69.11
26,"00:01:09,194","00:01:10,361",<i>[laughter]</i>,0,0.0,,,,69.19,70.36
27,"00:01:10,445","00:01:11,529",<i>That's real!</i>,0,0.0,,,,70.44,71.53
28,"00:01:11,905","00:01:14,657",<i>'Cause you cher--</i> <i>you cherish the things that you have.</i>,0,0.0,,,,71.91,74.66
29,"00:01:15,200","00:01:17,410","<i>It's yours. </i> <i>I love this, it's mine, brother.</i>",1,3.75,"#7, ","77.08, ","80.83, ",75.2,77.41
30,"00:01:17,494","00:01:18,828",<i>[cheering]</i>,0,0.0,,,,77.49,78.83
31,"00:01:20,080","00:01:21,081","<i>I had a guy walk up to me,</i>",0,0.0,,,,80.08,81.08
32,"00:01:21,164","00:01:24,292","<i>he was like, ""Hey, brother, you see my...</i> <i>you see my brand new</i>",0,0.0,,,,81.16,84.29
33,"00:01:24,375","00:01:26,419",<i>2003 Toyota Tacoma?</i>,1,13.409999999999997,"#8, ","86.28, ","99.69, ",84.38,86.42
34,"00:01:26,503","00:01:27,962",<i>[laughter]</i>,0,0.0,,,,86.5,87.96
35,"00:01:29,464","00:01:30,632","<i>Cherry, bro.</i>",0,0.0,,,,89.46,90.63
36,"00:01:31,800","00:01:33,426",<i>Fucking cherry!</i>,0,0.0,,,,91.8,93.43
37,"00:01:33,802","00:01:34,844",<i>[laughter]</i>,0,0.0,,,,93.8,94.84
38,"00:01:35,136","00:01:37,263","<i>Lifted, bro. Lifted.</i>",0,0.0,,,,95.14,97.26
39,"00:01:38,431","00:01:40,683","<i>Lifted, 2003!</i>",1,0.9300000000000068,"#9, ","100.96, ","101.89, ",98.43,100.68
40,"00:01:41,643","00:01:43,937","<i>Brand new, 2003.</i>",1,6.450000000000003,"#10, ","103.56, ","110.01, ",101.64,103.94
41,"00:01:44,020","00:01:45,271",<i>[laughter]</i>,0,0.0,,,,104.02,105.27
42,"00:01:45,939","00:01:47,273","<i>Toyota Tacoma.""</i>",0,0.0,,,,105.94,107.27
43,"00:01:47,357","00:01:48,817",<i>[laughter]</i>,0,0.0,,,,107.36,108.82
44,"00:01:53,571","00:01:55,240","<i>You don't care, you're laid back.</i>",0,0.0,,,,113.57,115.24
45,"00:01:55,323","00:01:56,449",<i>You live in paradise.</i>,0,0.0,,,,115.32,116.45
46,"00:01:56,533","00:01:58,701",<i>You don't have time... You're not uptight.</i>,0,0.0,,,,116.53,118.7
47,"00:01:58,785","00:02:00,703","<i>You go out, ""Good, we go out.""</i>",0,0.0,,,,118.78,120.7
48,"00:02:01,955","00:02:03,832","<i>Dress nice. ""Okay, dress nice."" </i>",0,0.0,,,,121.95,123.83
49,"00:02:03,915","00:02:05,208",<i>[laughter]</i>,0,0.0,,,,123.92,125.21
50,"00:02:05,291","00:02:07,293","<i>Nice outfit, ""Where's my slipper?</i>",2,4.579999999999998,"#11, #12, ","127.39, 130.38, ","128.9, 133.45, ",125.29,127.29
51,"00:02:07,377","00:02:08,962",<i>[laughter]</i>,0,0.0,,,,127.38,128.96
52,"00:02:12,257","00:02:13,466","<i>Where's my slipper?""</i>",1,1.210000000000008,"#13, ","134.67, ","135.88, ",132.26,133.47
53,"00:02:15,051","00:02:16,636",<i>You guys will wear a slipper.</i>,1,1.299999999999983,"#14, ","136.71, ","138.01, ",135.05,136.64
54,"00:02:17,345","00:02:18,263","<i>""Slipper!""</i>",0,0.0,,,,137.34,138.26
55,"00:02:18,513","00:02:19,806","<i>Always, ""Slipper.""</i>",0,0.0,,,,138.51,139.81
56,"00:02:19,889","00:02:20,890",<i>[laughter]</i>,0,0.0,,,,139.89,140.89
57,"00:02:20,974","00:02:22,809","<i>""Slipper."" Fucking brand new outfit,</i>",0,0.0,,,,140.97,142.81
58,"00:02:22,892","00:02:23,768","<i>""Slipper.""</i>",2,1.759999999999991,"#15, #16, ","143.71, 145.66, ","144.85, 146.28, ",142.89,143.77
59,"00:02:23,852","00:02:25,061",<i>[laughter]</i>,0,0.0,,,,143.85,145.06
60,"00:02:26,020","00:02:28,189","<i>No one outside of Hawaii </i> <i>knows what ""slipper""...</i>",0,0.0,,,,146.02,148.19
61,"00:02:28,273","00:02:30,984","<i>I'll tell you what ""slipper"" is.</i> <i>It's fucking, look...</i>",1,11.180000000000007,"#17, ","152.01, ","163.19, ",148.27,150.98
62,"00:02:31,067","00:02:32,861","<i>-Look, ""Slipper.""</i> <i>-[laughter]</i>",0,0.0,,,,151.07,152.86
63,"00:02:32,944","00:02:35,029","<i>""Slipper, slipper,</i>",0,0.0,,,,152.94,155.03
64,"00:02:35,655","00:02:36,489",<i>slipper.</i>,0,0.0,,,,155.66,156.49
65,"00:02:36,573","00:02:37,615",<i>[cheering]</i>,0,0.0,,,,156.57,157.62
66,"00:02:37,699","00:02:41,077","<i>Slipper, slipper, slipper, slipper.""</i>",0,0.0,,,,157.7,161.08
67,"00:02:43,705","00:02:46,875",<i>I don't even know why you wear it. </i> <i>They're barely on your fucking foot.</i>,1,0.6800000000000068,"#18, ","166.76, ","167.44, ",163.71,166.88
68,"00:02:46,958","00:02:48,418",<i>[laughter]</i>,2,3.1299999999999955,"#19, #20, ","170.09, 171.92, ","171.79, 173.35, ",166.96,168.42
69,"00:02:49,669","00:02:51,087",<i>[laughter]</i>,0,0.0,,,,169.67,171.09
70,"00:02:52,881","00:02:54,132",<i>That's how you guys walk.</i>,1,3.530000000000001,"#21, ","173.82, ","177.35, ",172.88,174.13
71,"00:02:54,215","00:02:55,675",<i>[laughter]</i>,0,0.0,,,,174.22,175.68
72,"00:02:56,634","00:02:59,179","<i>""Slipper"" at the front of your foot.</i> <i>You're not even...</i>",1,1.509999999999991,"#22, ","178.4, ","179.91, ",176.63,179.18
73,"00:02:59,637","00:03:01,973","<i>It's not even on your foot.</i> <i>You just, kick the slipper, step.</i>",1,1.7700000000000102,"#23, ","181.81, ","183.58, ",179.64,181.97
74,"00:03:02,056","00:03:03,016","<i>Kick, step,</i>",0,0.0,,,,182.06,183.02
75,"00:03:03,099","00:03:05,768","<i>kick slipper, step,</i> <i>kick slipper, step, kick...</i>",2,2.5200000000000102,"#24, #25, ","184.92, 187.2, ","186.51, 188.13, ",183.1,185.77
76,"00:03:05,852","00:03:06,936",<i>[laughter]</i>,0,0.0,,,,185.85,186.94
77,"00:03:10,481","00:03:12,609",<i>You love the vowels. You guys love vowels.</i>,0,0.0,,,,190.48,192.61
78,"00:03:12,692","00:03:13,818",<i>[laughter]</i>,0,0.0,,,,192.69,193.82
79,"00:03:13,902","00:03:15,820","<i>You don't care. A, the letter A.</i>",0,0.0,,,,193.9,195.82
80,"00:03:15,904","00:03:16,779",<i>[laughter]</i>,0,0.0,,,,195.9,196.78
81,"00:03:16,863","00:03:19,073",<i>How many A's can you put </i> <i>in one street name?</i>,1,1.4300000000000068,"#26, ","199.19, ","200.62, ",196.86,199.07
82,"00:03:19,157","00:03:20,450",<i>[laughter]</i>,0,0.0,,,,199.16,200.45
83,"00:03:20,533","00:03:22,577",<i>How many A's? That's too many A's.</i>,1,0.8100000000000023,"#27, ","202.81, ","203.62, ",200.53,202.58
84,"00:03:22,660","00:03:23,661",<i>[laughter]</i>,0,0.0,,,,202.66,203.66
85,"00:03:23,745","00:03:26,539","<i>That's why if anyone comes to Hawaii,</i> <i>I'm talking to the world right now,</i>",0,0.0,,,,203.75,206.54
86,"00:03:26,623","00:03:28,625","<i>if you come to Hawaii, </i> <i>don't ask for directions.</i>",1,0.8600000000000136,"#28, ","208.88, ","209.74, ",206.62,208.62
87,"00:03:28,708","00:03:29,542",<i>[laughter]</i>,1,0.7199999999999989,"#29, ","211.25, ","211.97, ",208.71,209.54
88,"00:03:29,626","00:03:31,794",<i>-All the streets sound the same.</i> <i>-[laughter]</i>,0,0.0,,,,209.63,211.79
89,"00:03:31,878","00:03:33,296","<i>Ask for directions, they'll be like,</i>",0,0.0,,,,211.88,213.3
90,"00:03:33,379","00:03:35,465","<i>""Oh, that's easy, brother.</i> <i>This how you get there.</i>",1,1.9699999999999989,"#30, ","214.59, ","216.56, ",213.38,215.47
91,"00:03:36,049","00:03:39,385",<i>You just go down Kaleakalakaka.</i>,1,1.8300000000000125,"#31, ","218.47, ","220.3, ",216.05,219.38
92,"00:03:39,469","00:03:40,386",<i>[laughter]</i>,0,0.0,,,,219.47,220.39
93,"00:03:40,470","00:03:45,350",<i>Make a right turn on Laukaladakalakau.</i>,1,1.079999999999984,"#32, ","221.8, ","222.88, ",220.47,225.35
94,"00:03:45,433","00:03:49,854",<i>Left turn on Naukauaakala.</i>,1,1.0699999999999932,"#33, ","227.57, ","228.64, ",225.43,229.85
95,"00:03:50,021","00:03:56,527",<i>And then a right turn on Ahaahahaha'aaa.</i>,1,8.51000000000002,"#34, ","236.1, ","244.61, ",230.02,236.53
96,"00:03:56,611","00:03:58,029",<i>[cheering]</i>,0,0.0,,,,236.61,238.03
97,"00:04:04,244","00:04:06,037",<i>Love everything about Hawaii.</i>,0,0.0,,,,244.24,246.04
98,"00:04:06,537","00:04:07,789",<i>Can't get enough of it.</i>,0,0.0,,,,246.54,247.79
99,"00:04:08,539","00:04:10,416",<i>I don't even listen to the music </i> <i>and I love it.</i>,0,0.0,,,,248.54,250.42
100,"00:04:10,500","00:04:12,210","<i>When I'm here, </i> <i>I can't stop listening to it.</i>",0,0.0,,,,250.5,252.21
