,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,047","00:00:08,049",[indistinct chattering],0,0.0,,,,6.05,8.05
1,"00:00:15,640","00:00:16,850",[faint laughter],1,24.889999999999997,"#0, ","18.26, ","43.15, ",15.64,16.85
2,"00:00:18,518","00:00:22,313",-[audience cheering and applauding] -Oh!,0,0.0,,,,18.52,22.31
3,"00:00:22,814","00:00:24,482","What the fuck, Boston?",0,0.0,,,,22.81,24.48
4,"00:00:25,108","00:00:26,067",Goddamn!,0,0.0,,,,25.11,26.07
5,"00:00:27,527","00:00:28,486",Thank you.,0,0.0,,,,27.53,28.49
6,"00:00:29,112","00:00:31,489",It's good to be here. Good to be back.,0,0.0,,,,29.11,31.49
7,"00:00:33,116","00:00:33,950",Fuck!,0,0.0,,,,33.12,33.95
8,"00:00:34,993","00:00:35,910",I love it.,0,0.0,,,,34.99,35.91
9,"00:00:36,286","00:00:37,120",Goddamn it!,0,0.0,,,,36.29,37.12
10,"00:00:38,246","00:00:39,706",Good to see happy people...,0,0.0,,,,38.25,39.71
11,"00:00:40,540","00:00:41,541",having a good time.,0,0.0,,,,40.54,41.54
12,"00:00:42,751","00:00:44,878",It's a tense world we're living in today.,0,0.0,,,,42.75,44.88
13,"00:00:45,712","00:00:49,966",You got a president that's threatening to fight an ex-vice president.,1,3.0899999999999963,"#1, ","49.71, ","52.8, ",45.71,49.97
14,"00:00:50,091","00:00:51,217",[laughter],0,0.0,,,,50.09,51.22
15,"00:00:51,301","00:00:52,886",You pay attention to that shit?,0,0.0,,,,51.3,52.89
16,"00:00:53,386","00:00:55,055",It's a couple weeks ago on Twitter.,0,0.0,,,,53.39,55.05
17,"00:00:55,138","00:00:57,182","Donald Trump said that if he fought Joe Biden,",0,0.0,,,,55.14,57.18
18,"00:00:57,265","00:00:59,392",Joe Biden would go down fast and hard.,1,1.1799999999999997,"#2, ","59.44, ","60.62, ",57.27,59.39
19,"00:00:59,601","00:01:01,061",[laughter],0,0.0,,,,59.6,61.06
20,"00:01:01,186","00:01:03,855","I want to get in his ear. I'll be like, ""Let's make this happen, bro.""",1,0.990000000000002,"#3, ","63.54, ","64.53, ",61.19,63.85
21,"00:01:03,938","00:01:05,523",-[laughter] -There's money on the table.,1,0.8299999999999983,"#4, ","67.23, ","68.06, ",63.94,65.52
22,"00:01:05,607","00:01:07,942",-I'll commentate for free. -[laughter],0,0.0,,,,65.61,67.94
23,"00:01:08,026","00:01:10,570","No rules, grow your nails out, wear a diaper.",1,0.8100000000000023,"#5, ","71.42, ","72.23, ",68.03,70.57
24,"00:01:10,653","00:01:12,572",-No clothes. To the death. -[laughter],0,0.0,,,,70.65,72.57
