,filename,laughs,start,end,threshold,duration
0,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_0.wav,18.26,43.15,0.5,0.5
1,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_1.wav,49.71,52.8,0.5,0.5
2,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_2.wav,59.44,60.62,0.5,0.5
3,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_3.wav,63.54,64.53,0.5,0.5
4,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_4.wav,67.23,68.06,0.5,0.5
5,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_5.wav,71.42,72.23,0.5,0.5
6,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_6.wav,89.48,91.9,0.5,0.5
7,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_7.wav,100.96,103.01,0.5,0.5
8,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_8.wav,108.2,111.9,0.5,0.5
9,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_9.wav,116.4,118.31,0.5,0.5
10,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_10.wav,119.28,120.09,0.5,0.5
11,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_11.wav,120.79,121.95,0.5,0.5
12,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_12.wav,124.13,127.06,0.5,0.5
13,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_13.wav,144.88,146.56,0.5,0.5
14,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_14.wav,151.86,153.85,0.5,0.5
15,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_15.wav,155.69,161.85,0.5,0.5
16,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_16.wav,166.33,170.83,0.5,0.5
17,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_17.wav,178.91,180.37,0.5,0.5
18,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_18.wav,182.71,185.37,0.5,0.5
19,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_19.wav,187.95,189.43,0.5,0.5
20,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_20.wav,193.32,193.88,0.5,0.5
21,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_21.wav,198.71,199.74,0.5,0.5
22,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_22.wav,215.04,216.44,0.5,0.5
23,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_23.wav,229.29,229.82,0.5,0.5
24,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_24.wav,242.33,243.44,0.5,0.5
25,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_25.wav,251.0,251.99,0.5,0.5
26,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_26.wav,256.0,256.87,0.5,0.5
27,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_27.wav,259.77,268.14,0.5,0.5
28,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_28.wav,270.08,271.14,0.5,0.5
29,Joe.Rogan.Strange.Times.2018.720p.WEBRip.X264.AMRAP-music.wav,/laughs/laugh_29.wav,274.35,275.95,0.5,0.5
