,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,007","00:00:08,383",<i>[rock music playing]</i>,1,64.93,"#1, ","10.5, ","75.43, ",7.01,8.38
1,"00:00:37,995","00:00:40,290",{\an8}<i>[audience cheering]</i>,0,0.0,,,,37.99,40.29
2,"00:00:41,458","00:00:44,877","<i>[announcer] </i><span style=""style_2"">Ladies and gentlemen,</i> <span style=""style_2"">welcome Joe Rogan.</i>",0,0.0,,,,41.46,44.88
3,"00:00:45,962","00:00:48,381",<i>[audience cheering and applauding]</i>,0,0.0,,,,45.96,48.38
4,"00:00:55,138","00:00:57,390","<i>What the fuck is going on,</i> <i>San Francisco?</i>",0,0.0,,,,55.14,57.39
5,"00:00:58,308","00:01:02,228",<i>Thanks for coming.</i> <i>I appreciate it! God damn!</i>,0,0.0,,,,58.31,62.23
6,"00:01:02,312","00:01:03,730","<i>Put your phone down, fuckface!</i>",0,0.0,,,,62.31,63.73
7,"00:01:03,813","00:01:06,066","<i>I see you, bitch!</i> <i>Put your phone down!</i>",0,0.0,,,,63.81,66.07
8,"00:01:06,149","00:01:07,817",<i>Motherfuckers.</i>,0,0.0,,,,66.15,67.82
9,"00:01:07,900","00:01:09,736",<i>They can't use their eyes.</i>,0,0.0,,,,67.9,69.74
10,"00:01:09,819","00:01:12,697",<i>Everybody's gotta live</i> <i>through their goddamn phone.</i>,0,0.0,,,,69.82,72.7
11,"00:01:12,781","00:01:15,700",<i>Whoo! I'm high as fuck. Whoo.</i>,0,0.0,,,,72.78,75.7
12,"00:01:15,783","00:01:16,909",<i>It's strange.</i>,1,1.1700000000000017,"#2, ","76.52, ","77.69, ",75.78,76.91
13,"00:01:16,993","00:01:20,247","<i>I wasn't sure if I was gonna do</i> <i>this sober. I'm like, ""Ugh...""</i>",1,1.8100000000000023,"#3, ","78.63, ","80.44, ",76.99,80.25
14,"00:01:20,330","00:01:21,498",<i>It's not the move.</i>,1,1.6400000000000006,"#4, ","81.52, ","83.16, ",80.33,81.5
15,"00:01:22,624","00:01:25,251",<i>Not in San Francisco.</i> <i>This is--</i>,0,0.0,,,,82.62,85.25
16,"00:01:25,335","00:01:30,923","<i>I love pot, but the people that are making</i> <i>edibles need to slow the fuck down.</i>",1,6.989999999999995,"#5, ","87.11, ","94.1, ",85.33,90.92
17,"00:01:31,841","00:01:34,469","<i>Oh, my God!</i> <i>What are you trying to do to people?</i>",1,1.75,"#6, ","95.88, ","97.63, ",91.84,94.47
18,"00:01:36,053","00:01:38,556",<i>I had a pot gummy bear the other day.</i>,0,0.0,,,,96.05,98.56
19,"00:01:39,474","00:01:44,020",<i>I think we can all agree a gummy bear</i> <i>shouldn't be able to steal your soul.</i>,1,8.670000000000002,"#7, ","100.22, ","108.89, ",99.47,104.02
20,"00:01:44,103","00:01:45,272",<i>Right?</i>,0,0.0,,,,104.1,105.27
21,"00:01:46,398","00:01:49,609","<i>How the fuck are these people</i> <i>making these things, man?</i>",0,0.0,,,,106.4,109.61
22,"00:01:49,692","00:01:51,944",<i>They're not consistent.</i> <i>That's also part of the problem.</i>,1,3.219999999999999,"#8, ","111.59, ","114.81, ",109.69,111.94
23,"00:01:52,028","00:01:53,155","<i>You don't know what you're getting,</i>",0,0.0,,,,112.03,113.16
24,"00:01:53,238","00:01:56,949",<i>'cause they're not making them</i> <i>the same place where they make Tylenol.</i>,0,0.0,,,,113.24,116.95
25,"00:01:57,033","00:01:58,451","<i>Nah, it's some greasy dude</i>",0,0.0,,,,117.03,118.45
26,"00:01:58,535","00:02:01,538",<i>with a Grateful Dead T-shirt on</i> <i>and a gray ponytail.</i>,1,1.269999999999996,"#9, ","118.95, ","120.22, ",118.53,121.54
