,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,506","00:00:10,510",[organ music playing],0,0.0,,,,6.51,10.51
1,"00:00:28,111","00:00:31,239",Welcome to Radio City Music Hall.,0,0.0,,,,28.11,31.24
2,"00:00:31,698","00:00:32,699",It's time. Any questions?,0,0.0,,,,31.7,32.7
3,"00:00:34,367","00:00:35,201",No.,0,0.0,,,,34.37,35.2
4,"00:00:36,244","00:00:37,412",Walk with me.,1,81.14999999999999,"#0, ","55.05, ","136.2, ",36.24,37.41
5,"00:00:56,181","00:00:58,600",[eerie organ music playing],0,0.0,,,,56.18,58.6
6,"00:01:13,990","00:01:17,327",[mechanical whirring],0,0.0,,,,73.99,77.33
7,"00:01:18,703","00:01:24,042",[audience applauding and cheering],0,0.0,,,,78.7,84.04
8,"00:01:42,811","00:01:45,146",[audience cheering],0,0.0,,,,102.81,105.15
9,"00:02:00,912","00:02:01,746",Good evening.,0,0.0,,,,120.91,121.75
10,"00:02:04,624","00:02:06,835","Hi, I'm John Mulaney, nice to meet you.",0,0.0,,,,124.62,126.83
11,"00:02:09,420","00:02:11,673","Jon Brion, ladies and gentlemen.",0,0.0,,,,129.42,131.67
12,"00:02:15,593","00:02:18,847",Thank you for coming to see me at Radio City Music Hall.,0,0.0,,,,135.59,138.85
13,"00:02:18,930","00:02:22,433",I love to play venues where if the guy that built the venue,0,0.0,,,,138.93,142.43
14,"00:02:22,517","00:02:23,893","could see me on the stage,",0,0.0,,,,142.52,143.89
15,"00:02:23,977","00:02:26,146",he would be a little bit bummed about it.,1,1.6800000000000068,"#1, ","145.92, ","147.6, ",143.98,146.15
16,"00:02:27,105","00:02:27,939",Look at this.,0,0.0,,,,147.1,147.94
17,"00:02:28,022","00:02:30,775",This is so much nicer than what I'm about to do.,0,0.0,,,,148.02,150.78
18,"00:02:30,859","00:02:31,776",It's really...,0,0.0,,,,150.86,151.78
19,"00:02:32,235","00:02:33,736",It's really tragic.,0,0.0,,,,152.24,153.74
20,"00:02:34,028","00:02:38,575",What a historic and beautiful and deeply haunted building this is.,0,0.0,,,,154.03,158.57
21,"00:02:38,950","00:02:41,327","I keep walking through cold spots being like,",0,0.0,,,,158.95,161.33
22,"00:02:41,411","00:02:43,037","""I wonder who that used to be.""",0,0.0,,,,161.41,163.04
23,"00:02:44,497","00:02:46,457","I've never seen a ghost, by the way.",0,0.0,,,,164.5,166.46
24,"00:02:46,541","00:02:48,835",I asked my mom if she'd ever seen a ghost.,0,0.0,,,,166.54,168.84
25,"00:02:48,918","00:02:53,381","That's where we're at conversation-wise in our relationship as a mother and son,",0,0.0,,,,168.92,173.38
26,"00:02:53,464","00:02:56,593",because I'm 35 and I don't have any children to talk about,0,0.0,,,,173.46,176.59
27,"00:02:57,051","00:02:59,095",and she doesn't understand my career.,0,0.0,,,,177.05,179.09
28,"00:02:59,387","00:03:03,808",So I was home for Christmas and we were just eating Triscuits in silence,0,0.0,,,,179.39,183.81
29,"00:03:04,017","00:03:05,894","and I was staring at the floor and I was like,",0,0.0,,,,184.02,185.89
30,"00:03:05,977","00:03:08,813","""Well, here goes nothing. 'You ever seen a ghost?'""",1,2.4799999999999898,"#2, ","188.47, ","190.95, ",185.98,188.81
31,"00:03:11,024","00:03:13,234","And my mom said, ""Yes.""",1,1.7199999999999989,"#3, ","193.22, ","194.94, ",191.02,193.23
32,"00:03:15,028","00:03:16,988",Which is the best answer.,0,0.0,,,,195.03,196.99
33,"00:03:17,822","00:03:19,991","She said, ""I never told you this before",0,0.0,,,,197.82,199.99
34,"00:03:20,450","00:03:23,995","but our house, when you were growing up, was haunted.""",0,0.0,,,,200.45,204.0
35,"00:03:24,871","00:03:27,081","I said, ""Say more right now!""",1,2.0600000000000023,"#4, ","206.92, ","208.98, ",204.87,207.08
36,"00:03:29,542","00:03:31,920","She said, ""Outside you and your brother's room,",0,0.0,,,,209.54,211.92
37,"00:03:32,003","00:03:35,715",I used to see the ghost of a little girl in a Victorian nightgown,0,0.0,,,,212.0,215.72
38,"00:03:36,257","00:03:40,345","and then she would walk down the hallway and then she would evaporate.""",0,0.0,,,,216.26,220.34
39,"00:03:40,970","00:03:44,015","And then my dad said, ""Let's change the subject!""",1,1.8599999999999852,"#5, ","224.53, ","226.39, ",220.97,224.01
40,"00:03:45,767","00:03:48,061","And I think he was just doing that dad-thing of, like,",0,0.0,,,,225.77,228.06
41,"00:03:48,144","00:03:53,149","""This is a weird topic and I want to talk about a book I read about World War II.""",0,0.0,,,,228.14,233.15
42,"00:03:53,233","00:03:58,238",But the way it came off was that he definitely killed that little girl.,1,2.160000000000025,"#6, ","238.2, ","240.36, ",233.23,238.24
43,"00:03:59,864","00:04:01,783","""Let's change the subject!",0,0.0,,,,239.86,241.78
44,"00:04:01,866","00:04:04,160",Why are we even talking about Penelope...,0,0.0,,,,241.87,244.16
45,"00:04:04,369","00:04:06,871",or whatever her name was?,1,0.8499999999999943,"#7, ","246.93, ","247.78, ",244.37,246.87
46,"00:04:07,372","00:04:08,748",I didn't kill her!,0,0.0,,,,247.37,248.75
47,"00:04:08,915","00:04:12,418","Whoever did kill her only did it to protect her from this world.""",1,0.8400000000000034,"#8, ","252.96, ","253.8, ",248.91,252.42
48,"00:04:13,920","00:04:16,756",None of us really know our fathers. Anyway...,1,2.6100000000000136,"#9, ","256.74, ","259.35, ",253.92,256.76
49,"00:04:19,259","00:04:20,635",My dad is so weird.,0,0.0,,,,259.26,260.63
50,"00:04:20,718","00:04:22,136",I'd love to meet him someday.,1,1.3599999999999568,"#10, ","261.92, ","263.28, ",260.72,262.14
51,"00:04:23,388","00:04:26,849","You know, my friend was telling me that his dad used to beat him with a belt",0,0.0,,,,263.39,266.85
52,"00:04:26,933","00:04:29,352","and that's just the setup to my story, so...",0,0.0,,,,266.93,269.35
53,"00:04:29,936","00:04:32,063",Forget about that poor son of a bitch. Anyway...,1,0.7699999999999818,"#11, ","272.17, ","272.94, ",269.94,272.06
54,"00:04:32,814","00:04:35,608",He was talking and I was waiting for him to be done so I could talk.,0,0.0,,,,272.81,275.61
55,"00:04:35,692","00:04:38,027","So he's ""talk, talk, talk."" It's my turn next!",1,0.6099999999999568,"#12, ","276.85, ","277.46, ",275.69,278.03
56,"00:04:38,444","00:04:39,279",And...,1,3.1899999999999977,"#13, ","279.08, ","282.27, ",278.44,279.28
57,"00:04:39,487","00:04:41,489",[audience laughing],0,0.0,,,,279.49,281.49
58,"00:04:42,240","00:04:43,866","I said, ""My dad never hit us.""",0,0.0,,,,282.24,283.87
59,"00:04:43,950","00:04:47,287",My dad is a lawyer and he was a debate team champion.,0,0.0,,,,283.95,287.29
60,"00:04:47,370","00:04:49,580",So he would pick us apart psychologically.,1,1.170000000000016,"#14, ","289.77, ","290.94, ",287.37,289.58
61,"00:04:50,748","00:04:54,502","One time I was at the dinner table when I was like six, because I had to be.",0,0.0,,,,290.75,294.5
62,"00:04:55,962","00:04:57,880","My dad goes, ""How was school today?""",0,0.0,,,,295.96,297.88
63,"00:04:57,964","00:05:00,717","I said, ""It was good but someone pushed Tyler off the seesaw.""",0,0.0,,,,297.96,300.72
