,filename,laughs,start,end,threshold,duration
6,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_6.wav,129.11,129.77,0.5,0.5
7,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_7.wav,137.06,137.76,0.5,0.5
8,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_8.wav,143.26,185.05,0.5,0.5
9,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_9.wav,186.27,186.99,0.5,0.5
10,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_10.wav,189.29,192.62,0.5,0.5
11,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_11.wav,202.95,203.55,0.5,0.5
12,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_12.wav,205.67,209.42,0.5,0.5
13,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_13.wav,212.82,214.05,0.5,0.5
14,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_14.wav,214.66,220.74,0.5,0.5
15,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_15.wav,224.0,224.57,0.5,0.5
16,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_16.wav,225.35,226.09,0.5,0.5
17,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_17.wav,228.15,228.65,0.5,0.5
18,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_18.wav,234.03,235.01,0.5,0.5
19,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_19.wav,237.49,239.0,0.5,0.5
20,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_20.wav,243.04,244.49,0.5,0.5
21,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_21.wav,246.09,247.13,0.5,0.5
22,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_22.wav,252.07,253.32,0.5,0.5
23,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_23.wav,254.97,259.73,0.5,0.5
24,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_24.wav,261.56,264.55,0.5,0.5
25,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_25.wav,266.7,269.5,0.5,0.5
26,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_26.wav,276.16,277.61,0.5,0.5
27,John.Mulaney.The.Comeback.Kid.720p.WEB.DL.AAC2.0.H.264-music.wav,/laughs/laugh_27.wav,278.41,279.57,0.5,0.5
