,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,500","00:00:14,366",I think being an American is a preexisting condition.,0,0.0,,,,11.5,14.37
1,"00:00:14,466","00:00:16,300",[audience laughing],0,0.0,,,,14.47,16.3
2,"00:00:19,300","00:00:21,133",My hair used to be black.,0,0.0,,,,19.3,21.13
3,"00:00:21,766","00:00:23,800",Now every year white hairs show up.,0,0.0,,,,21.77,23.8
4,"00:00:23,866","00:00:25,900",Next year more white hairs moving in.,0,0.0,,,,23.87,25.9
5,"00:00:26,200","00:00:27,833","It makes me mad, makes me sad",0,0.0,,,,26.2,27.83
6,"00:00:27,900","00:00:31,466",'cause it means my head is getting gentrified.,2,3.679999999999996,"#1, #2, ","28.37, 31.46, ","29.07, 34.44, ",27.9,31.47
7,"00:00:31,800","00:00:33,766",-And... -[audience laughing],0,0.0,,,,31.8,33.77
8,"00:00:33,833","00:00:38,700",there is nothing I can do to stop it. Pretty soon I won't be able to afford it.,1,1.3999999999999986,"#3, ","35.64, ","37.04, ",33.83,38.7
9,"00:00:38,800","00:00:43,066",But I keep moving forward because I'm an American.,2,1.8999999999999986,"#4, #5, ","38.92, 44.39, ","40.22, 44.99, ",38.8,43.07
10,"00:00:43,166","00:00:45,000",[audience laughing],0,0.0,,,,43.17,45.0
11,"00:00:47,166","00:00:50,533",I just wrote a movie about a piñata that comes back to life,0,0.0,,,,47.17,50.53
12,"00:00:50,633","00:00:54,566",and murders all the children that beat her with a stick.,2,4.469999999999992,"#6, #7, ","50.7, 53.32, ","52.73, 55.76, ",50.63,54.57
13,"00:00:54,666","00:00:55,900",[audience laughing],0,0.0,,,,54.67,55.9
14,"00:00:56,266","00:00:57,633","That's right, I said her.",0,0.0,,,,56.27,57.63
15,"00:00:57,700","00:01:00,933","It's piñata, not piñato. Okay?",1,4.210000000000001,"#8, ","58.44, ","62.65, ",57.7,60.93
16,"00:01:01,533","00:01:04,833",Piñatas are females who have been getting abused by children,0,0.0,,,,61.53,64.83
17,"00:01:04,900","00:01:07,366",at the encouragement of parents for centuries.,2,2.549999999999997,"#9, #10, ","64.93, 67.04, ","65.98, 68.54, ",64.9,67.37
18,"00:01:09,200","00:01:10,533",I like trilogies.,1,1.4500000000000028,"#11, ","70.72, ","72.17, ",69.2,70.53
19,"00:01:12,066","00:01:14,600",That's why I'm so excited about World War III.,1,2.3699999999999903,"#12, ","74.93, ","77.3, ",72.07,74.6
20,"00:01:14,700","00:01:16,233",[audience laughing],0,0.0,,,,74.7,76.23
21,"00:01:17,100","00:01:20,200",The original was a landmark. Everyone loved that one.,0,0.0,,,,77.1,80.2
22,"00:01:20,866","00:01:22,566",A lot of critics and fans,0,0.0,,,,80.87,82.57
23,"00:01:22,633","00:01:25,600","think the second one was better than the first, and...",0,0.0,,,,82.63,85.6
24,"00:01:25,700","00:01:29,833",We've all been waiting over 70 years for the final chapter in the trilogy.,1,1.309999999999988,"#13, ","89.43, ","90.74, ",85.7,89.83
25,"00:01:29,900","00:01:33,033",I wish they would just give it to us already. I...,1,1.1299999999999955,"#14, ","92.28, ","93.41, ",89.9,93.03
26,"00:01:33,466","00:01:36,333",I think the next one could be the highest-grossing.,1,1.289999999999992,"#15, ","96.2, ","97.49, ",93.47,96.33
