,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:02,000","00:00:06,000",Provided by torrentgalaxy.to,2,6.3999999999999995,"#0, #1, ","6.44, 9.4, ","7.41, 14.83, ",2.0,6.0
1,"00:00:11,177","00:00:15,974","♪ No gyal can tell me 'bout my mother ♪ ♪ 16 shot, we go longer than a ladder ♪",1,1.8100000000000005,"#2, ","15.62, ","17.43, ",11.18,15.97
2,"00:00:16,057","00:00:18,393",♪ Dem nuh fi talk  'Bout the real don dada ♪,1,4.27,"#3, ","18.02, ","22.29, ",16.06,18.39
3,"00:00:18,476","00:00:21,062",♪ Put body inna pot  Dem a bun like grabba ♪,0,0.0,,,,18.48,21.06
4,"00:00:21,146","00:00:23,440",♪ No boy can diss me or my mother ♪,1,1.620000000000001,"#4, ","23.38, ","25.0, ",21.15,23.44
5,"00:00:23,523","00:00:26,109",♪ Round here ain't safe Everybody need armour ♪,1,9.730000000000004,"#5, ","25.79, ","35.52, ",23.52,26.11
6,"00:00:26,192","00:00:28,570","♪ 16 shot, we go shotta any bluddah ♪",0,0.0,,,,26.19,28.57
7,"00:00:28,653","00:00:30,864","♪ Rah-ta, rah-ta Ka-kah, ka-kah, ka-kah ♪",0,0.0,,,,28.65,30.86
8,"00:00:30,947","00:00:32,949",♪ Rah-ka-ka-ka-ka-rahh! ♪,0,0.0,,,,30.95,32.95
9,"00:00:36,119","00:00:37,328",♪ You couldn't be badder,0,0.0,,,,36.12,37.33
10,"00:00:37,412","00:00:38,705",-♪ Than a King-stony ♪ -Hi!,0,0.0,,,,37.41,38.7
11,"00:00:38,788","00:00:41,249",♪ Diss my mother  Then your skin start bleed ♪,1,2.8399999999999963,"#6, ","38.95, ","41.79, ",38.79,41.25
12,"00:00:41,374","00:00:43,710",♪ So don't bother mess with my mommy ♪,1,19.67,"#7, ","43.71, ","63.38, ",41.37,43.71
13,"00:00:44,335","00:00:46,212",[crowd cheering],0,0.0,,,,44.34,46.21
14,"00:00:46,337","00:00:48,965","♪ Baby, tink you bad  Say ya badder than she ♪",0,0.0,,,,46.34,48.97
15,"00:00:49,049","00:00:51,384",♪ If dog a-go bark Long time dem doh eat ♪,0,0.0,,,,49.05,51.38
16,"00:00:52,177","00:00:53,803",[crowd cheering],0,0.0,,,,52.18,53.8
17,"00:00:59,809","00:01:01,352",Hello!,0,0.0,,,,59.81,61.35
