,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,720","00:00:09,000",<i>Relax.</i>,0,0.0,,,,7.72,9.0
1,"00:00:13,040","00:00:14,360",<i>Relax.</i>,1,3.8999999999999986,"#1, ","13.84, ","17.74, ",13.04,14.36
2,"00:00:16,040","00:00:17,160",<i>Whoa.</i>,1,0.9400000000000013,"#2, ","19.93, ","20.87, ",16.04,17.16
3,"00:00:20,960","00:00:23,240",<i>Whoa. Relax.</i>,1,3.3900000000000006,"#3, ","25.64, ","29.03, ",20.96,23.24
4,"00:00:28,200","00:00:29,680",<i>Relax.</i>,1,1.0300000000000011,"#4, ","35.96, ","36.99, ",28.2,29.68
5,"00:00:36,840","00:00:38,440",<i>Shh.</i>,0,0.0,,,,36.84,38.44
6,"00:00:39,040","00:00:41,840","<i>Ladies and gentlemen,</i>",1,5.109999999999999,"#5, ","40.65, ","45.76, ",39.04,41.84
7,"00:00:41,920","00:00:44,320","<i>boys and girls,</i>",0,0.0,,,,41.92,44.32
8,"00:00:44,400","00:00:48,560","<i>she's a strong, confident, black woman.</i>",1,2.740000000000002,"#6, ","47.39, ","50.13, ",44.4,48.56
9,"00:00:48,640","00:00:52,640",<i>It's Katherine Ryan!</i>,1,17.409999999999997,"#7, ","51.64, ","69.05, ",48.64,52.64
10,"00:01:03,800","00:01:06,520",Thank you. Thank you.,0,0.0,,,,63.8,66.52
11,"00:01:07,200","00:01:09,480","Thank you. Yes, thank you.",0,0.0,,,,67.2,69.48
12,"00:01:09,560","00:01:13,840","This is so amazing, the Eventim Apollo. OMG.",0,0.0,,,,69.56,73.84
13,"00:01:13,920","00:01:17,080","I've been living in the U.K. for a very long time,",2,2.3400000000000034,"#8, #9, ","74.0, 76.88, ","74.99, 78.23, ",73.92,77.08
14,"00:01:17,160","00:01:21,760","and I used to be an unwelcome surprise on a mixed bill,",1,2.9099999999999966,"#10, ","81.28, ","84.19, ",77.16,81.76
15,"00:01:21,840","00:01:25,640",and now I can see that at least a third of you,0,0.0,,,,81.84,85.64
16,"00:01:25,720","00:01:27,960",have come to see me on purpose.,1,3.410000000000011,"#11, ","88.21, ","91.62, ",85.72,87.96
17,"00:01:29,560","00:01:31,400","I was just a little girl when I moved here,",0,0.0,,,,89.56,91.4
18,"00:01:31,480","00:01:32,760",and look at me now.,0,0.0,,,,91.48,92.76
19,"00:01:32,840","00:01:35,680","I'm full-blown Caitlyn Jenner, and it feels good.",1,1.7900000000000063,"#12, ","95.8, ","97.59, ",92.84,95.68
20,"00:01:37,480","00:01:40,520","It feels so great. I spent so long wanting to look like one of the Kardashians,",0,0.0,,,,97.48,100.52
21,"00:01:40,600","00:01:43,240",I don't even give a fuck it's the dad.,1,6.319999999999993,"#13, ","103.06, ","109.38, ",100.6,103.24
22,"00:01:43,760","00:01:44,960",I'll take it.,0,0.0,,,,103.76,104.96
23,"00:01:45,640","00:01:46,760",I'll take it.,0,0.0,,,,105.64,106.76
24,"00:01:48,600","00:01:50,880",She is a majestic hero.,0,0.0,,,,108.6,110.88
25,"00:01:51,920","00:01:53,680",I see some of you are taking pictures.,0,0.0,,,,111.92,113.68
26,"00:01:53,760","00:01:57,400","The venue will have told you not to do that, but you can.",0,0.0,,,,113.76,117.4
27,"00:01:57,480","00:02:00,320","I did not get dressed up by fucking accident, okay?",1,2.8599999999999994,"#14, ","119.93, ","122.79, ",117.48,120.32
28,"00:02:02,200","00:02:04,720",Take a lot. Facetune them.,1,1.4899999999999949,"#15, ","124.43, ","125.92, ",122.2,124.72
29,"00:02:06,120","00:02:08,400","Try not to use the flash. Try not to use the flash, sir.",0,0.0,,,,126.12,128.4
30,"00:02:08,480","00:02:11,120",There we go. Let's just stop for you.,1,3.4799999999999898,"#16, ","130.66, ","134.14, ",128.48,131.12
31,"00:02:12,240","00:02:14,160",Thank you.,0,0.0,,,,132.24,134.16
32,"00:02:15,840","00:02:17,680",How old are you little girls?,0,0.0,,,,135.84,137.68
33,"00:02:19,360","00:02:20,920",Twenty-four. And this one?,0,0.0,,,,139.36,140.92
34,"00:02:21,840","00:02:24,000",Twenty-three! You're 23 and 24.,0,0.0,,,,141.84,144.0
35,"00:02:24,080","00:02:26,800","Oh, my gosh. I thought you were, like, little baby teenagers.",0,0.0,,,,144.08,146.8
36,"00:02:27,600","00:02:30,440",Well done. You giggle like teenagers.,1,3.430000000000007,"#17, ","148.41, ","151.84, ",147.6,150.44
37,"00:02:31,480","00:02:33,200",Why are you acting like that?,0,0.0,,,,151.48,153.2
38,"00:02:33,280","00:02:35,800",Do you think I'm a footballer? I'm not.,1,4.8700000000000045,"#18, ","153.38, ","158.25, ",153.28,155.8
39,"00:02:38,920","00:02:40,760","Gorgeous, gorgeous.",0,0.0,,,,158.92,160.76
40,"00:02:40,840","00:02:44,280",A lot of young women really respond to my style.,0,0.0,,,,160.84,164.28
41,"00:02:44,360","00:02:47,000",Do we have any teenage girls in?,0,0.0,,,,164.36,167.0
42,"00:02:48,680","00:02:51,360","Sir, you're not on the Internet. We can see you.",1,10.189999999999998,"#19, ","170.24, ","180.43, ",168.68,171.36
43,"00:02:59,680","00:03:02,640",-You've brought a teenager with you? -Yeah.,0,0.0,,,,179.68,182.64
44,"00:03:02,720","00:03:03,720",Like--,1,6.259999999999991,"#20, ","182.94, ","189.2, ",182.72,183.72
45,"00:03:09,840","00:03:12,080","Like, for ransom, she's here.",2,2.910000000000025,"#21, #22, ","191.53, 193.39, ","192.74, 195.09, ",189.84,192.08
46,"00:03:13,520","00:03:16,320",Are you her? Are you her?,1,3.4000000000000057,"#23, ","196.35, ","199.75, ",193.52,196.32
47,"00:03:16,400","00:03:17,760",I'm her father.,0,0.0,,,,196.4,197.76
48,"00:03:17,840","00:03:20,880","Okay, thank fuck for that.",1,2.6299999999999955,"#24, ","200.09, ","202.72, ",197.84,200.88
49,"00:03:22,640","00:03:24,120",He's her father.,1,0.8499999999999943,"#25, ","204.08, ","204.93, ",202.64,204.12
50,"00:03:25,080","00:03:28,680","So, you brought your daughter out tonight. And how old is your teenage daughter?",1,0.9899999999999807,"#26, ","206.08, ","207.07, ",205.08,208.68
51,"00:03:28,760","00:03:30,280",-I'm 17. -You're 17! Well done.,0,0.0,,,,208.76,210.28
52,"00:03:30,360","00:03:32,640","Listen, she has her own voice. She's, like, ""I can speak for myself!",1,7.780000000000001,"#27, ","211.34, ","219.12, ",210.36,212.64
53,"00:03:32,720","00:03:34,080","I'm 17 years old!""",0,0.0,,,,212.72,214.08
54,"00:03:36,360","00:03:39,480","Good for you. So, like, a daddy-daughter night out.",0,0.0,,,,216.36,219.48
55,"00:03:40,680","00:03:43,360","Well done. What do you, mean, like... no?",1,1.589999999999975,"#28, ","223.8, ","225.39, ",220.68,223.36
56,"00:03:46,360","00:03:49,880","Well, my mum doesn't quite get what you do sometimes.",0,0.0,,,,226.36,229.88
57,"00:03:49,960","00:03:55,600",Oh. She just very nicely told me that her mom hates everything I do.,1,11.439999999999998,"#29, ","235.2, ","246.64, ",229.96,235.6
58,"00:04:00,840","00:04:02,560","And sure, that's fine.",0,0.0,,,,240.84,242.56
59,"00:04:05,440","00:04:07,600","That's cool, thank you.",1,1.299999999999983,"#30, ","248.24, ","249.54, ",245.44,247.6
60,"00:04:09,840","00:04:12,160","Well, sweetheart, if we all liked the same thing,",0,0.0,,,,249.84,252.16
61,"00:04:12,240","00:04:14,280",we'd all be married to your father.,1,9.640000000000015,"#31, ","254.34, ","263.98, ",252.24,254.28
62,"00:04:23,080","00:04:25,880",That's cool. I think it's really great that you brought your 17-year-old.,0,0.0,,,,263.08,265.88
63,"00:04:25,960","00:04:27,160",-What's your name? -Lara.,0,0.0,,,,265.96,267.16
64,"00:04:27,240","00:04:30,880","Lara. I love her great, big voice. Lara is here with her dad.",2,1.3999999999999773,"#32, #33, ","267.75, 270.61, ","268.27, 271.49, ",267.24,270.88
65,"00:04:30,960","00:04:33,040","I've been on tour for a while, as I mentioned,",1,1.660000000000025,"#34, ","272.5, ","274.16, ",270.96,273.04
66,"00:04:33,120","00:04:35,160","and a couple came up to me, and they were, like...",0,0.0,,,,273.12,275.16
67,"00:04:35,240","00:04:37,120","""Our teenage daughter really likes you,",0,0.0,,,,275.24,277.12
68,"00:04:37,200","00:04:40,400","and we're very glad that we did not bring her.""",0,0.0,,,,277.2,280.4
69,"00:04:40,480","00:04:41,640","I was, like...",1,2.4700000000000273,"#35, ","281.07, ","283.54, ",280.48,281.64
70,"00:04:43,560","00:04:45,160","""All right, why didn't you bring her?""",0,0.0,,,,283.56,285.16
71,"00:04:45,240","00:04:48,880","They're, like, ""Well, she's 14, and after having seen what you do,",0,0.0,,,,285.24,288.88
72,"00:04:48,960","00:04:50,440","we're very pleased we left her at home.""",0,0.0,,,,288.96,290.44
73,"00:04:50,520","00:04:53,160","And I'm, like, ""Well, she's sucking dick at home. But go on.""",1,8.399999999999977,"#36, ","292.63, ","301.03, ",290.52,293.16
74,"00:04:59,360","00:05:02,560","Isn't she? Lara's, like, ""Yeah, yeah.""",1,7.8799999999999955,"#37, ","301.63, ","309.51, ",299.36,302.56
75,"00:05:10,800","00:05:12,600",And you left Mum at home.,1,17.350000000000023,"#38, ","312.57, ","329.92, ",310.8,312.6
76,"00:05:30,640","00:05:32,320",My daughter is here as well.,1,3.1899999999999977,"#39, ","332.58, ","335.77, ",330.64,332.32
77,"00:05:34,600","00:05:37,760","And she doesn't listen to everything, but I do use some naughty words,",0,0.0,,,,334.6,337.76
78,"00:05:37,840","00:05:40,440","and on the surface, that can sound, like, really bad.",1,0.589999999999975,"#40, ","340.18, ","340.77, ",337.84,340.44
79,"00:05:40,520","00:05:42,680",But I don't think those kinds of words are bad.,0,0.0,,,,340.52,342.68
80,"00:05:42,760","00:05:44,880","I have a lot of powerful messages. Don't I, Lara?",0,0.0,,,,342.76,344.88
81,"00:05:44,960","00:05:47,760",That's why she's here. Yeah. I care about Lara.,0,0.0,,,,344.96,347.76
82,"00:05:47,840","00:05:50,120",Lara's my hero. Lara's the future.,0,0.0,,,,347.84,350.12
83,"00:05:50,200","00:05:53,400","And when I was your age, Lara, if someone spoke to me in a comedy show--",0,0.0,,,,350.2,353.4
84,"00:05:53,480","00:05:55,560","First of all, I wouldn't be in a comedy show.",0,0.0,,,,353.48,355.56
85,"00:05:55,640","00:05:58,160","Secondly, I'd be, like, ""Meow.""",0,0.0,,,,355.64,358.16
86,"00:05:58,240","00:05:59,920","Like, I had no idea.",1,3.1200000000000045,"#41, ","358.46, ","361.58, ",358.24,359.92
87,"00:06:01,040","00:06:04,520",Do we have any women in who are over the age of 30?,1,1.9499999999999886,"#42, ","365.11, ","367.06, ",361.04,364.52
88,"00:06:06,600","00:06:07,840",How dare you?,1,2.1899999999999977,"#43, ","367.9, ","370.09, ",366.6,367.84
89,"00:06:09,600","00:06:13,840","How dare you? ""I know. We should've killed ourselves five years ago.""",0,0.0,,,,369.6,373.84
