,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:31,031","00:00:32,407","It's showtime, honey?",0,0.0,,,,31.03,32.41
1,"00:00:33,616","00:00:35,035","-Babe, I'm gone. - Coming.",1,2.530000000000001,"#3, ","33.69, ","36.22, ",33.62,35.03
2,"00:00:36,536","00:00:37,620",-Alright. -See you later.,2,2.020000000000003,"#4, #5, ","37.07, 38.15, ","37.63, 39.61, ",36.54,37.62
3,"00:00:38,246","00:00:39,122",Love you.,0,0.0,,,,38.25,39.12
4,"00:00:39,998","00:00:41,624","Showtime, baby, let's go.",1,1.2800000000000011,"#6, ","41.46, ","42.74, ",40.0,41.62
5,"00:00:41,916","00:00:42,917","Show time, bro.",1,0.75,"#7, ","43.16, ","43.91, ",41.92,42.92
6,"00:00:44,502","00:00:46,296","I'll see you on the other side, baby.",1,3.039999999999999,"#8, ","45.45, ","48.49, ",44.5,46.3
7,"00:00:46,379","00:00:47,756","Let's go bro, let's do what you do.",0,0.0,,,,46.38,47.76
8,"00:00:48,548","00:00:50,717","-Have a good show, chief. -Thank you, sir.",1,1.1900000000000048,"#9, ","48.8, ","49.99, ",48.55,50.72
9,"00:00:52,343","00:00:53,470","Go get it, Kev.",1,7.920000000000002,"#10, ","52.42, ","60.34, ",52.34,53.47
10,"00:00:56,639","00:00:57,932","-Good. -Let's go, baby.",0,0.0,,,,56.64,57.93
11,"00:01:01,394","00:01:03,813","Mom, I know you're watching over me. I'll know you're proud.",1,1.9200000000000017,"#11, ","61.68, ","63.6, ",61.39,63.81
12,"00:01:04,773","00:01:06,858","In your name we pray, amen.",2,3.029999999999987,"#12, #13, ","65.14, 73.17, ","66.71, 74.63, ",64.77,66.86
13,"00:01:14,741","00:01:15,909",Showtime!,1,6.159999999999997,"#14, ","75.47, ","81.63, ",74.74,75.91
14,"00:01:17,827","00:01:21,498",My last joke just went viral!,0,0.0,,,,77.83,81.5
15,"00:01:21,581","00:01:24,375",<i>♪ Right stroke put lil' baby in a spiral</i>,1,1.0899999999999892,"#15, ","82.65, ","83.74, ",81.58,84.38
16,"00:01:24,459","00:01:27,712",<i>♪ Soprano C</i> <i>We like to keep it on a high note ♪</i>,1,1.3299999999999983,"#16, ","85.42, ","86.75, ",84.46,87.71
17,"00:01:27,796","00:01:29,839","<i>♪ Its levels to it, you and I know ♪</i>",0,0.0,,,,87.8,89.84
18,"00:01:29,923","00:01:33,051","<i>♪ Bitch, be humble</i> <i>Sit down ♪</i>",0,0.0,,,,89.92,93.05
19,"00:01:33,134","00:01:35,595","God dammit, London y'all can do better than that.",0,0.0,,,,93.13,95.59
