,filename,laughs,start,end,threshold,duration
1,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_1.wav,18.0,18.8,0.5,0.5
2,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_2.wav,21.26,27.35,0.5,0.5
3,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_3.wav,29.71,48.92,0.5,0.5
4,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_4.wav,50.16,81.22,0.5,0.5
5,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_5.wav,85.82,91.87,0.5,0.5
6,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_6.wav,92.87,94.95,0.5,0.5
7,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_7.wav,96.53,99.44,0.5,0.5
8,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_8.wav,103.07,104.33,0.5,0.5
9,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_9.wav,105.24,111.28,0.5,0.5
10,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_10.wav,111.94,116.16,0.5,0.5
11,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_11.wav,117.18,122.1,0.5,0.5
12,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_12.wav,122.88,126.72,0.5,0.5
13,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_13.wav,128.3,131.31,0.5,0.5
14,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_14.wav,132.75,136.92,0.5,0.5
15,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_15.wav,138.25,141.65,0.5,0.5
16,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_16.wav,142.14,142.87,0.5,0.5
17,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_17.wav,144.13,152.45,0.5,0.5
18,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_18.wav,155.59,157.89,0.5,0.5
19,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_19.wav,162.29,163.66,0.5,0.5
20,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_20.wav,164.75,165.37,0.5,0.5
21,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_21.wav,166.71,167.38,0.5,0.5
22,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_22.wav,169.94,171.15,0.5,0.5
23,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_23.wav,172.29,175.63,0.5,0.5
24,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_24.wav,177.66,179.56,0.5,0.5
25,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_25.wav,181.64,183.39,0.5,0.5
26,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_26.wav,184.23,185.62,0.5,0.5
27,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_27.wav,186.97,189.63,0.5,0.5
28,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_28.wav,190.36,193.38,0.5,0.5
29,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_29.wav,194.29,196.47,0.5,0.5
30,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_30.wav,198.5,200.95,0.5,0.5
31,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_31.wav,206.34,211.05,0.5,0.5
32,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_32.wav,212.44,215.07,0.5,0.5
33,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_33.wav,215.91,217.2,0.5,0.5
34,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_34.wav,218.67,221.85,0.5,0.5
35,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_35.wav,224.32,226.54,0.5,0.5
36,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_36.wav,227.04,238.5,0.5,0.5
37,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_37.wav,239.59,243.63,0.5,0.5
38,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_38.wav,246.19,248.59,0.5,0.5
39,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_39.wav,250.69,251.37,0.5,0.5
40,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_40.wav,252.88,254.86,0.5,0.5
41,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_41.wav,255.38,256.56,0.5,0.5
42,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_42.wav,260.29,263.89,0.5,0.5
43,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_43.wav,265.3,266.75,0.5,0.5
44,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_44.wav,270.98,272.35,0.5,0.5
45,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_45.wav,273.71,275.07,0.5,0.5
46,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_46.wav,280.41,290.42,0.5,0.5
47,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_47.wav,292.82,298.28,0.5,0.5
48,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_48.wav,298.54,302.35,0.5,0.5
49,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_49.wav,303.75,306.72,0.5,0.5
50,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_50.wav,307.73,309.52,0.5,0.5
51,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_51.wav,310.01,311.33,0.5,0.5
52,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_52.wav,312.49,313.7,0.5,0.5
53,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_53.wav,316.87,321.29,0.5,0.5
54,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_54.wav,322.3,323.2,0.5,0.5
55,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_55.wav,324.7,326.77,0.5,0.5
56,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_56.wav,328.2,331.05,0.5,0.5
57,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_57.wav,331.98,332.79,0.5,0.5
58,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_58.wav,337.03,339.15,0.5,0.5
59,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_59.wav,340.6,342.31,0.5,0.5
60,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_60.wav,343.6,345.28,0.5,0.5
61,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_61.wav,347.73,348.73,0.5,0.5
62,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_62.wav,357.45,358.55,0.5,0.5
63,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_63.wav,359.52,365.23,0.5,0.5
64,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_64.wav,365.44,367.89,0.5,0.5
65,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_65.wav,369.53,374.35,0.5,0.5
66,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_66.wav,376.45,387.62,0.5,0.5
67,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_67.wav,395.42,397.48,0.5,0.5
68,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_68.wav,398.78,400.71,0.5,0.5
69,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_69.wav,403.98,410.78,0.5,0.5
70,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_70.wav,414.15,418.74,0.5,0.5
71,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_71.wav,421.35,421.93,0.5,0.5
72,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_72.wav,425.5,427.66,0.5,0.5
73,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_73.wav,428.28,430.92,0.5,0.5
74,Louis.C.K.2017.720p.x264.JEANINE-music.wav,/laughs/laugh_74.wav,434.95,437.37,0.5,0.5
