,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,005","00:00:07,173",[Marc urinating into toilet],0,0.0,,,,6.0,7.17
1,"00:00:18,218","00:00:19,753",[toilet flushing],1,2.1099999999999994,"#0, ","22.05, ","24.16, ",18.22,19.75
2,"00:00:30,630","00:00:32,799","[audience cheering, Marc sighs]",1,45.53999999999999,"#1, ","35.28, ","80.82, ",30.63,32.8
3,"00:01:19,512","00:01:20,647",All right.,1,0.8499999999999943,"#2, ","81.25, ","82.1, ",79.51,80.65
4,"00:01:22,615","00:01:23,616",I can't take it.,1,1.1800000000000068,"#3, ","84.47, ","85.65, ",82.61,83.62
5,"00:01:24,184","00:01:25,385",[audience laughing],0,0.0,,,,84.18,85.39
6,"00:01:26,586","00:01:28,354",I don't know what he's gonna do next.,0,0.0,,,,86.59,88.35
7,"00:01:28,421","00:01:29,789",[audience laughing],0,0.0,,,,88.42,89.79
8,"00:01:30,490","00:01:31,658","People that voted for him,",0,0.0,,,,90.49,91.66
9,"00:01:31,724","00:01:33,359",they don't know what he's gonna do next.,2,1.6600000000000108,"#4, #5, ","93.49, 97.45, ","94.37, 98.23, ",91.72,93.36
10,"00:01:33,426","00:01:35,161",[audience laughing],0,0.0,,,,93.43,95.16
11,"00:01:37,564","00:01:41,367","But they have a different tone. I'm like, ""I don't know what he's gonna do next.""",1,0.6600000000000108,"#6, ","99.27, ","99.93, ",97.56,101.37
12,"00:01:41,434","00:01:44,571","But I think they're like, ""I don't know what he's gonna do next, man!",1,4.97999999999999,"#7, ","103.12, ","108.1, ",101.43,104.57
13,"00:01:45,839","00:01:47,440","This is crazy!""",0,0.0,,,,105.84,107.44
14,"00:01:48,875","00:01:51,578","""Then why'd you vote for him?"" ""Hey, shut the fuck up.""",1,0.6400000000000006,"#8, ","111.9, ","112.54, ",108.88,111.58
15,"00:01:52,112","00:01:55,348","Yeah. Yeah, that's what he ran on, so, that makes sense.",1,2.469999999999999,"#9, ","114.25, ","116.72, ",112.11,115.35
16,"00:01:55,415","00:01:56,716",[audience laughing],0,0.0,,,,115.42,116.72
17,"00:01:59,385","00:02:01,287","I mean, I'm afraid of my phone.",0,0.0,,,,119.39,121.29
18,"00:02:01,354","00:02:03,556",I'm afraid of my phone.,0,0.0,,,,121.35,123.56
19,"00:02:04,257","00:02:05,892",I can't check the news.,0,0.0,,,,124.26,125.89
20,"00:02:06,159","00:02:10,263",I'm terrified to refresh the news browser on my phone.,0,0.0,,,,126.16,130.26
21,"00:02:10,630","00:02:13,433","You wake up, you're like, ""Do I have coffee first, or do I--",0,0.0,,,,130.63,133.43
22,"00:02:13,766","00:02:14,767",Should I check it now?,0,0.0,,,,133.77,134.77
23,"00:02:14,834","00:02:17,637","I don't know what he did while I was sleeping.""",1,0.6899999999999977,"#10, ","138.23, ","138.92, ",134.83,137.64
