,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,550","00:00:10,219",I always like to tell audiences...,0,0.0,,,,8.55,10.22
1,"00:00:10,969","00:00:12,512","pre-program,",0,0.0,,,,10.97,12.51
2,"00:00:12,596","00:00:15,015",just in case you're brought here by a friend.,0,0.0,,,,12.6,15.02
3,"00:00:15,098","00:00:17,351",Sometimes friends lead us astray.,0,0.0,,,,15.1,17.35
4,"00:00:17,976","00:00:19,978",I had two very close friends.,0,0.0,,,,17.98,19.98
5,"00:00:20,062","00:00:22,689",My parents invite me to go see a film.,0,0.0,,,,20.06,22.69
6,"00:00:22,773","00:00:25,150","I said, ""Of course I'll go see that movie with you,",1,1.5,"#1, ","23.86, ","25.36, ",22.77,25.15
7,"00:00:25,234","00:00:26,485",because you love me.,0,0.0,,,,25.23,26.48
8,"00:00:26,568","00:00:28,570","Why on earth would you want to see me suffer?""",1,0.6500000000000021,"#2, ","26.61, ","27.26, ",26.57,28.57
9,"00:00:28,654","00:00:31,657","And then I sat through Steven Spielberg's <i>War Horse,</i>",1,2.509999999999998,"#3, ","29.6, ","32.11, ",28.65,31.66
10,"00:00:31,740","00:00:33,033","which, if you haven't seen,",1,1.2100000000000009,"#4, ","32.78, ","33.99, ",31.74,33.03
11,"00:00:33,116","00:00:34,243","as far as I'm concerned,",0,0.0,,,,33.12,34.24
12,"00:00:34,326","00:00:36,495","is a 14-hour, real-time documentary",1,2.710000000000001,"#5, ","36.14, ","38.85, ",34.33,36.49
13,"00:00:36,578","00:00:39,831",about a gentle horse struggling in vain,0,0.0,,,,36.58,39.83
14,"00:00:39,915","00:00:41,583",to escape from barbed wire.,1,1.5499999999999972,"#6, ","40.43, ","41.98, ",39.91,41.58
15,"00:00:42,084","00:00:45,003",This may be your war horse.,1,1.6400000000000006,"#7, ","42.71, ","44.35, ",42.08,45.0
16,"00:00:47,589","00:00:48,590","<i>If that's the case,</i>",0,0.0,,,,47.59,48.59
17,"00:00:48,674","00:00:49,967",do as I did.,1,4.609999999999999,"#8, ","48.77, ","53.38, ",48.67,49.97
18,"00:00:50,050","00:00:51,927",Take a lap outside.,0,0.0,,,,50.05,51.93
19,"00:00:52,010","00:00:53,220",Get yourself a treat.,0,0.0,,,,52.01,53.22
