,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:03,423","00:00:05,258",[crowd chattering],0,0.0,,,,3.42,5.26
1,"00:00:25,820","00:00:29,241","<i>Hi, I'm Jimmy Kimmel.</i> <i>Can I get everyone to be quiet, please?</i>",1,0.6799999999999997,"#1, ","29.31, ","29.99, ",25.82,29.24
2,"00:00:30,075","00:00:32,661",<i>Can everyone be quiet? Please?</i>,0,0.0,,,,30.07,32.66
3,"00:00:33,411","00:00:34,412",<i>Everyone?</i>,0,0.0,,,,33.41,34.41
4,"00:00:35,205","00:00:36,915",<i>John. Where is John Krasinski?</i>,1,0.9299999999999997,"#2, ","35.56, ","36.49, ",35.2,36.91
5,"00:00:39,084","00:00:42,170","<i>John, please tell everyone to be quiet</i> <i>and pay attention.</i>",1,1.1700000000000017,"#3, ","40.8, ","41.97, ",39.08,42.17
6,"00:00:45,423","00:00:47,467","<i>Could you do it</i> <i>a little bit louder, please?</i>",0,0.0,,,,45.42,47.47
7,"00:00:50,553","00:00:51,846","<i>Thank you, John.</i>",1,0.8599999999999994,"#4, ","51.59, ","52.45, ",50.55,51.85
8,"00:00:51,930","00:00:55,183",<i>Good evening and welcome</i> <i>to the 22nd Annual Gotham Awards.</i>,1,1.1300000000000026,"#5, ","53.54, ","54.67, ",51.93,55.18
9,"00:00:55,267","00:00:59,604",<i>You are there tonight to celebrate</i> <i>the best independent films of 2012</i>,1,0.8500000000000014,"#6, ","57.29, ","58.14, ",55.27,59.6
10,"00:00:59,688","00:01:03,984","<i>and Matt Damon, whom we know</i> <i>from such influential independent films</i>",1,4.740000000000002,"#7, ","63.27, ","68.01, ",59.69,63.98
11,"00:01:04,067","00:01:07,654","<i>as </i>Ocean's Eleven, Ocean's Twelve, Ocean's Thirteen,",0,0.0,,,,64.07,67.65
12,"00:01:07,737","00:01:11,157","The Bourne Identity, The Bourne Supremacy, The Bourne Hypocrisy,",1,6.909999999999997,"#8, ","70.14, ","77.05, ",67.74,71.16
