,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,548","00:00:08,550",[audience chatter],1,0.9199999999999999,"#0, ","8.67, ","9.59, ",6.55,8.55
1,"00:00:08,884","00:00:11,136",[funk music playing],0,0.0,,,,8.88,11.14
2,"00:00:11,261","00:00:15,641",<i>♪ Washington D.C. are you ready? ♪</i>,0,0.0,,,,11.26,15.64
3,"00:00:15,849","00:00:17,851",[distant cheering],1,1.7199999999999989,"#1, ","19.85, ","21.57, ",15.85,17.85
4,"00:00:21,271","00:00:26,026",<i>♪ It's about to be off</i> <i>The Richter scale tonight ♪</i>,2,4.41,"#2, #3, ","24.78, 28.74, ","27.63, 30.3, ",21.27,26.03
5,"00:00:29,780","00:00:34,535",<i>♪ Give it up for Mike Epps ♪</i>,0,0.0,,,,29.78,34.53
6,"00:00:35,786","00:00:38,413",[cheering intensifies],2,6.1100000000000065,"#4, #5, ","42.4, 45.72, ","44.39, 49.84, ",35.79,38.41
7,"00:00:45,796","00:00:47,965","<i>♪ Give it up, give it up, give it up ♪</i>",0,0.0,,,,45.8,47.97
8,"00:00:48,048","00:00:49,800",<i>♪ For Mike Epps ♪</i>,0,0.0,,,,48.05,49.8
9,"00:00:50,676","00:00:51,802","<i>♪ Give it up, give it up... ♪</i>",1,2.969999999999999,"#6, ","50.77, ","53.74, ",50.68,51.8
10,"00:00:51,885","00:00:53,220","What's up, D.C.?",0,0.0,,,,51.88,53.22
11,"00:00:53,387","00:00:55,389",<i>♪ For Mike Epps ♪</i>,1,3.950000000000003,"#7, ","55.89, ","59.84, ",53.39,55.39
12,"00:00:56,640","00:00:59,142",Hey. Hey. Hey. Hey.,0,0.0,,,,56.64,59.14
13,"00:00:59,226","00:01:00,727",-Don't slow down. -[music stops],1,7.970000000000006,"#8, ","60.48, ","68.45, ",59.23,60.73
14,"00:01:00,978","00:01:02,354","What's up, D.C.?",0,0.0,,,,60.98,62.35
15,"00:01:02,771","00:01:04,773",[audience cheering loudly],0,0.0,,,,62.77,64.77
16,"00:01:05,732","00:01:06,858",Yeah.,0,0.0,,,,65.73,66.86
17,"00:01:06,942","00:01:09,236",You motherfuckers!,1,0.5100000000000051,"#9, ","71.67, ","72.18, ",66.94,69.24
18,"00:01:11,947","00:01:13,407",Where the sexy ladies at?,1,5.540000000000006,"#10, ","73.44, ","78.98, ",71.95,73.41
19,"00:01:13,490","00:01:14,741",Where the sexy ladies?,0,0.0,,,,73.49,74.74
20,"00:01:14,908","00:01:16,910",[women cheering],0,0.0,,,,74.91,76.91
21,"00:01:17,411","00:01:18,787","[à la ""If You're Happy and You Know It""]",0,0.0,,,,77.41,78.79
22,"00:01:18,870","00:01:21,373","<i>♪ If you got some good coochie</i> <i>And you know it, clap your hands ♪ </i>",1,7.780000000000001,"#11, ","80.56, ","88.34, ",78.87,81.37
23,"00:01:21,999","00:01:24,668","<i>♪ If you got some good coochie</i> <i>And you know it, clap your hands ♪ </i>",0,0.0,,,,82.0,84.67
24,"00:01:25,127","00:01:28,547",<i>♪</i><i>If you got some good coochie</i> <i>And you know it and you wanna show it </i>♪,0,0.0,,,,85.13,88.55
25,"00:01:28,630","00:01:31,425",Meet me behind this curtain right here for about five minutes.,2,8.600000000000009,"#12, #13, ","89.07, 93.39, ","91.61, 99.45, ",88.63,91.42
26,"00:01:33,885","00:01:37,097",I seen some guys clapping over there when I said that shit.,0,0.0,,,,93.89,97.1
27,"00:01:40,475","00:01:42,936","Yeah, D.C. up in the house!",2,8.449999999999989,"#14, #15, ","100.87, 103.43, ","102.91, 109.84, ",100.47,102.94
28,"00:01:48,150","00:01:52,404","Yeah, y'all got some sexy ladies up in this motherfucker tonight.",2,3.299999999999997,"#16, #17, ","111.56, 113.31, ","112.37, 115.8, ",108.15,112.4
29,"00:01:54,197","00:01:56,825","Yeah, there's a lot of ladies wearing them bodysuits on",0,0.0,,,,114.2,116.83
30,"00:01:56,908","00:01:58,660",and ain't got no body in here too.,2,4.3799999999999955,"#18, #19, ","117.08, 119.95, ","118.99, 122.42, ",116.91,118.66
