,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:02,130","00:00:04,132",[upbeat piano playing],2,4.600000000000001,"#1, #2, ","40.93, 48.43, ","41.72, 52.24, ",2.13,4.13
1,"00:00:48,635","00:00:51,221",[piano crescendos] [indistinct radio chatter],0,0.0,,,,48.63,51.22
2,"00:00:52,097","00:00:53,807","Ladies and gentlemen, I'm DJ Brandi Garcia.",1,1.6399999999999935,"#3, ","53.02, ","54.66, ",52.1,53.81
3,"00:00:53,890","00:00:56,017",Give it up for Miss Chloe Flower on the piano.,0,0.0,,,,53.89,56.02
4,"00:00:56,101","00:00:59,520","Now, LA, everyone, get up on your feet.",1,6.010000000000005,"#4, ","56.48, ","62.49, ",56.1,59.52
5,"00:00:59,605","00:01:03,358","Give it up for the baddest man in comedy, Mike Epps!",0,0.0,,,,59.6,63.36
6,"00:01:03,441","00:01:05,986",- [piano playing resumes] - [hip-hop beat playing],3,19.409999999999968,"#5, #6, #7, ","68.54, 70.29, 73.15, ","69.6, 72.24, 89.55, ",63.44,65.99
7,"00:01:14,703","00:01:16,997","What's up, LA?",0,0.0,,,,74.7,77.0
8,"00:01:17,080","00:01:21,167","Ho, ho, ho, ho, ho, ho.",0,0.0,,,,77.08,81.17
9,"00:01:21,251","00:01:25,881",Where the weed at? Where the weed at? Where the weed at?,0,0.0,,,,81.25,85.88
10,"00:01:25,964","00:01:31,762","Throw it up here, throw it up here Throw it up here, throw it up here.",1,3.319999999999993,"#8, ","89.9, ","93.22, ",85.96,91.76
11,"00:01:31,845","00:01:34,597",Where the sexy ladies at?,0,0.0,,,,91.84,94.6
12,"00:01:34,681","00:01:35,724",[cheering loudly],1,2.739999999999995,"#9, ","94.95, ","97.69, ",94.68,95.72
13,"00:01:35,807","00:01:39,269",Ho! Where the big girls at?,0,0.0,,,,95.81,99.27
14,"00:01:39,352","00:01:40,478",[scattered cheering],1,2.6300000000000097,"#10, ","99.66, ","102.29, ",99.35,100.48
15,"00:01:41,354","00:01:42,355",[music stops suddenly],0,0.0,,,,101.35,102.36
16,"00:01:42,438","00:01:44,900","No, there's more fat bitches in here than that.",1,1.6399999999999864,"#11, ","103.93, ","105.57, ",102.44,104.9
17,"00:01:44,983","00:01:49,362","I seen a whole bunch of fat bitches walk in here on their toes, like this.",1,5.310000000000002,"#12, ","108.97, ","114.28, ",104.98,109.36
18,"00:01:50,739","00:01:53,408","That's how them fat girls walk, like, yeah...",0,0.0,,,,110.74,113.41
19,"00:01:53,491","00:01:56,536","Sometimes, they put a skip on it, like that.",1,6.22999999999999,"#13, ","115.51, ","121.74, ",113.49,116.54
20,"00:01:56,620","00:01:57,788","What's up, LA?",0,0.0,,,,116.62,117.79
21,"00:01:57,871","00:01:59,665",[all cheering],0,0.0,,,,117.87,119.67
22,"00:02:01,374","00:02:04,670",Where the weed at? I ain't bullshitting. Where that weed at?,1,1.25,"#14, ","123.95, ","125.2, ",121.37,124.67
23,"00:02:04,753","00:02:07,297",That's how I get my dope at the shows. Throw it up here.,1,2.230000000000018,"#15, ","126.63, ","128.86, ",124.75,127.3
24,"00:02:08,715","00:02:12,093","Last night, a nigga threw an eight-ball of cocaine on the stage.",0,0.0,,,,128.72,132.09
25,"00:02:13,136","00:02:15,346","And I kept that, too. I said, ""Shit.""",1,3.789999999999992,"#16, ","135.72, ","139.51, ",133.14,135.35
26,"00:02:17,933","00:02:19,017",[chuckles],0,0.0,,,,137.93,139.02
27,"00:02:19,100","00:02:21,740",We got all kinds of ages in here tonight. You know what I'm saying?,0,0.0,,,,139.1,141.74
28,"00:02:21,812","00:02:22,955",Let's see who's in the house.,0,0.0,,,,141.81,142.96
29,"00:02:22,979","00:02:26,607",1960 babies? 1960 babies?,2,5.339999999999975,"#17, #18, ","143.27, 144.9, ","144.03, 149.48, ",142.98,146.61
