,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,716","00:00:11,386",A NETFLIX ORIGINAL COMEDY SPECIAL,0,0.0,,,,7.72,11.39
1,"00:00:12,054","00:00:14,890",[audience chanting] Mo! Mo! Mo! Mo! Mo!,0,0.0,,,,12.05,14.89
2,"00:00:14,973","00:00:16,975",Mo! Mo! Mo! Mo! Mo! Mo! Mo!,1,12.25,"#0, ","16.12, ","28.37, ",14.97,16.98
3,"00:00:17,059","00:00:19,061",[chanting speeds up],0,0.0,,,,17.06,19.06
4,"00:00:21,021","00:00:24,691","[man] <i>Ladies and gentlemen,</i> <i>please welcome Texas' own...</i>",0,0.0,,,,21.02,24.69
5,"00:00:26,193","00:00:27,569",<i>Mo Amer!</i>,0,0.0,,,,26.19,27.57
6,"00:00:27,653","00:00:29,655",[cheering],1,0.6600000000000037,"#1, ","46.61, ","47.27, ",27.65,29.66
7,"00:00:55,931","00:00:58,183","Thank you. Thank you, thank you.",2,2.200000000000003,"#2, #3, ","56.09, 58.12, ","57.02, 59.39, ",55.93,58.18
8,"00:00:59,017","00:01:01,270","What's up, Austin? Have a seat.",1,2.0800000000000054,"#4, ","60.73, ","62.81, ",59.02,61.27
9,"00:01:02,437","00:01:03,981","Austin, Texas.",1,2.9299999999999926,"#5, ","64.93, ","67.86, ",62.44,63.98
10,"00:01:05,232","00:01:06,066",Man!,0,0.0,,,,65.23,66.07
11,"00:01:07,317","00:01:08,944","Thank you, thank you, thank you.",1,7.429999999999993,"#6, ","68.87, ","76.3, ",67.32,68.94
12,"00:01:09,528","00:01:10,362",Wow!,0,0.0,,,,69.53,70.36
13,"00:01:11,238","00:01:12,739","Well, can I... [chuckles]",0,0.0,,,,71.24,72.74
14,"00:01:12,823","00:01:15,450","All right, well... All right, guys.",0,0.0,,,,72.82,75.45
15,"00:01:15,951","00:01:18,161","Jesus, good to see everybody, man.",1,1.3399999999999892,"#7, ","77.68, ","79.02, ",75.95,78.16
16,"00:01:18,245","00:01:22,791","Uh, Austin, man, it's beautiful. Home state of Texas, uh...",1,2.410000000000011,"#8, ","82.71, ","85.12, ",78.25,82.79
17,"00:01:23,125","00:01:24,376",It's a good time.,0,0.0,,,,83.12,84.38
18,"00:01:25,669","00:01:27,671","Yes, I am Mo, guys.",0,0.0,,,,85.67,87.67
19,"00:01:27,796","00:01:29,715","You know, Mo is actually short for Mohammed.",0,0.0,,,,87.8,89.72
20,"00:01:29,798","00:01:31,758","Surprise, bitches! Today is the day!",1,1.6299999999999955,"#9, ","91.26, ","92.89, ",89.8,91.76
21,"00:01:32,801","00:01:36,263","Your cell phones are locked up. It's too late for you, motherfuckers!",1,0.8899999999999864,"#10, ","96.43, ","97.32, ",92.8,96.26
22,"00:01:36,847","00:01:39,349","Get the door, Aziz! No, I'm just kidding.",1,0.9400000000000119,"#11, ","99.82, ","100.76, ",96.85,99.35
23,"00:01:40,058","00:01:40,976",Okay.,0,0.0,,,,100.06,100.98
24,"00:01:42,269","00:01:44,354",I get all kinds of different reactions.,0,0.0,,,,102.27,104.35
25,"00:01:44,438","00:01:46,273","Uh... I was in Little Rock, Arkansas.",0,0.0,,,,104.44,106.27
26,"00:01:46,356","00:01:47,608",Everything is goin' great.,0,0.0,,,,106.36,107.61
27,"00:01:47,691","00:01:49,192",I say I'm an Arab-American.,0,0.0,,,,107.69,109.19
28,"00:01:49,526","00:01:53,030","The whole room gets quiet, and one guy in the back goes...",0,0.0,,,,109.53,113.03
29,"00:01:53,113","00:01:55,115","[Southern accent] ""Oh, hell, no!""",1,1.8599999999999994,"#12, ","114.09, ","115.95, ",113.11,115.11
30,"00:01:56,241","00:01:58,994",There was one black couple that actually got up and left.,0,0.0,,,,116.24,118.99
31,"00:01:59,077","00:02:03,707","Like, ""Mm-mm! We seen this shit before. Come on, baby,"" and they just took off.",0,0.0,,,,119.08,123.71
32,"00:02:05,334","00:02:06,376",It was frustrating.,0,0.0,,,,125.33,126.38
33,"00:02:06,460","00:02:09,212","Mohammed is the most popular name in the world,",0,0.0,,,,126.46,129.21
34,"00:02:09,296","00:02:12,215",but I can't find one key chain with my name on it anywhere.,1,0.950000000000017,"#13, ","132.76, ","133.71, ",129.3,132.22
35,"00:02:14,509","00:02:17,429","Not one person has shared a Coca-Cola with me in America,",0,0.0,,,,134.51,137.43
36,"00:02:17,512","00:02:20,265",not a single fucking person.,1,0.8499999999999943,"#14, ","141.68, ","142.53, ",137.51,140.26
37,"00:02:23,185","00:02:25,854","I'll be honest, though. I didn't even know how popular the name was",0,0.0,,,,143.19,145.85
38,"00:02:25,937","00:02:28,315",until I watched the Egyptian soccer team.,0,0.0,,,,145.94,148.31
39,"00:02:28,398","00:02:30,859",Uh... They were showing a play-by-play,0,0.0,,,,148.4,150.86
40,"00:02:30,942","00:02:34,613","and the commentator comes on and he's like, ""Mohammed has the ball.",0,0.0,,,,150.94,154.61
41,"00:02:34,696","00:02:36,531",Mohammed pass the ball to Mohammed.,1,1.0900000000000034,"#15, ","156.41, ","157.5, ",154.7,156.53
42,"00:02:37,240","00:02:39,242",Mohammed to Ahmed. Ahmed to Hamed.,0,0.0,,,,157.24,159.24
43,"00:02:39,326","00:02:42,245",Aaah! Hamed to Mohammed. Mohammed to Mohammed.,2,3.369999999999976,"#16, #17, ","159.93, 160.97, ","160.54, 163.73, ",159.33,162.25
44,"00:02:42,329","00:02:43,497",Mohammed to Mohammed.,0,0.0,,,,162.33,163.5
45,"00:02:43,580","00:02:45,582",Mohammed! Mohammed! Mohammed!,0,0.0,,,,163.58,165.58
46,"00:02:45,666","00:02:47,668","Gooooalll!""",1,4.469999999999999,"#18, ","167.15, ","171.62, ",165.67,167.67
47,"00:02:51,004","00:02:53,131","""This weed is too strong, Jeffrey.",1,1.4499999999999886,"#19, ","172.78, ","174.23, ",171.0,173.13
48,"00:02:54,091","00:02:57,719","I think there's just one guy on the team passin' the ball to himself, bro.",0,0.0,,,,174.09,177.72
49,"00:02:57,803","00:02:58,970","I'm freaking out, man!""",1,2.180000000000007,"#20, ","178.62, ","180.8, ",177.8,178.97
50,"00:02:59,680","00:03:01,306",[chuckles],0,0.0,,,,179.68,181.31
51,"00:03:01,390","00:03:02,349","Oh, man!",0,0.0,,,,181.39,182.35
52,"00:03:03,183","00:03:05,352","It's a weird time to be Mohammed, you know?",0,0.0,,,,183.18,185.35
53,"00:03:07,521","00:03:08,605",It's a weird time.,0,0.0,,,,187.52,188.6
54,"00:03:09,314","00:03:11,191",It's also weirder with Trump in office,0,0.0,,,,189.31,191.19
55,"00:03:11,274","00:03:13,985","and the thing that happened with me and Eric Trump, my God,",0,0.0,,,,191.27,193.99
56,"00:03:14,069","00:03:15,445",we went viral all over the place,0,0.0,,,,194.07,195.44
57,"00:03:15,529","00:03:17,948",and all that happened was I got upgraded to first class.,0,0.0,,,,195.53,197.95
58,"00:03:18,031","00:03:20,992",I end up sitting next to Eric Trump and then shit went super-viral!,0,0.0,,,,198.03,200.99
59,"00:03:21,076","00:03:23,912","I didn't know I was gonna get upgraded to first class,",0,0.0,,,,201.08,203.91
60,"00:03:23,995","00:03:27,582","much less sittin' next to Eric Trump, but I do know one thing.",0,0.0,,,,204.0,207.58
61,"00:03:28,250","00:03:31,378",The lady that upgraded me is probably a Clinton supporter.,0,0.0,,,,208.25,211.38
62,"00:03:31,461","00:03:32,295",Let's be real.,1,1.4799999999999898,"#21, ","212.55, ","214.03, ",211.46,212.29
63,"00:03:33,880","00:03:36,758","I'm just sayin'. She was probably sittin' there like,",0,0.0,,,,213.88,216.76
64,"00:03:36,842","00:03:39,636","""Oh, oh. oh,  Eric Trump is on my flight?",0,0.0,,,,216.84,219.64
65,"00:03:39,720","00:03:42,347","Okay. Okay. Uh-huh, uh-huh, uh-huh, uh-huh, uh-huh.""",0,0.0,,,,219.72,222.35
66,"00:03:42,431","00:03:45,642","I don't know why she has a mustache. ""Okay. Mm-hm. Mm-hm.",1,4.72999999999999,"#22, ","224.21, ","228.94, ",222.43,225.64
67,"00:03:46,226","00:03:48,895","Mm-hm. Mm-hm."" [laughs]",0,0.0,,,,226.23,228.9
68,"00:03:48,979","00:03:52,107","""Oh, there's an empty seat next to Eric? Okay. Uh-huh, uh-huh.",0,0.0,,,,228.98,232.11
69,"00:03:52,190","00:03:57,028","Let me take a look at this upgrade list, uh, see who's standing by patiently here.",0,0.0,,,,232.19,237.03
70,"00:03:57,112","00:03:59,364","Oh, Mohammed Mustafa Amer!",0,0.0,,,,237.11,239.36
71,"00:03:59,531","00:04:02,367","Upgrade this motherfucker immediately!""",1,1.8800000000000239,"#23, ","240.14, ","242.02, ",239.53,242.37
72,"00:04:02,451","00:04:04,161",That's probably what happened.,2,3.4700000000000273,"#24, #25, ","243.32, 246.53, ","246.02, 247.3, ",242.45,244.16
73,"00:04:06,997","00:04:10,917","I'm not 100% sure, but I'm, like, 99% sure",0,0.0,,,,247.0,250.92
74,"00:04:11,501","00:04:14,463",'cause I've never been greeted with such enthusiasm,0,0.0,,,,251.5,254.46
75,"00:04:15,338","00:04:17,549",prior to boarding an aircraft.,0,0.0,,,,255.34,257.55
76,"00:04:18,800","00:04:21,970","With the name Mohammed, flying out of New York, it's just never happened.",1,2.269999999999982,"#26, ","262.24, ","264.51, ",258.8,261.97
77,"00:04:24,514","00:04:26,600","I show up, I scan my boarding pass.",0,0.0,,,,264.51,266.6
78,"00:04:26,683","00:04:29,936","She's like, ""Guess who's been upgraded?",1,3.3999999999999773,"#27, ","269.18, ","272.58, ",266.68,269.94
79,"00:04:30,645","00:04:32,355","Boom, byeow, byeow, byeow, byeow!""",0,0.0,,,,270.64,272.36
80,"00:04:32,439","00:04:35,233","I was like, ""Oh, shit, you have an air horn? I didn't know.""",1,1.349999999999966,"#28, ","274.66, ","276.01, ",272.44,275.23
81,"00:04:37,611","00:04:38,945","I was so dumb, though.",0,0.0,,,,277.61,278.94
82,"00:04:39,613","00:04:43,033","I was like, ""Yeah, it's all these years and dedication to this airline.",0,0.0,,,,279.61,283.03
83,"00:04:43,116","00:04:45,202","I'm finally gettin' the respect that I deserve.""",0,0.0,,,,283.12,285.2
84,"00:04:45,285","00:04:47,871","I'm just walking in there like, ""Yeah, Million Mile Club, bitch!""",0,0.0,,,,285.29,287.87
85,"00:04:47,954","00:04:48,789","You know, like...",1,0.6399999999999864,"#29, ","288.43, ","289.07, ",287.95,288.79
86,"00:04:49,539","00:04:51,166",Uh... it wasn't the case.,0,0.0,,,,289.54,291.17
87,"00:04:51,249","00:04:54,044","I turned the corner, I was like, ""Holy shit!",1,0.8000000000000114,"#30, ","294.21, ","295.01, ",291.25,294.04
88,"00:04:54,336","00:04:55,754","Is that Eric Trump?""",0,0.0,,,,294.34,295.75
89,"00:04:56,004","00:04:58,423","I was like, ""Nah."" I didn't believe it, so I put up my bag,",0,0.0,,,,296.0,298.42
90,"00:04:58,548","00:05:01,468",took a second look and I saw his name on his sweater.,0,0.0,,,,298.55,301.47
91,"00:05:01,718","00:05:02,552",So...,1,1.6999999999999886,"#31, ","302.38, ","304.08, ",301.72,302.55
92,"00:05:04,012","00:05:06,223",no further investigation necessary.,1,0.7800000000000296,"#32, ","306.27, ","307.05, ",304.01,306.22
93,"00:05:07,307","00:05:09,851","I mean, that's what you do with the slow kid in your family",0,0.0,,,,307.31,309.85
94,"00:05:09,935","00:05:11,436",when you go to a theme park...,0,0.0,,,,309.94,311.44
95,"00:05:12,604","00:05:15,023","so when they get lost, they know how to identify themselves.",0,0.0,,,,312.6,315.02
96,"00:05:15,106","00:05:15,941",I just...,1,1.2199999999999704,"#33, ","315.87, ","317.09, ",315.11,315.94
97,"00:05:16,608","00:05:19,736","I just sat down next to him and I was like, <i>""Salaam alaikum,</i> Eric!",0,0.0,,,,316.61,319.74
98,"00:05:19,820","00:05:20,779","How's it goin', man?""",1,0.7099999999999795,"#34, ","320.82, ","321.53, ",319.82,320.78
99,"00:05:21,404","00:05:23,031","He was like, ""Uh, everything's cool?""",0,0.0,,,,321.4,323.03
100,"00:05:23,114","00:05:24,950","I was like, ""I'm just messin' with you, man.",0,0.0,,,,323.11,324.95
101,"00:05:25,033","00:05:28,245","Listen, my name's Mohammed. I'm a Muslim, I'm Arab",0,0.0,,,,325.03,328.25
102,"00:05:28,370","00:05:30,747","and a comedian, so I had to mess with you a little bit",0,0.0,,,,328.37,330.75
103,"00:05:31,164","00:05:33,041",and I also came here as a refugee.,0,0.0,,,,331.16,333.04
104,"00:05:33,333","00:05:34,709","Too late, bitch! I made it!""",0,0.0,,,,333.33,334.71
105,"00:05:34,793","00:05:36,086","You know, it was nice.",1,8.089999999999975,"#35, ","335.66, ","343.75, ",334.79,336.09
106,"00:05:43,260","00:05:45,512",Then I shifted gears on him. He didn't see it comin'.,0,0.0,,,,343.26,345.51
107,"00:05:45,595","00:05:48,598","I was like, ""Hey, you tell your dad to build all the damn walls he wants.""",0,0.0,,,,345.6,348.6
108,"00:05:48,890","00:05:49,724","He was like, ""What?""",0,0.0,,,,348.89,349.72
109,"00:05:49,808","00:05:52,936","I was like, ""That's right. Tell your dad to build all the walls he wants.",0,0.0,,,,349.81,352.94
110,"00:05:53,019","00:05:56,231","My family flew in, you know what I mean? There is no problem.",0,0.0,,,,353.02,356.23
111,"00:05:57,566","00:06:01,194","One $9 Spirit Airlines flight and I'll be back in business.""",1,0.8799999999999955,"#36, ","362.35, ","363.23, ",357.57,361.19
112,"00:06:04,364","00:06:07,284","It's just weird. I was actually born in Kuwait, right?",0,0.0,,,,364.36,367.28
113,"00:06:07,701","00:06:10,704",I left Kuwait after the first Gulf War. I was nine years old.,0,0.0,,,,367.7,370.7
114,"00:06:10,787","00:06:13,874",I went to a nice private British English school in Kuwait.,0,0.0,,,,370.79,373.87
115,"00:06:14,165","00:06:16,376",I wore a little vest and a bow tie to school.,0,0.0,,,,374.17,376.38
116,"00:06:16,501","00:06:19,421",I was an adorable Arab kid with a hint of a British accent.,0,0.0,,,,376.5,379.42
117,"00:06:19,546","00:06:23,133","I was like, ""'Ello, Mum. Yeah, going to school I am, Mummy.",0,0.0,,,,379.55,383.13
118,"00:06:23,216","00:06:24,676","Yeah, all right, yeah.""",2,2.3500000000000227,"#37, #38, ","383.31, 385.17, ","384.42, 386.41, ",383.22,384.68
119,"00:06:26,845","00:06:32,058","Then I ended up in Houston, Texas. Very proud... I'm a very proud Houstonian.",1,6.560000000000002,"#39, ","389.77, ","396.33, ",386.85,392.06
120,"00:06:35,770","00:06:38,064",Super-proud Houstonian from Alief.,1,2.819999999999993,"#40, ","398.07, ","400.89, ",395.77,398.06
121,"00:06:38,690","00:06:39,524",I'm for real.,0,0.0,,,,398.69,399.52
122,"00:06:40,483","00:06:43,528","But hold on, hold on. When I got there, they put me in ESL class...",0,0.0,,,,400.48,403.53
123,"00:06:44,905","00:06:47,365","which is English as a second language class,",0,0.0,,,,404.9,407.37
124,"00:06:47,449","00:06:50,619",and I was the only guy that spoke English in this fuckin' class.,0,0.0,,,,407.45,410.62
125,"00:06:52,245","00:06:54,623","And my family sends me to school with a vest and a bow tie,",0,0.0,,,,412.25,414.62
126,"00:06:54,706","00:06:56,625","thinking, ""That's how you go to school.""",0,0.0,,,,414.71,416.62
127,"00:06:56,708","00:06:59,419","No, that's how you get your ass whooped at school in America.",0,0.0,,,,416.71,419.42
128,"00:07:01,379","00:07:05,091","I walk in, all the kids are looking at me like, <i>""Hola.</i>",1,1.3700000000000045,"#41, ","425.24, ","426.61, ",421.38,425.09
129,"00:07:07,010","00:07:07,928",<i>Amigo...</i>,0,0.0,,,,427.01,427.93
