,filename,laughs,start,end,threshold,duration
0,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_0.wav,16.12,28.37,0.5,0.5
1,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_1.wav,46.61,47.27,0.5,0.5
2,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_2.wav,56.09,57.02,0.5,0.5
3,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_3.wav,58.12,59.39,0.5,0.5
4,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_4.wav,60.73,62.81,0.5,0.5
5,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_5.wav,64.93,67.86,0.5,0.5
6,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_6.wav,68.87,76.3,0.5,0.5
7,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_7.wav,77.68,79.02,0.5,0.5
8,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_8.wav,82.71,85.12,0.5,0.5
9,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_9.wav,91.26,92.89,0.5,0.5
10,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_10.wav,96.43,97.32,0.5,0.5
11,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_11.wav,99.82,100.76,0.5,0.5
12,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_12.wav,114.09,115.95,0.5,0.5
13,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_13.wav,132.76,133.71,0.5,0.5
14,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_14.wav,141.68,142.53,0.5,0.5
15,Mo.Amer.The.Vagabond.2018.1080p.NF.WEB.DL.DD5.1.x264-music.wav,/laughs/laugh_15.wav,156.41,157.5,0.5,0.5
