,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,005","00:00:06,423",<i>[applause]</i>,0,0.0,,,,5.0,6.42
1,"00:00:06,507","00:00:10,218","[announcer] <i>Ladies and gentlemen, Ralphie May!</i>",0,0.0,,,,6.51,10.22
2,"00:00:10,302","00:00:11,345",[music playing],0,0.0,,,,10.3,11.35
3,"00:00:29,070","00:00:31,031","{\an8}How you doin', everybody?!",0,0.0,,,,29.07,31.03
4,"00:00:32,032","00:00:33,325",{\an8}Yeah!,0,0.0,,,,32.03,33.33
5,"00:00:34,535","00:00:35,661",All right!,0,0.0,,,,34.53,35.66
6,"00:00:38,664","00:00:40,415",How are you?,0,0.0,,,,38.66,40.41
7,"00:00:40,582","00:00:42,292","Thank you, Atlanta.",0,0.0,,,,40.58,42.29
8,"00:00:43,335","00:00:44,837",Thank you!,1,3.969999999999999,"#1, ","46.35, ","50.32, ",43.34,44.84
9,"00:00:47,882","00:00:49,633",Thank you all so much.,0,0.0,,,,47.88,49.63
10,"00:00:49,717","00:00:51,719",Thanks to the guys in the Muppet seats.,1,10.019999999999996,"#2, ","54.5, ","64.52, ",49.72,51.72
11,"00:00:52,177","00:00:53,220",[laughter],0,0.0,,,,52.18,53.22
12,"00:00:54,513","00:00:55,681",It's good to be here.,0,0.0,,,,54.51,55.68
13,"00:00:56,306","00:00:57,599",[yelling],0,0.0,,,,56.31,57.6
14,"00:00:57,683","00:00:59,518",My name is Ralphie May.,0,0.0,,,,57.68,59.52
15,"00:00:59,685","00:01:01,395",[audience cheering],0,0.0,,,,59.69,61.4
16,"00:01:01,478","00:01:02,479",How are you?,0,0.0,,,,61.48,62.48
17,"00:01:04,773","00:01:05,983",How are you?,0,0.0,,,,64.77,65.98
18,"00:01:07,776","00:01:08,819",[whistling],0,0.0,,,,67.78,68.82
19,"00:01:08,903","00:01:11,112","I, uh-- it's great to be here.",0,0.0,,,,68.9,71.11
20,"00:01:12,113","00:01:14,115","Fantastic, being in the South.",1,0.7099999999999937,"#3, ","72.18, ","72.89, ",72.11,74.11
21,"00:01:14,199","00:01:16,201","As I like to call it, America.",1,1.059999999999988,"#4, ","74.29, ","75.35, ",74.2,76.2
22,"00:01:16,284","00:01:17,285",[laughter],0,0.0,,,,76.28,77.28
23,"00:01:17,369","00:01:19,413",It's so nice. It's so nice.,0,0.0,,,,77.37,79.41
24,"00:01:19,496","00:01:22,165",I like being in the South. I like being from the South.,1,7.469999999999999,"#5, ","82.14, ","89.61, ",79.5,82.17
25,"00:01:22,917","00:01:27,421","I was born in Chattanooga, Tennessee, and raised up in Clarksville, Arkansas.",0,0.0,,,,82.92,87.42
26,"00:01:27,504","00:01:28,547",[cheering],0,0.0,,,,87.5,88.55
27,"00:01:28,672","00:01:31,383",Yep. Goddamn right.,1,2.5600000000000023,"#6, ","93.0, ","95.56, ",88.67,91.38
28,"00:01:34,302","00:01:39,016","That's about as honest as it gets right there, man.",0,0.0,,,,94.3,99.02
29,"00:01:39,098","00:01:41,560",Traveling a lot. It's been a crazy year.,1,0.8699999999999903,"#7, ","99.4, ","100.27, ",99.1,101.56
30,"00:01:41,643","00:01:42,853",Have you noticed that?,0,0.0,,,,101.64,102.85
31,"00:01:42,937","00:01:45,856","I've been flying a lot, and it seems like",1,1.8599999999999994,"#8, ","104.72, ","106.58, ",102.94,105.86
32,"00:01:45,940","00:01:49,317","this is the most ""planey hit the groundie"" year of all time.",1,2.009999999999991,"#9, ","107.68, ","109.69, ",105.94,109.32
33,"00:01:49,401","00:01:50,444",[laughter],0,0.0,,,,109.4,110.44
34,"00:01:50,527","00:01:51,904",Am I the only one?,0,0.0,,,,110.53,111.9
35,"00:01:52,071","00:01:54,197",And it just seems like I keep on seeing,0,0.0,,,,112.07,114.2
36,"00:01:54,281","00:01:57,576",these airplane crashes on the news at the airport.,0,0.0,,,,114.28,117.58
37,"00:01:57,659","00:01:59,494","<i>Last time I was at the airport, I went...</i>",0,0.0,,,,117.66,119.49
38,"00:01:59,578","00:02:00,621",[laughter],0,0.0,,,,119.58,120.62
39,"00:02:01,246","00:02:02,247",[mouthing] No.,0,0.0,,,,121.25,122.25
