,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:16,811","00:00:20,231",[electricity crackling],4,21.51000000000001,"#4, #5, #6, #7, ","23.26, 34.15, 41.83, 44.29, ","31.21, 38.07, 43.49, 52.27, ",16.81,20.23
1,"00:00:45,631","00:00:47,592","[man] The vestibule has been opened,",0,0.0,,,,45.63,47.59
2,"00:00:47,800","00:00:53,139",and all of us continue to exist as though nothing will occur.,1,2.509999999999998,"#8, ","54.24, ","56.75, ",47.8,53.14
3,"00:00:54,390","00:00:56,976",The Intergalactic Council wishes you to know,0,0.0,,,,54.39,56.98
4,"00:00:57,560","00:01:01,898",that all dangers are being dealt with in all quadrants.,0,0.0,,,,57.56,61.9
5,"00:01:04,358","00:01:08,279","I know many of you, and some of you I do not.",1,0.9599999999999937,"#9, ","67.14, ","68.1, ",64.36,68.28
6,"00:01:08,529","00:01:10,156",[audience laughs],1,1.8100000000000023,"#10, ","68.66, ","70.47, ",68.53,70.16
7,"00:01:11,616","00:01:13,034","But at some point,",1,1.289999999999992,"#11, ","71.78, ","73.07, ",71.62,73.03
8,"00:01:13,534","00:01:17,997",you will know someone who knows of someone that I have met...,2,5.240000000000009,"#12, #13, ","73.72, 76.41, ","75.12, 80.25, ",73.53,78.0
9,"00:01:18,206","00:01:19,874",[audience laughs],1,1.3400000000000034,"#14, ","80.89, ","82.23, ",78.21,79.87
10,"00:01:21,542","00:01:25,671","And at that point, we will be vaguely acquainted.",1,2.1000000000000085,"#15, ","85.63, ","87.73, ",81.54,85.67
11,"00:01:25,963","00:01:27,298",[audience laughs],0,0.0,,,,85.96,87.3
12,"00:01:29,175","00:01:33,095","The Telothians would have you believe that you are weak,",1,2.1099999999999994,"#16, ","93.36, ","95.47, ",89.17,93.09
13,"00:01:33,930","00:01:35,348","you are made of nothing,",1,3.3100000000000023,"#17, ","96.14, ","99.45, ",93.93,95.35
14,"00:01:36,224","00:01:39,852",that there is nothing worth fighting for because you have already lost.,0,0.0,,,,96.22,99.85
15,"00:01:40,937","00:01:45,191","I guarantee you that this can be no further from the truth,",2,6.640000000000001,"#18, #19, ","103.64, 105.67, ","104.97, 110.98, ",100.94,105.19
16,"00:01:45,691","00:01:51,239",than from the centaurs of Andromeda to the black hole of the Vega system.,0,0.0,,,,105.69,111.24
17,"00:01:53,157","00:01:56,285",These weapon shipments have to be intercepted.,2,3.780000000000001,"#20, #21, ","113.32, 117.31, ","115.74, 118.67, ",113.16,116.28
18,"00:01:57,411","00:02:02,917",And it is up to you... to remain vigilant against these...,1,1.25,"#22, ","119.63, ","120.88, ",117.41,122.92
19,"00:02:03,292","00:02:05,169",[muttering],1,1.539999999999992,"#23, ","124.54, ","126.08, ",123.29,125.17
20,"00:02:05,253","00:02:06,462",[audience laughs],2,10.470000000000013,"#24, #25, ","127.61, 131.1, ","130.82, 138.36, ",125.25,126.46
21,"00:02:11,467","00:02:17,640",I now defer the remainder of my time to Senator Ihavylev Jyaha...,1,8.159999999999997,"#26, ","143.74, ","151.9, ",131.47,137.64
22,"00:02:24,355","00:02:25,690",[audience laughing],0,0.0,,,,144.35,145.69
23,"00:02:31,320","00:02:34,824",[dramatic music playing over speakers],5,42.31999999999999,"#27, #28, #29, #30, #31, ","154.67, 156.34, 159.93, 164.09, 179.5, ","155.45, 157.43, 162.38, 178.75, 202.84, ",151.32,154.82
24,"00:03:03,769","00:03:08,566",[audience chanting] <i>Reggie! Reggie! Reggie!</i>,0,0.0,,,,183.77,188.57
25,"00:03:08,649","00:03:11,777","[announcer] Ladies and gentlemen, please welcome to the stage...",0,0.0,,,,188.65,191.78
26,"00:03:11,861","00:03:13,029",Reggie Watts.,0,0.0,,,,191.86,193.03
27,"00:03:19,327","00:03:21,495","Oh, sorry about... Hey, how are you?",0,0.0,,,,199.33,201.5
28,"00:03:22,246","00:03:24,582",Hi. How are you? Sorry. I'm so sorry.,1,1.0500000000000114,"#32, ","203.7, ","204.75, ",202.25,204.58
29,"00:03:24,749","00:03:26,751",So sorry. Don't want to crush you here.,1,2.3700000000000045,"#33, ","206.62, ","208.99, ",204.75,206.75
30,"00:03:26,834","00:03:28,210",So sorry. Here we go.,0,0.0,,,,206.83,208.21
31,"00:03:28,961","00:03:30,880","Okay, okay, okay.",1,1.3100000000000023,"#34, ","209.3, ","210.61, ",208.96,210.88
32,"00:03:30,963","00:03:33,841",So sorry. It's so hard to get through here.,1,1.759999999999991,"#35, ","213.87, ","215.63, ",210.96,213.84
33,"00:03:33,966","00:03:37,553","Oh, God. Okay. All right. So sorry. I'm so sorry.",1,1.2700000000000102,"#36, ","217.22, ","218.49, ",213.97,217.55
34,"00:03:38,471","00:03:39,471",So sorry.,0,0.0,,,,218.47,219.47
35,"00:03:40,389","00:03:41,432",So sorry. Thank you.,1,4.52000000000001,"#37, ","221.32, ","225.84, ",220.39,221.43
36,"00:03:41,933","00:03:43,267",Thank you. Thank you.,0,0.0,,,,221.93,223.27
37,"00:03:43,768","00:03:45,478",Thanks. So sorry.,0,0.0,,,,223.77,225.48
38,"00:03:45,561","00:03:48,648",So... So sorry for your... So sorry for your loss.,1,3.469999999999999,"#38, ","228.6, ","232.07, ",225.56,228.65
39,"00:03:48,731","00:03:49,941",Okay. Here we go.,0,0.0,,,,228.73,229.94
40,"00:03:50,233","00:03:51,275",All right. Going.,0,0.0,,,,230.23,231.28
41,"00:03:51,359","00:03:53,569",Okay. I'm so sorry. I'm so sorry.,1,0.5,"#39, ","233.32, ","233.82, ",231.36,233.57
42,"00:03:54,195","00:03:55,738",I'm so sorry. Hi.,1,2.530000000000001,"#40, ","235.19, ","237.72, ",234.19,235.74
43,"00:03:56,989","00:03:59,742",So sorry. So sorry. So sorry.,1,10.47999999999999,"#41, ","239.34, ","249.82, ",236.99,239.74
44,"00:04:00,117","00:04:02,662",Okay. All right. Okay. Okay.,0,0.0,,,,240.12,242.66
45,"00:04:03,996","00:04:04,996",[Reggie grunts],0,0.0,,,,244.0,245.0
46,"00:04:05,539","00:04:06,958",[audience member whoops],1,6.689999999999998,"#42, ","250.11, ","256.8, ",245.54,246.96
47,"00:04:07,250","00:04:10,419",[audience cheering],0,0.0,,,,247.25,250.42
48,"00:04:13,005","00:04:14,005",Thanks.,0,0.0,,,,253.0,254.0
49,"00:04:17,510","00:04:19,011","Thanks, guys. Um...",1,1.3099999999999454,"#43, ","258.72, ","260.03, ",257.51,259.01
50,"00:04:19,095","00:04:20,096",[audience laughs],0,0.0,,,,259.1,260.1
51,"00:04:21,764","00:04:23,349",Sorry. I'm sorry.,0,0.0,,,,261.76,263.35
52,"00:04:24,433","00:04:25,433","Thanks, guys.",1,0.5300000000000296,"#44, ","264.83, ","265.36, ",264.43,265.43
53,"00:04:25,518","00:04:27,853","Hey, welcome to the... Here it is.",1,8.269999999999982,"#45, ","267.55, ","275.82, ",265.52,267.85
54,"00:04:28,187","00:04:30,439",[audience cheering],0,0.0,,,,268.19,270.44
55,"00:04:35,653","00:04:37,488","You know, tonight is really special.",0,0.0,,,,275.65,277.49
56,"00:04:38,239","00:04:41,826","We've got a lot of married couples, we're gonna be celebrating some of that.",1,3.1899999999999977,"#46, ","280.7, ","283.89, ",278.24,281.83
57,"00:04:41,909","00:04:46,080","[laughs] We've got a lot of anniversaries we're gonna be talking about this evening,",0,0.0,,,,281.91,286.08
58,"00:04:46,163","00:04:47,999",get those out of the way a little early,0,0.0,,,,286.16,288.0
59,"00:04:48,082","00:04:50,960",so we can get on to some of the meatier stuff we talk about.,1,0.9499999999999886,"#47, ","289.47, ","290.42, ",288.08,290.96
60,"00:04:51,043","00:04:52,295",I'm huge into astronomy.,0,0.0,,,,291.04,292.3
61,"00:04:52,670","00:04:57,466","Um, and some of the... Some of the things that I want to talk to you about tonight",1,0.75,"#48, ","294.93, ","295.68, ",292.67,297.47
62,"00:04:57,550","00:04:59,635",aside from the anniversary and wedding stuff,0,0.0,,,,297.55,299.63
63,"00:04:59,719","00:05:03,264",that I kind of mentioned just a couple seconds ago is... Um...,1,2.910000000000025,"#49, ","301.52, ","304.43, ",299.72,303.26
64,"00:05:03,556","00:05:07,268","You know, there's a huge... There's a huge... A lot of... There's a lot of it...",0,0.0,,,,303.56,307.27
65,"00:05:07,351","00:05:11,272","There... like, over... Over time, you know,",2,2.5600000000000023,"#50, #51, ","307.56, 310.74, ","309.23, 311.63, ",307.35,311.27
66,"00:05:11,355","00:05:13,941","we're gonna have to make some decisions, so...",1,7.1200000000000045,"#52, ","312.74, ","319.86, ",311.36,313.94
67,"00:05:14,025","00:05:17,653","So, I hope that that... I hope that that's... Hope that happens.",0,0.0,,,,314.02,317.65
68,"00:05:17,903","00:05:19,322",[audience laughing],0,0.0,,,,317.9,319.32
69,"00:05:19,405","00:05:21,198",But I want to tell you a quick story.,0,0.0,,,,319.4,321.2
70,"00:05:22,408","00:05:23,993","[fast, high-pitched muttering]",5,33.700000000000045,"#53, #54, #55, #56, #57, ","323.55, 327.02, 328.59, 330.55, 333.25, ","326.05, 328.38, 329.36, 331.63, 361.24, ",322.41,323.99
71,"00:05:43,346","00:05:45,306",- [high-pitched laughter] - [audience laughing],0,0.0,,,,343.35,345.31
72,"00:05:48,768","00:05:50,528",[in a normal voice] You know what I'm saying?,0,0.0,,,,348.77,350.53
73,"00:05:52,813","00:05:55,191","Netflix, you know what I'm saying?",0,0.0,,,,352.81,355.19
74,"00:05:55,274","00:05:57,526",[audience cheering],0,0.0,,,,355.27,357.53
75,"00:05:59,403","00:06:00,821",[audience laughs],1,2.1199999999999477,"#58, ","363.22, ","365.34, ",359.4,360.82
76,"00:06:04,116","00:06:05,826",[audience laughs],1,2.1899999999999977,"#59, ","366.76, ","368.95, ",364.12,365.83
77,"00:06:09,872","00:06:14,418",[music playing over speaker],1,2.5499999999999545,"#60, ","372.04, ","374.59, ",369.87,374.42
78,"00:06:21,050","00:06:24,136",I always like to do this song 'cause this one warms up the crowd.,1,2.4399999999999977,"#61, ","383.62, ","386.06, ",381.05,384.14
79,"00:06:25,179","00:06:31,727","And by the way, this show, I'm touring in three motherfucking cities.",0,0.0,,,,385.18,391.73
80,"00:06:31,852","00:06:34,730","It's gonna be a three motherfucking city tour,",1,3.089999999999975,"#62, ","393.68, ","396.77, ",391.85,394.73
81,"00:06:35,981","00:06:42,196","and we're gonna be selling out very small to medium-sized rooms, okay?",2,2.8700000000000045,"#63, #64, ","397.44, 400.2, ","398.27, 402.24, ",395.98,402.2
