,filename,laughs,start,end,threshold,duration
4,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_4.wav,23.26,31.21,0.5,0.5
5,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_5.wav,34.15,38.07,0.5,0.5
6,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_6.wav,41.83,43.49,0.5,0.5
7,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_7.wav,44.29,52.27,0.5,0.5
8,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_8.wav,54.24,56.75,0.5,0.5
9,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_9.wav,67.14,68.1,0.5,0.5
10,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_10.wav,68.66,70.47,0.5,0.5
11,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_11.wav,71.78,73.07,0.5,0.5
12,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_12.wav,73.72,75.12,0.5,0.5
13,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_13.wav,76.41,80.25,0.5,0.5
14,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_14.wav,80.89,82.23,0.5,0.5
15,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_15.wav,85.63,87.73,0.5,0.5
16,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_16.wav,93.36,95.47,0.5,0.5
17,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_17.wav,96.14,99.45,0.5,0.5
18,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_18.wav,103.64,104.97,0.5,0.5
19,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_19.wav,105.67,110.98,0.5,0.5
20,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_20.wav,113.32,115.74,0.5,0.5
21,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_21.wav,117.31,118.67,0.5,0.5
22,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_22.wav,119.63,120.88,0.5,0.5
23,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_23.wav,124.54,126.08,0.5,0.5
24,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_24.wav,127.61,130.82,0.5,0.5
25,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_25.wav,131.1,138.36,0.5,0.5
26,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_26.wav,143.74,151.9,0.5,0.5
27,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_27.wav,154.67,155.45,0.5,0.5
28,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_28.wav,156.34,157.43,0.5,0.5
29,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_29.wav,159.93,162.38,0.5,0.5
30,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_30.wav,164.09,178.75,0.5,0.5
31,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_31.wav,179.5,202.84,0.5,0.5
32,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_32.wav,203.7,204.75,0.5,0.5
33,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_33.wav,206.62,208.99,0.5,0.5
34,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_34.wav,209.3,210.61,0.5,0.5
35,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_35.wav,213.87,215.63,0.5,0.5
36,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_36.wav,217.22,218.49,0.5,0.5
37,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_37.wav,221.32,225.84,0.5,0.5
38,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_38.wav,228.6,232.07,0.5,0.5
39,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_39.wav,233.32,233.82,0.5,0.5
40,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_40.wav,235.19,237.72,0.5,0.5
41,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_41.wav,239.34,249.82,0.5,0.5
42,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_42.wav,250.11,256.8,0.5,0.5
43,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_43.wav,258.72,260.03,0.5,0.5
44,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_44.wav,264.83,265.36,0.5,0.5
45,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_45.wav,267.55,275.82,0.5,0.5
46,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_46.wav,280.7,283.89,0.5,0.5
47,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_47.wav,289.47,290.42,0.5,0.5
48,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_48.wav,294.93,295.68,0.5,0.5
49,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_49.wav,301.52,304.43,0.5,0.5
50,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_50.wav,307.56,309.23,0.5,0.5
51,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_51.wav,310.74,311.63,0.5,0.5
52,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_52.wav,312.74,319.86,0.5,0.5
53,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_53.wav,323.55,326.05,0.5,0.5
54,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_54.wav,327.02,328.38,0.5,0.5
55,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_55.wav,328.59,329.36,0.5,0.5
56,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_56.wav,330.55,331.63,0.5,0.5
57,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_57.wav,333.25,361.24,0.5,0.5
58,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_58.wav,363.22,365.34,0.5,0.5
59,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_59.wav,366.76,368.95,0.5,0.5
60,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_60.wav,372.04,374.59,0.5,0.5
61,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_61.wav,383.62,386.06,0.5,0.5
62,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_62.wav,393.68,396.77,0.5,0.5
63,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_63.wav,397.44,398.27,0.5,0.5
64,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_64.wav,400.2,402.24,0.5,0.5
65,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_65.wav,404.49,406.65,0.5,0.5
66,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_66.wav,409.21,410.62,0.5,0.5
67,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_67.wav,412.39,417.1,0.5,0.5
68,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_68.wav,417.97,420.65,0.5,0.5
69,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_69.wav,422.6,423.38,0.5,0.5
70,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_70.wav,426.13,427.63,0.5,0.5
71,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_71.wav,431.44,436.64,0.5,0.5
72,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_72.wav,436.8,438.37,0.5,0.5
73,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_73.wav,439.53,441.41,0.5,0.5
74,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_74.wav,448.13,449.67,0.5,0.5
75,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_75.wav,450.13,451.28,0.5,0.5
76,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_76.wav,453.38,455.63,0.5,0.5
77,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_77.wav,458.86,462.23,0.5,0.5
78,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_78.wav,463.19,468.42,0.5,0.5
79,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_79.wav,468.85,469.81,0.5,0.5
80,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_80.wav,471.96,473.49,0.5,0.5
81,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_81.wav,474.64,477.23,0.5,0.5
82,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_82.wav,477.93,479.98,0.5,0.5
83,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_83.wav,497.79,498.5,0.5,0.5
84,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_84.wav,509.32,510.5,0.5,0.5
85,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_85.wav,515.12,515.88,0.5,0.5
86,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_86.wav,517.24,519.3,0.5,0.5
87,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_87.wav,519.69,521.15,0.5,0.5
88,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_88.wav,522.52,523.81,0.5,0.5
89,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_89.wav,525.54,536.69,0.5,0.5
90,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_90.wav,538.43,540.95,0.5,0.5
91,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_91.wav,541.34,542.34,0.5,0.5
92,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_92.wav,543.73,547.26,0.5,0.5
93,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_93.wav,548.71,552.95,0.5,0.5
94,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_94.wav,557.13,561.66,0.5,0.5
95,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_95.wav,564.61,569.58,0.5,0.5
96,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_96.wav,573.9,574.89,0.5,0.5
97,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_97.wav,575.48,577.88,0.5,0.5
98,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_98.wav,578.75,580.04,0.5,0.5
99,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_99.wav,584.62,585.47,0.5,0.5
100,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_100.wav,588.88,589.68,0.5,0.5
101,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_101.wav,590.17,595.6,0.5,0.5
102,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_102.wav,597.31,598.14,0.5,0.5
103,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_103.wav,608.7,610.39,0.5,0.5
104,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_104.wav,611.66,616.65,0.5,0.5
105,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_105.wav,620.93,621.66,0.5,0.5
106,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_106.wav,622.33,626.76,0.5,0.5
107,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_107.wav,632.43,634.23,0.5,0.5
108,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_108.wav,635.61,639.05,0.5,0.5
109,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_109.wav,641.48,643.97,0.5,0.5
110,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_110.wav,644.85,645.83,0.5,0.5
111,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_111.wav,646.95,652.16,0.5,0.5
112,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_112.wav,653.34,657.64,0.5,0.5
113,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_113.wav,658.57,661.24,0.5,0.5
114,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_114.wav,662.28,689.56,0.5,0.5
115,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_115.wav,691.77,695.62,0.5,0.5
116,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_116.wav,697.21,701.13,0.5,0.5
117,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_117.wav,703.19,704.24,0.5,0.5
118,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_118.wav,707.16,708.3,0.5,0.5
119,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_119.wav,712.08,717.32,0.5,0.5
120,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_120.wav,718.88,720.35,0.5,0.5
121,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_121.wav,721.52,722.25,0.5,0.5
122,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_122.wav,724.77,726.2,0.5,0.5
123,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_123.wav,727.92,733.75,0.5,0.5
124,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_124.wav,738.24,739.51,0.5,0.5
125,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_125.wav,746.33,748.32,0.5,0.5
126,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_126.wav,756.1,757.08,0.5,0.5
127,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_127.wav,771.67,772.96,0.5,0.5
128,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_128.wav,774.28,774.78,0.5,0.5
129,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_129.wav,780.41,781.72,0.5,0.5
130,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_130.wav,783.53,784.03,0.5,0.5
131,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_131.wav,787.69,789.6,0.5,0.5
132,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_132.wav,790.96,792.19,0.5,0.5
133,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_133.wav,794.04,796.01,0.5,0.5
134,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_134.wav,802.69,805.35,0.5,0.5
135,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_135.wav,816.07,818.52,0.5,0.5
136,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_136.wav,841.56,843.16,0.5,0.5
137,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_137.wav,844.37,845.5,0.5,0.5
138,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_138.wav,849.33,852.18,0.5,0.5
139,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_139.wav,858.14,859.33,0.5,0.5
140,Reggie.Watts..Spatial.2016-music.wav,/laughs/laugh_140.wav,865.1,865.96,0.5,0.5
