,filename,laughs,start,end,threshold,duration
2,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_2.wav,24.21,26.04,0.5,0.5
3,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_3.wav,27.16,30.73,0.5,0.5
4,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_4.wav,31.55,33.68,0.5,0.5
5,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_5.wav,38.3,42.66,0.5,0.5
6,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_6.wav,47.63,49.15,0.5,0.5
7,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_7.wav,51.58,52.26,0.5,0.5
8,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_8.wav,62.94,63.56,0.5,0.5
9,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_9.wav,68.82,71.3,0.5,0.5
10,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_10.wav,75.29,76.48,0.5,0.5
11,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_11.wav,88.62,89.13,0.5,0.5
12,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_12.wav,92.89,94.0,0.5,0.5
13,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_13.wav,96.51,98.64,0.5,0.5
14,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_14.wav,99.89,102.99,0.5,0.5
15,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_15.wav,109.08,109.93,0.5,0.5
16,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_16.wav,114.79,117.21,0.5,0.5
17,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_17.wav,117.67,119.25,0.5,0.5
18,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_18.wav,120.7,122.08,0.5,0.5
19,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_19.wav,125.2,125.77,0.5,0.5
20,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_20.wav,136.77,137.88,0.5,0.5
21,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_21.wav,140.37,142.79,0.5,0.5
22,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_22.wav,152.6,153.5,0.5,0.5
23,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_23.wav,157.36,165.2,0.5,0.5
24,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_24.wav,166.31,167.69,0.5,0.5
25,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_25.wav,169.19,171.27,0.5,0.5
26,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_26.wav,176.94,178.21,0.5,0.5
27,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_27.wav,180.12,180.63,0.5,0.5
28,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_28.wav,186.3,186.9,0.5,0.5
29,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_29.wav,188.55,191.25,0.5,0.5
30,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_30.wav,191.44,194.97,0.5,0.5
31,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_31.wav,196.45,197.77,0.5,0.5
32,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_32.wav,201.4,204.16,0.5,0.5
33,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_33.wav,205.28,210.3,0.5,0.5
34,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_34.wav,210.9,211.93,0.5,0.5
35,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_35.wav,212.76,215.1,0.5,0.5
36,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_36.wav,216.39,217.4,0.5,0.5
37,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_37.wav,218.34,219.91,0.5,0.5
38,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_38.wav,221.42,227.57,0.5,0.5
39,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_39.wav,230.65,233.13,0.5,0.5
40,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_40.wav,239.59,242.22,0.5,0.5
41,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_41.wav,246.78,247.97,0.5,0.5
42,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_42.wav,257.46,258.13,0.5,0.5
43,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_43.wav,265.29,266.37,0.5,0.5
44,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_44.wav,267.67,269.07,0.5,0.5
45,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_45.wav,271.7,273.34,0.5,0.5
46,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_46.wav,273.93,276.88,0.5,0.5
47,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_47.wav,278.46,280.53,0.5,0.5
48,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_48.wav,284.8,286.07,0.5,0.5
49,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_49.wav,291.72,292.56,0.5,0.5
50,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_50.wav,295.08,296.64,0.5,0.5
51,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_51.wav,303.33,304.66,0.5,0.5
52,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_52.wav,310.06,311.13,0.5,0.5
53,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_53.wav,311.76,313.52,0.5,0.5
54,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_54.wav,316.42,317.8,0.5,0.5
55,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_55.wav,339.18,339.93,0.5,0.5
56,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_56.wav,349.78,350.88,0.5,0.5
57,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_57.wav,357.75,359.3,0.5,0.5
58,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_58.wav,370.69,371.2,0.5,0.5
59,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_59.wav,373.46,374.65,0.5,0.5
60,Rodney.Carrington.Here.Comes.the.Truth.2017-music.wav,/laughs/laugh_60.wav,377.3,379.15,0.5,0.5
