,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,258","00:00:11,720",[Ron White] You ever take a crap so big your pants fit better?,1,0.5199999999999996,"#0, ","12.58, ","13.1, ",8.26,11.72
1,"00:00:14,431","00:00:15,682",What's he doing?,0,0.0,,,,14.43,15.68
2,"00:00:16,349","00:00:18,852",Looks like he's trying to get the taste out of his mouth.,1,4.16,"#1, ","18.95, ","23.11, ",16.35,18.85
3,"00:00:22,063","00:00:24,482","But let me tell you something, folks.",0,0.0,,,,22.06,24.48
4,"00:00:25,150","00:00:26,860",You can't fix stupid.,1,4.0,"#2, ","26.96, ","30.96, ",25.15,26.86
5,"00:00:29,696","00:00:34,367","Now, when I have seven eighths of a gram of marijuana, I consider myself to be...",0,0.0,,,,29.7,34.37
6,"00:00:35,243","00:00:36,244",out of marijuana.,1,2.279999999999994,"#3, ","36.2, ","38.48, ",35.24,36.24
7,"00:00:38,246","00:00:40,707","Tiger doesn't get any credit for all that pussy he turned down,",0,0.0,,,,38.25,40.71
8,"00:00:40,790","00:00:42,792",and that's the number you're looking for right there.,1,2.009999999999998,"#4, ","42.64, ","44.65, ",40.79,42.79
9,"00:00:44,753","00:00:46,087","6:01, gets there.",0,0.0,,,,44.75,46.09
10,"00:00:46,171","00:00:47,630",Is she there? No.,1,0.8999999999999986,"#5, ","47.07, ","47.97, ",46.17,47.63
11,"00:00:47,714","00:00:49,841",Do I leave? No.,1,0.8999999999999986,"#6, ","49.15, ","50.05, ",47.71,49.84
12,"00:00:49,924","00:00:52,594",Why? Because this dick won't suck itself.,1,12.689999999999998,"#7, ","52.36, ","65.05, ",49.92,52.59
13,"00:00:52,677","00:00:53,511",That's why.,0,0.0,,,,52.68,53.51
14,"00:00:55,597","00:00:58,016",[cheering and applause],0,0.0,,,,55.6,58.02
15,"00:00:58,099","00:01:01,352",[country rock music],1,10.809999999999988,"#8, ","66.04, ","76.85, ",58.1,61.35
16,"00:01:08,568","00:01:10,111",[inaudible],0,0.0,,,,68.57,70.11
17,"00:01:13,114","00:01:15,533",[inaudible],1,2.9099999999999966,"#9, ","79.36, ","82.27, ",73.11,75.53
18,"00:01:21,915","00:01:25,043",I want to start off this evening by telling you something about me,0,0.0,,,,81.92,85.04
19,"00:01:25,126","00:01:26,086",you may not know.,0,0.0,,,,85.13,86.09
20,"00:01:26,628","00:01:30,757","Um, I'm from a very, very small dusty town in northwest Texas,",0,0.0,,,,86.63,90.76
21,"00:01:30,840","00:01:33,176",and I grew up in this little bitty house that was built,0,0.0,,,,90.84,93.18
22,"00:01:33,259","00:01:36,888","by my father and my grandfather the year I was born, 1956.",0,0.0,,,,93.26,96.89
23,"00:01:37,472","00:01:41,559","Now I live in Beverly Hills in a house my wife and I just built,",0,0.0,,,,97.47,101.56
24,"00:01:41,643","00:01:43,436","and I was doing an interview the other day,",0,0.0,,,,101.64,103.44
25,"00:01:43,520","00:01:45,647","and this guy asked me, ""Has it changed you?",0,0.0,,,,103.52,105.65
26,"00:01:45,730","00:01:47,982","You know, the fame and fortune and all that?""",0,0.0,,,,105.73,107.98
27,"00:01:48,566","00:01:51,694","And I said, ""I don't think so,"" but I kept thinking about it,",0,0.0,,,,108.57,111.69
28,"00:01:51,778","00:01:53,655",and I realized it's changed me in two ways.,0,0.0,,,,111.78,113.66
29,"00:01:53,738","00:01:55,824","One, while we were building this house,",0,0.0,,,,113.74,115.82
30,"00:01:55,907","00:01:59,285",my wife selected these really exotic Japanese toilets.,0,0.0,,,,115.91,119.28
31,"00:01:59,369","00:02:03,706","And as you approach these toilets, the lid of the toilet automatically opens.",0,0.0,,,,119.37,123.71
32,"00:02:03,790","00:02:05,291",I was mad when I first saw it.,0,0.0,,,,123.79,125.29
33,"00:02:05,375","00:02:07,335","I'm like, ""You're wasting our money on this stuff?""",0,0.0,,,,125.38,127.33
34,"00:02:07,794","00:02:09,712",But I got used to it after a while.,0,0.0,,,,127.79,129.71
35,"00:02:10,046","00:02:12,882","And now when I approach a toilet,",0,0.0,,,,130.05,132.88
36,"00:02:12,966","00:02:15,844","and the lid doesn't automatically open,",0,0.0,,,,132.97,135.84
37,"00:02:17,262","00:02:19,722",I just piss all over the top of it.,1,1.6699999999999875,"#10, ","138.55, ","140.22, ",137.26,139.72
38,"00:02:23,810","00:02:25,395","And I still eat tacos,",0,0.0,,,,143.81,145.4
39,"00:02:25,478","00:02:28,398",but now I only eat the baby duck pussy lip tacos,0,0.0,,,,145.48,148.4
40,"00:02:28,481","00:02:31,442",that you get at the Four Seasons in Beverly Hills on Sunday.,0,0.0,,,,148.48,151.44
41,"00:02:31,943","00:02:34,154","What they do is they take these baby ducks,",0,0.0,,,,151.94,154.15
42,"00:02:34,237","00:02:36,406","and they just snip the pussy lips off of 'em,",0,0.0,,,,154.24,156.41
43,"00:02:36,489","00:02:39,742","and it takes, like, 35 baby ducks to make one taco,",0,0.0,,,,156.49,159.74
44,"00:02:39,826","00:02:42,912","but it is fucking worth it, man.",1,1.7699999999999818,"#11, ","162.71, ","164.48, ",159.83,162.91
