,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,672","00:00:08,800","<font color=""#ffff00"">[applause and cheers]</font>",0,0.0,,,,5.67,8.8
1,"00:00:11,177","00:00:14,723","<font color=""#ffff00"">[emcee]  Please welcome Ryan Hamilton.</font>",1,13.98,"#1, ","13.52, ","27.5, ",11.18,14.72
2,"00:00:14,806","00:00:17,183","<font color=""#ffff00"">[louder applause and cheers]</font>",0,0.0,,,,14.81,17.18
3,"00:00:25,442","00:00:27,944","<font color=""#ffff00"">Thank you. Wow!</font>",1,3.889999999999997,"#2, ","28.16, ","32.05, ",25.44,27.94
4,"00:00:32,032","00:00:34,617","<font color=""#ffff00"">Thank you very much, thank you very much!</font>",1,6.390000000000001,"#3, ","33.1, ","39.49, ",32.03,34.62
5,"00:00:36,828","00:00:38,997","<font color=""#ffff00"">Thank you, thank you!</font>",0,0.0,,,,36.83,39.0
6,"00:00:39,080","00:00:40,874","<font color=""#ffff00"">This is so nice. Thank you very much.</font>",0,0.0,,,,39.08,40.87
7,"00:00:40,957","00:00:42,917","<font color=""#ffff00"">Where do you want to begin? Should we start with my face?</font>",2,2.4699999999999918,"#4, #5, ","43.17, 45.53, ","43.87, 47.3, ",40.96,42.92
8,"00:00:47,672","00:00:49,382","<font color=""#ffff00"">Should we? I always look like this.</font>",0,0.0,,,,47.67,49.38
9,"00:00:49,716","00:00:54,554","<font color=""#ffff00"">I look really happy all the time and I don't feel like this.</font>",0,0.0,,,,49.72,54.55
10,"00:00:54,721","00:00:56,347","<font color=""#ffff00"">I really don't. I feel...</font>",0,0.0,,,,54.72,56.35
11,"00:00:57,182","00:01:00,727","<font color=""#ffff00"">I feel OK and I look crazy happy.</font>",0,0.0,,,,57.18,60.73
12,"00:01:00,810","00:01:02,103","<font color=""#ffff00"">And I don't even buy it.</font>",0,0.0,,,,60.81,62.1
13,"00:01:02,187","00:01:04,272","<font color=""#ffff00"">I wake up in the morning, look in the mirror and I go,</font>",0,0.0,,,,62.19,64.27
